Open,Last update,Platform,Symbol,Timeframe,Account balance at open,Size,Expected close,Expiry,Close,Status,Side,Opening price,Closing price,Take profit,Stop loss,Leverage,TP price %,SL price %,Expected profit,Risk %,R/R ratio,PnL
04/03/2018 00:00:00,08/06/2023 15:42:11,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,100000.0,14.084,01/04/2018 00:00:00,25/03/2018 00:00:00,11/03/2018 00:00:00,STOP_LOSS_HIT,SHORT,8769.0,8911.01,8342.98,8911.01,1.235,5.11,1.59,6000.07,2,3.0,-2000.07
25/12/2022 03:00:00,08/06/2023 15:42:11,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,97999.93,14.004,22/01/2023 03:00:00,15/01/2023 03:00:00,01/01/2023 03:00:00,TAKE_PROFIT_HIT,LONG,16526.0,16945.88,16945.88,16386.04,2.362,2.48,0.85,5880.0,2,3.0,5880.0
10/11/2019 00:00:00,08/06/2023 15:42:11,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,103879.93,14.329,24/11/2019 00:00:00,01/12/2019 02:00:00,17/11/2019 01:00:00,TAKE_PROFIT_HIT,SHORT,8494.0,8059.04,8059.04,8638.99,1.172,5.4,1.68,6232.54,2,3.0,6232.54
23/08/2020 03:00:00,08/06/2023 15:42:11,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,110112.47,5.546,20/09/2020 03:00:00,13/09/2020 03:00:00,30/08/2020 03:00:00,STOP_LOSS_HIT,LONG,11629.0,11231.92,12820.26,11231.92,0.586,9.29,3.54,6606.73,2,3.0,-2202.21
17/11/2019 01:00:00,08/06/2023 15:42:11,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,107910.26,17.241,15/12/2019 01:00:00,08/12/2019 02:00:00,24/11/2019 02:00:00,STOP_LOSS_HIT,LONG,7269.0,7143.82,7644.55,7143.82,1.161,4.91,1.75,6474.86,2,3.0,-2158.23
14/06/2020 03:00:00,08/06/2023 15:42:11,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,105752.03,31.362,12/07/2020 03:00:00,05/07/2020 03:00:00,21/06/2020 03:00:00,STOP_LOSS_HIT,LONG,9367.0,9299.56,9569.33,9299.56,2.778,2.11,0.73,6345.47,2,3.0,-2115.05
19/05/2019 00:00:00,08/06/2023 15:42:11,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,103636.98,7.148,16/06/2019 00:00:00,09/06/2019 00:00:00,26/05/2019 00:00:00,TAKE_PROFIT_HIT,LONG,8075.0,8944.91,8944.91,7785.03,0.557,9.73,3.72,6218.12,2,3.0,6218.12
21/11/2021 03:00:00,08/06/2023 15:42:11,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,109855.1,2.379,19/12/2021 03:00:00,12/12/2021 03:00:00,28/11/2021 03:00:00,STOP_LOSS_HIT,SHORT,54385.0,55308.73,51613.82,55308.73,1.178,5.37,1.67,6592.64,2,3.0,-2197.55
31/10/2021 03:00:00,08/06/2023 15:42:11,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,107657.55,1.395,28/11/2021 03:00:00,21/11/2021 03:00:00,07/11/2021 03:00:00,TAKE_PROFIT_HIT,LONG,61991.0,66621.41,66621.41,60447.53,0.803,6.95,2.55,6459.42,2,3.0,6459.42
27/10/2019 00:00:00,08/06/2023 15:42:11,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,114116.97,10.81,24/11/2019 00:00:00,17/11/2019 01:00:00,03/11/2019 00:00:00,STOP_LOSS_HIT,SHORT,9308.0,9519.13,8674.62,9519.13,0.882,7.3,2.22,6846.84,2,3.0,-2282.32
31/01/2021 03:00:00,08/06/2023 15:42:11,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,111834.65,0.9,21/02/2021 03:00:00,21/02/2021 03:00:00,07/02/2021 03:00:00,TAKE_PROFIT_HIT,LONG,38815.0,46268.16,46268.16,36330.61,0.312,16.11,6.84,6707.84,2,3.0,6707.84
17/01/2021 03:00:00,08/06/2023 15:42:11,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,118542.49,1.359,14/02/2021 03:00:00,07/02/2021 03:00:00,24/01/2021 03:00:00,STOP_LOSS_HIT,LONG,32138.0,30393.16,37372.53,30393.16,0.368,14.01,5.74,7113.73,2,3.0,-2371.24
30/06/2019 00:00:00,08/06/2023 15:42:11,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,116171.25,5.036,28/07/2019 00:00:00,21/07/2019 00:00:00,07/07/2019 00:00:00,TAKE_PROFIT_HIT,LONG,11242.0,12626.12,12626.12,10780.63,0.487,10.96,4.28,6970.43,2,3.0,6970.43
07/07/2019 00:00:00,08/06/2023 15:42:11,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,123141.68,6.601,04/08/2019 00:00:00,28/07/2019 00:00:00,14/07/2019 00:00:00,STOP_LOSS_HIT,LONG,11375.0,11001.9,12494.31,11001.9,0.61,8.96,3.39,7388.57,2,3.0,-2462.83
29/04/2018 00:00:00,08/06/2023 15:42:11,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,120678.85,12.172,27/05/2018 00:00:00,20/05/2018 00:00:00,06/05/2018 00:00:00,TAKE_PROFIT_HIT,SHORT,9813.0,9218.13,9218.13,10011.29,0.99,6.45,1.98,7240.76,2,3.0,7240.76
11/11/2018 00:00:00,08/06/2023 15:42:11,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,127919.61,14.655,09/12/2018 00:00:00,02/12/2018 00:00:00,18/11/2018 00:00:00,TAKE_PROFIT_HIT,SHORT,5504.0,4980.29,4980.29,5678.57,0.631,10.52,3.07,7674.97,2,3.0,7674.97
08/08/2021 03:00:00,08/06/2023 15:42:11,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,135594.58,1.118,05/09/2021 03:00:00,29/08/2021 03:00:00,15/08/2021 03:00:00,STOP_LOSS_HIT,LONG,47223.0,44796.96,54501.12,44796.96,0.389,13.35,5.42,8136.94,2,3.0,-2712.31
10/10/2021 03:00:00,08/06/2023 15:42:11,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,132882.27,0.792,07/11/2021 03:00:00,31/10/2021 03:00:00,24/10/2021 03:00:00,STOP_LOSS_HIT,LONG,61102.0,57747.23,71166.31,57747.23,0.364,14.14,5.81,7970.93,2,3.0,-2656.98
11/10/2020 03:00:00,08/06/2023 15:42:11,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,130225.29,18.898,08/11/2020 03:00:00,01/11/2020 03:00:00,18/10/2020 03:00:00,TAKE_PROFIT_HIT,LONG,11380.0,11793.47,11793.47,11242.18,1.651,3.51,1.23,7813.76,2,3.0,7813.76
10/03/2019 00:00:00,08/06/2023 15:42:11,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,138039.05,15.236,07/04/2019 00:00:00,31/03/2019 00:00:00,31/03/2019 00:00:00,TAKE_PROFIT_HIT,LONG,3990.0,4533.59,4533.59,3808.8,0.44,11.99,4.76,8282.14,2,3.0,8282.14
