https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1680220800000,2023-03-31 00:00:00,BTC/USD,27940.68,28650.0,27532.4,28486.15,372.21766579,10603048.260343809
1680134400000,2023-03-30 00:00:00,BTC/USD,28326.4,29178.34,27706.83,27940.68,512.5116257,14319923.329963475
1680048000000,2023-03-29 00:00:00,BTC/USD,27285.38,28625.57,27265.24,28326.4,529.98578905,15012589.45494592
1679961600000,2023-03-28 00:00:00,BTC/USD,27144.17,27500.0,26652.26,27285.38,441.83423464,12055614.989161562
1679875200000,2023-03-27 00:00:00,BTC/USD,28007.1,28048.32,26550.6,27144.17,628.59489832,17062686.78113079
1679788800000,2023-03-26 00:00:00,BTC/USD,27493.93,28225.0,27451.58,28007.1,158.72426034,4445406.231768413
1679702400000,2023-03-25 00:00:00,BTC/USD,27500.0,27808.89,27188.0,27493.93,254.76229079,7004416.589619905
1679616000000,2023-03-24 00:00:00,BTC/USD,28351.42,28435.75,27050.47,27500.0,580.97055382,15976690.23005
1679529600000,2023-03-23 00:00:00,BTC/USD,27333.35,28825.05,27200.0,28351.42,797.62029933,22613668.106830545
1679443200000,2023-03-22 00:00:00,BTC/USD,28209.0,28923.58,26693.3,27333.35,1053.27721266,28789594.70066021
1679356800000,2023-03-21 00:00:00,BTC/USD,27816.33,28500.0,27425.27,28209.0,481.77509699,13590393.71099091
1679270400000,2023-03-20 00:00:00,BTC/USD,28049.39,28543.0,27239.0,27816.33,709.31665892,19730586.259016164
1679184000000,2023-03-19 00:00:00,BTC/USD,26979.65,28492.3,26901.45,28049.39,503.53015928,14123713.81440684
1679097600000,2023-03-18 00:00:00,BTC/USD,27450.84,27760.38,26695.37,26979.65,619.48424892,16713468.21637448
1679011200000,2023-03-17 00:00:00,BTC/USD,25051.75,27812.97,24945.0,27450.84,1421.80938717,39029861.99770173
1678924800000,2023-03-16 00:00:00,BTC/USD,24386.43,25223.3,24224.24,25051.75,448.77754275,11242662.806587312
1678838400000,2023-03-15 00:00:00,BTC/USD,24767.85,25284.77,23944.83,24386.43,646.9300365,15776314.050004696
1678752000000,2023-03-14 00:00:00,BTC/USD,24236.61,26523.58,24047.19,24767.85,1186.533404,29387881.370261397
1678665600000,2023-03-13 00:00:00,BTC/USD,22413.76,24689.7,22127.0,24236.61,1285.91371805,31166189.27802781
1678579200000,2023-03-12 00:00:00,BTC/USD,21051.13,22999.99,20745.33,22413.76,1235.13970878,27684124.999064814
1678492800000,2023-03-11 00:00:00,BTC/USD,20215.95,22138.99,20200.6,21051.13,1856.0653611,39072273.205013044
1678406400000,2023-03-10 00:00:00,BTC/USD,20289.98,20300.0,19550.0,20215.95,818.99420246,16556745.847221237
1678320000000,2023-03-09 00:00:00,BTC/USD,21704.4,21900.0,19300.0,20289.98,1644.08557592,33358463.453705285
1678233600000,2023-03-08 00:00:00,BTC/USD,22211.93,22307.23,21583.39,21704.4,397.79410218,8633882.311355593
1678147200000,2023-03-07 00:00:00,BTC/USD,22441.68,22549.84,21942.0,22211.93,440.8633001,9792424.761390192
1678060800000,2023-03-06 00:00:00,BTC/USD,22428.34,22602.18,22270.25,22441.68,235.65236015,5288434.857731052
1677974400000,2023-03-05 00:00:00,BTC/USD,22350.02,22643.36,22204.08,22428.34,72.64644579,1629339.1859696887
1677888000000,2023-03-04 00:00:00,BTC/USD,22502.71,23451.12,22166.71,22350.02,189.20877056,4228819.806191412
1677801600000,2023-03-03 00:00:00,BTC/USD,23468.44,23481.2,22000.0,22502.71,908.20267741,20437021.47098078
1677715200000,2023-03-02 00:00:00,BTC/USD,23652.59,23793.0,23202.72,23468.44,386.71251878,9075539.544237303
1677628800000,2023-03-01 00:00:00,BTC/USD,23129.61,23984.44,23030.0,23652.59,337.66522722,7986657.1766915005
1677542400000,2023-02-28 00:00:00,BTC/USD,23494.73,23599.91,23031.92,23129.61,217.92765938,5040581.769672242
1677456000000,2023-02-27 00:00:00,BTC/USD,23552.6,23885.27,23131.79,23494.73,425.46705426,9996233.563734049
1677369600000,2023-02-26 00:00:00,BTC/USD,23170.88,23672.4,23069.14,23552.6,118.09264931,2781388.9321387056
1677283200000,2023-02-25 00:00:00,BTC/USD,23192.31,23215.96,22763.07,23170.88,133.80869336,3100465.176801357
1677196800000,2023-02-24 00:00:00,BTC/USD,23948.04,24129.26,22853.7,23192.31,544.58657314,12630220.626100555
1677110400000,2023-02-23 00:00:00,BTC/USD,24187.13,24600.0,23626.93,23948.04,350.60970533,8396415.247631053
1677024000000,2023-02-22 00:00:00,BTC/USD,24450.5,24478.31,23585.31,24187.13,400.01895287,9675310.415530564
1676937600000,2023-02-21 00:00:00,BTC/USD,24837.6,25250.0,24165.65,24450.5,612.68181797,14980376.790275484
1676851200000,2023-02-20 00:00:00,BTC/USD,24289.53,25108.87,23857.95,24837.6,290.410564,7213101.4244064
1676764800000,2023-02-19 00:00:00,BTC/USD,24633.13,25191.45,24211.0,24289.53,181.33495616,4404540.857697004
1676678400000,2023-02-18 00:00:00,BTC/USD,24583.56,24862.26,24447.4,24633.13,90.85929172,2238148.744646684
1676592000000,2023-02-17 00:00:00,BTC/USD,23520.73,25022.41,23362.63,24583.56,502.78212165,12360174.454510076
1676505600000,2023-02-16 00:00:00,BTC/USD,24327.71,25248.87,23515.96,23520.73,907.09271257,21335482.777326576
1676419200000,2023-02-15 00:00:00,BTC/USD,22213.76,24372.86,22059.99,24327.71,730.37852262,17768436.8885278
1676332800000,2023-02-14 00:00:00,BTC/USD,21788.17,22322.35,21554.84,22213.76,343.04603628,7620342.318875212
1676246400000,2023-02-13 00:00:00,BTC/USD,21784.4,21897.79,21379.61,21788.17,398.66300025,8686137.22215704
1676160000000,2023-02-12 00:00:00,BTC/USD,21859.91,22077.22,21641.41,21784.4,118.51474121,2581772.528415124
1676073600000,2023-02-11 00:00:00,BTC/USD,21632.82,21906.38,21615.75,21859.91,166.7123247,3644316.413832777
1675987200000,2023-02-10 00:00:00,BTC/USD,21796.38,21929.99,21456.05,21632.82,554.60735366,11997721.05240312
1675900800000,2023-02-09 00:00:00,BTC/USD,22975.33,23100.19,21686.0,21796.38,525.55483961,11455192.994978614
1675814400000,2023-02-08 00:00:00,BTC/USD,23253.86,23442.0,22688.24,22975.33,249.03259979,5721606.160933182
1675728000000,2023-02-07 00:00:00,BTC/USD,22763.32,23343.32,22749.55,23253.86,240.16915739,5584859.962265026
1675641600000,2023-02-06 00:00:00,BTC/USD,22942.21,23158.26,22644.04,22763.32,376.69626578,8574857.64075519
1675555200000,2023-02-05 00:00:00,BTC/USD,23344.6,23425.0,22763.36,22942.21,138.76698788,3183621.3770104144
1675468800000,2023-02-04 00:00:00,BTC/USD,23443.73,23575.81,23265.61,23344.6,138.50579608,3233362.407169168
1675382400000,2023-02-03 00:00:00,BTC/USD,23486.51,23716.32,23218.51,23443.73,337.45675305,7911245.005180876
1675296000000,2023-02-02 00:00:00,BTC/USD,23715.81,24254.29,23378.84,23486.51,511.64962701,12016864.081266634
1675209600000,2023-02-01 00:00:00,BTC/USD,23138.09,23800.0,22801.85,23715.81,462.53413689,10969371.708997231
1675123200000,2023-01-31 00:00:00,BTC/USD,22829.24,23303.72,22738.61,23138.09,371.24316228,8589857.700719245
1675036800000,2023-01-30 00:00:00,BTC/USD,23761.08,23809.8,22498.99,22829.24,498.13991668,11372155.711467724
1674950400000,2023-01-29 00:00:00,BTC/USD,23031.37,23953.42,22989.34,23761.08,335.61908423,7974671.909915769
1674864000000,2023-01-28 00:00:00,BTC/USD,23075.34,23185.18,22888.45,23031.37,132.82086638,3059046.517318341
1674777600000,2023-01-27 00:00:00,BTC/USD,23013.37,23495.58,22554.27,23075.34,442.03440767,10200094.248683859
1674691200000,2023-01-26 00:00:00,BTC/USD,23054.33,23283.49,22866.73,23013.37,509.19151441,11718212.721977662
1674604800000,2023-01-25 00:00:00,BTC/USD,22645.03,23817.34,22333.44,23054.33,561.02502611,12934056.090198558
1674518400000,2023-01-24 00:00:00,BTC/USD,22916.75,23160.7,22476.89,22645.03,473.85795177,10730527.533570202
1674432000000,2023-01-23 00:00:00,BTC/USD,22721.82,23171.47,22514.35,22916.75,445.45538694,10208389.738657245
1674345600000,2023-01-22 00:00:00,BTC/USD,22790.41,23068.38,22311.47,22721.82,208.93791936,4747449.794872435
1674259200000,2023-01-21 00:00:00,BTC/USD,22686.63,23354.72,22454.78,22790.41,502.87687347,11460770.125899423
1674172800000,2023-01-20 00:00:00,BTC/USD,21087.22,22759.31,20870.0,22686.63,644.70246736,14626126.337083397
1674086400000,2023-01-19 00:00:00,BTC/USD,20680.0,21188.14,20627.1,21087.22,497.99426156,10501314.552253263
1674000000000,2023-01-18 00:00:00,BTC/USD,21141.43,21647.71,20413.93,20680.0,671.19749984,13880364.2966912
1673913600000,2023-01-17 00:00:00,BTC/USD,21191.65,21595.31,20860.02,21141.43,497.83449605,10524933.149826352
1673827200000,2023-01-16 00:00:00,BTC/USD,20895.0,21455.1,20642.35,21191.65,587.70632258,12454466.690902459
1673740800000,2023-01-15 00:00:00,BTC/USD,20961.71,21053.04,20565.81,20895.0,383.2044192,8007056.339184
1673654400000,2023-01-14 00:00:00,BTC/USD,19934.04,21500.0,19903.19,20961.71,871.11661726,18260093.907185115
1673568000000,2023-01-13 00:00:00,BTC/USD,18855.23,19997.79,18725.49,19934.04,941.78050059,18773490.169981085
1673481600000,2023-01-12 00:00:00,BTC/USD,17949.47,19108.8,17900.0,18855.23,1193.45464522,22502861.8301915
1673395200000,2023-01-11 00:00:00,BTC/USD,17442.95,17994.78,17302.14,17949.47,372.09028448,6678823.398565225
1673308800000,2023-01-10 00:00:00,BTC/USD,17180.0,17493.45,17156.45,17442.95,324.81857675,5665794.193321412
1673222400000,2023-01-09 00:00:00,BTC/USD,17127.57,17407.7,17111.19,17180.0,622.89133894,10701273.2029892
1673136000000,2023-01-08 00:00:00,BTC/USD,16946.56,17164.05,16916.77,17127.57,224.22807971,3840482.1311986046
1673049600000,2023-01-07 00:00:00,BTC/USD,16952.92,16982.71,16881.18,16946.56,211.53570022,3584802.4359202436
1672963200000,2023-01-06 00:00:00,BTC/USD,16826.69,17041.86,16672.75,16952.92,405.64507287,6876868.46875928
