https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDC,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1674604800000,2023-01-25 00:00:00,BTC/USDC,22618.67,23800.1,22344.47,23049.23,1362843.4632197,59.849676,684186.24196232,30.07377,16944,22774.853702748848107127
1674518400000,2023-01-24 00:00:00,BTC/USDC,22919.64,23160.99,22473.4,22643.26,1184583.17772258,51.619781,619052.95358639,26.972248,15031,22948.869934229746102999
1674432000000,2023-01-23 00:00:00,BTC/USDC,22714.91,23161,22552.25,22913.52,1872184.55629652,82.036649,938617.17019677,41.13371,15186,22821.824267350302940668
1674345600000,2023-01-22 00:00:00,BTC/USDC,22791.8,23068.88,22330.7,22715.38,1734129.43286429,76.079301,890191.39315726,39.054464,15912,22794.508044678734270453
1674259200000,2023-01-21 00:00:00,BTC/USDC,22677.2,23374.99,22461.69,22780.4,1930287.23973038,84.073093,901120.80243751,39.24587,16483,22961.973648428688304975
1674172800000,2023-01-20 00:00:00,BTC/USDC,21073.86,22742.87,20873.86,22675.35,1137065.29109227,53.356188,574221.29066618,26.969032,14466,21319.825997477026360572
1674086400000,2023-01-19 00:00:00,BTC/USDC,20693.94,21185.13,20661.25,21076.95,1522800.13326175,72.921785,818383.15059326,39.202113,15263,20883.571788749059423592
1674000000000,2023-01-18 00:00:00,BTC/USDC,21140.85,21633.81,20417.64,20693.95,2363291.42061222,111.961029,1019320.53541984,48.336348,17469,21111.25009542478173841
1673913600000,2023-01-17 00:00:00,BTC/USDC,21173.26,21602.23,20834.18,21140.67,1344709.53713713,63.430624,705549.90398479,33.286444,13649,21200.177548076332585813
1673827200000,2023-01-16 00:00:00,BTC/USDC,20864.05,21427.37,20625.89,21177.09,1287000.16112019,61.184646,667756.0493727,31.742986,16440,21036.046826247241961828
1673740800000,2023-01-15 00:00:00,BTC/USDC,20942.99,21033.41,20556,20880.93,762626.86280363,36.67255,387514.20147048,18.634419,10724,20796.017546706548457365
1673654400000,2023-01-14 00:00:00,BTC/USDC,19898.2,21247.69,19825.51,20942.61,1039102.43008513,50.076538,548253.10756228,26.437996,12502,20753.005410551089893151
1673568000000,2023-01-13 00:00:00,BTC/USDC,18822.98,19957.05,18660.2,19899.97,1177829.30719112,61.485291,603024.54911294,31.490505,16136,19163.300108091171762609
1673481600000,2023-01-12 00:00:00,BTC/USDC,17916.85,19083.03,17842.11,18823.44,969027.31390344,52.67439,504996.24232644,27.425468,13241,18403.282505174721647123
1673395200000,2023-01-11 00:00:00,BTC/USDC,17405.08,17961.54,17288.2,17913.01,663594.78875986,38.02345,327584.64452562,18.767415,11228,17453.005160441139331591
1673308800000,2023-01-10 00:00:00,BTC/USDC,17172.29,17473.02,17135.4,17395.28,633040.48247377,36.643535,346133.63046019,20.041354,10146,17276.045924244391883015
1673222400000,2023-01-09 00:00:00,BTC/USDC,17104.51,17387.34,17044.24,17170.51,662734.35837942,38.495869,358533.57912615,20.82386,10883,17215.942923038921978164
1673136000000,2023-01-08 00:00:00,BTC/USDC,16897.63,17121.24,16815.19,17080.19,426630.78470126,25.241077,223426.59930711,13.216885,8464,16902.368520698535060989
1673049600000,2023-01-07 00:00:00,BTC/USDC,16882.78,16999.98,16808.34,16897.62,353507.81682565,20.930616,180317.30959489,10.676142,8536,16889.521907665844935418
1672963200000,2023-01-06 00:00:00,BTC/USDC,16805.94,16929.41,16658.32,16899.16,407041.6952361,24.221673,184947.32471477,11.007597,9147,16805.077410136368286335
1672876800000,2023-01-05 00:00:00,BTC/USDC,16829.56,16891.2,16736.39,16808.24,332141.31181355,19.757276,164874.293063,9.807769,8011,16811.113482224237099057
1672790400000,2023-01-04 00:00:00,BTC/USDC,16664.38,16981.9,16625.01,16824.59,481982.61264825,28.710699,236078.85495591,14.061716,9306,16787.80052811031863476
1672704000000,2023-01-03 00:00:00,BTC/USDC,16654.95,16769.86,16597.65,16663.93,739571.00009813,44.323494,392247.83927502,23.506674,11214,16685.824561004140750038
1672617600000,2023-01-02 00:00:00,BTC/USDC,16605.77,16769.91,16520.69,16654.95,628743.87295071,37.725209,307199.422105,18.427723,10553,16666.614603385591728215
1672531200000,2023-01-01 00:00:00,BTC/USDC,16535.46,16635.68,16479.91,16605.77,675293.2210914,40.810586,350914.78299957,21.207142,11603,16547.07559646695130455
1672444800000,2022-12-31 00:00:00,BTC/USDC,16602.65,16755.21,16473.4,16552.86,723759.98862675,43.700698,335673.46996325,20.268184,11335,16561.78242381968154252
1672358400000,2022-12-30 00:00:00,BTC/USDC,16633.9,16769.91,16332.46,16602.66,734991.31836957,44.434288,389991.00133218,23.5744,11288,16541.30745474892264918
1672272000000,2022-12-29 00:00:00,BTC/USDC,16569.98,16680.4,16485.14,16638.1,849112.60111773,51.175338,362997.54902332,21.875664,11770,16592.296903087235894318
1672185600000,2022-12-28 00:00:00,BTC/USDC,16700.3,16786.77,16473.4,16568.44,829983.24434649,49.878626,428220.92283556,25.733839,12408,16640.233090576523854448
1672099200000,2022-12-27 00:00:00,BTC/USDC,16925.64,16979.1,16612.25,16700.47,1014262.41217614,60.415907,443816.45067975,26.44812,12619,16788.447608054232251921
1672012800000,2022-12-26 00:00:00,BTC/USDC,16834.57,16949.03,16790.9,16917.33,587229.88899682,34.851875,267399.61891296,15.868443,10427,16849.333497413118916962
1671926400000,2022-12-25 00:00:00,BTC/USDC,16835.38,16905.24,16727.13,16833.51,649929.79316534,38.656878,285959.53407038,17.00609,10286,16812.827661469488880442
1671840000000,2022-12-24 00:00:00,BTC/USDC,16777.8,16863.38,16770.29,16842.88,733211.39230007,43.565649,388484.59923455,23.081717,9951,16830.04421282767392086
1671753600000,2022-12-23 00:00:00,BTC/USDC,16819.6,16925.66,16756.19,16779.2,855290.69340299,50.826062,435675.58444269,25.886327,11943,16827.844612088727772928
1671667200000,2022-12-22 00:00:00,BTC/USDC,16819.99,16882,16561.16,16820.01,577524.78353658,34.463868,297817.76910481,17.774779,13195,16757.877195772887955518
1671580800000,2022-12-21 00:00:00,BTC/USDC,16898.41,16937.33,16731.61,16826.98,239480.31661026,14.233744,118022.17313893,7.013924,10896,16824.930577957116090192
1671494400000,2022-12-20 00:00:00,BTC/USDC,16445.7,17036.86,16405.95,16898.4,82174.54951488,4.897019,45430.79071324,2.709825,5269,16781.607612562101118757
