https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BTC
1686960000000,2023-06-17 00:00:00,BTC/USD,26359,26385,26341,26366,362049.20014628,13.73166958
1686873600000,2023-06-16 00:00:00,BTC/USD,25610,26570,25211,26359,26891004.903715022,1020.18304578
1686787200000,2023-06-15 00:00:00,BTC/USD,25143,25766,24825,25611,28467963.78527997,1111.55221527
1686700800000,2023-06-14 00:00:00,BTC/USD,25953,26113,24838,25146,31690381.0839066,1260.2553521
1686614400000,2023-06-13 00:00:00,BTC/USD,25927,26455,25744,25948,20617215.14729656,794.55893122
1686528000000,2023-06-12 00:00:00,BTC/USD,25953,26125,25632,25933,9401884.27767773,362.54518481
1686441600000,2023-06-11 00:00:00,BTC/USD,25871,26233,25668,25953,13801017.429547679,531.76963856
1686355200000,2023-06-10 00:00:00,BTC/USD,26502,26556,25393,25871,43023681.84856299,1663.00807269
1686268800000,2023-06-09 00:00:00,BTC/USD,26525,26804,26302,26502,13043129.034444181,492.15640459
1686182400000,2023-06-08 00:00:00,BTC/USD,26356,26845,26238,26526,18617687.056798197,701.8656057
1686096000000,2023-06-07 00:00:00,BTC/USD,27234,27393,26157,26360,47125481.708809204,1787.76485997
1686009600000,2023-06-06 00:00:00,BTC/USD,25742,27365,25331,27233,46101910.93828886,1692.86934742
1685923200000,2023-06-05 00:00:00,BTC/USD,27125,27136,25391,25730,77700045.9858053,3019.82300761
1685836800000,2023-06-04 00:00:00,BTC/USD,27077,27472,26963,27126,12517887.807819901,461.47193865
1685750400000,2023-06-03 00:00:00,BTC/USD,27253,27340,26924,27077,11979157.825398609,442.41082193
1685664000000,2023-06-02 00:00:00,BTC/USD,26832,27301,26511,27254,21432513.055998597,786.3988059
1685577600000,2023-06-01 00:00:00,BTC/USD,27237,27359,26666,26833,22402982.805524793,834.90414063
1685491200000,2023-05-31 00:00:00,BTC/USD,27720,27856,26858,27220,36546172.0597282,1342.62204481
1685404800000,2023-05-30 00:00:00,BTC/USD,27771,28069,27600,27723,13447964.10328431,485.08329197
1685318400000,2023-05-29 00:00:00,BTC/USD,28097,28475,27550,27772,22699672.218117923,817.35821036
1685232000000,2023-05-28 00:00:00,BTC/USD,26886,28277,26803,28096,44987846.40180032,1601.21890667
1685145600000,2023-05-27 00:00:00,BTC/USD,26737,26920,26587,26885,6363516.337623499,236.6939311
1685059200000,2023-05-26 00:00:00,BTC/USD,26498,26947,26359,26736,25802583.15319968,965.08764038
1684972800000,2023-05-25 00:00:00,BTC/USD,26344,26644,25886,26498,16991278.751870237,641.22872488
1684886400000,2023-05-24 00:00:00,BTC/USD,27238,27239,26067,26344,24361323.93596328,924.73898937
1684800000000,2023-05-23 00:00:00,BTC/USD,26870,27543,26829,27243,16164397.106731798,593.3413026
1684713600000,2023-05-22 00:00:00,BTC/USD,26760,27130,26547,26869,14629674.165084401,544.4815276
1684627200000,2023-05-21 00:00:00,BTC/USD,27126,27297,26693,26760,14009248.339782001,523.51451195
1684540800000,2023-05-20 00:00:00,BTC/USD,26910,27168,26863,27126,5002277.018741639,184.40894414
1684454400000,2023-05-19 00:00:00,BTC/USD,26859,27219,26667,26911,8809643.96290572,327.36219252
1684368000000,2023-05-18 00:00:00,BTC/USD,27431,27506,26413,26860,42636759.571203,1587.37005105
1684281600000,2023-05-17 00:00:00,BTC/USD,27058,27532,26612,27425,51492401.67438625,1877.57161985
1684195200000,2023-05-16 00:00:00,BTC/USD,27188,27313,26892,27054,21609108.00768114,798.73985391
1684108800000,2023-05-15 00:00:00,BTC/USD,26939,27674,26741,27196,26572703.7228588,977.0813253
1684022400000,2023-05-14 00:00:00,BTC/USD,26796,27205,26603,26937,9877104.88506675,366.67427275
1683936000000,2023-05-13 00:00:00,BTC/USD,26821,27071,26713,26790,9357596.2666008,349.29437352
1683849600000,2023-05-12 00:00:00,BTC/USD,27006,27125,25857,26818,48940949.97339526,1824.92915107
1683763200000,2023-05-11 00:00:00,BTC/USD,27625,27654,26795,27016,48233328.89320528,1785.36159658
1683676800000,2023-05-10 00:00:00,BTC/USD,27668,28340,26850,27622,47078451.21601258,1704.38242039
1683590400000,2023-05-09 00:00:00,BTC/USD,27701,27846,27383,27668,20772533.36554588,750.77827691
1683504000000,2023-05-08 00:00:00,BTC/USD,28485,28686,27309,27701,43928164.22221706,1585.79705506
1683417600000,2023-05-07 00:00:00,BTC/USD,28909,29188,28458,28484,18204048.433172002,639.097333
1683331200000,2023-05-06 00:00:00,BTC/USD,29526,29847,28405,28909,33165483.95735914,1147.23732946
1683244800000,2023-05-05 00:00:00,BTC/USD,28854,29691,28816,29526,41744753.39232996,1413.83029846
1683158400000,2023-05-04 00:00:00,BTC/USD,29043,29412,28700,28844,23240718.32133736,805.73839694
1683072000000,2023-05-03 00:00:00,BTC/USD,28680,29282,28129,29037,29913130.26093882,1030.17289186
1682985600000,2023-05-02 00:00:00,BTC/USD,28101,28888,27901,28679,35669351.26151425,1243.74459575
1682899200000,2023-05-01 00:00:00,BTC/USD,29263,29347,27692,28101,50649321.076055765,1802.40279976
1682812800000,2023-04-30 00:00:00,BTC/USD,29252,29974,29113,29254,40183364.14650918,1373.60238417
1682726400000,2023-04-29 00:00:00,BTC/USD,29338,29467,29059,29253,10101852.27204804,345.32705268
1682640000000,2023-04-28 00:00:00,BTC/USD,29486,29589,28911,29338,41216851.66019798,1404.89643671
1682553600000,2023-04-27 00:00:00,BTC/USD,28425,29888,28395,29479,55631841.16160817,1887.16853223
1682467200000,2023-04-26 00:00:00,BTC/USD,28325,30034,27234,28427,98240183.67942072,3455.87588136
1682380800000,2023-04-25 00:00:00,BTC/USD,27522,28394,27210,28324,27694618.676847,977.77922175
1682294400000,2023-04-24 00:00:00,BTC/USD,27611,28007,26978,27522,38000197.8699849,1380.72080045
1682208000000,2023-04-23 00:00:00,BTC/USD,27827,27827,27333,27612,19181048.94276948,694.66351379
1682121600000,2023-04-22 00:00:00,BTC/USD,27287,27885,27163,27826,19709632.007207498,708.31711375
1682035200000,2023-04-21 00:00:00,BTC/USD,28251,28381,27155,27287,37452421.83364786,1372.53717278
1681948800000,2023-04-20 00:00:00,BTC/USD,28809,29098,28012,28248,43645684.342125356,1545.08936357
1681862400000,2023-04-19 00:00:00,BTC/USD,30392,30412,28582,28818,108495382.36785875,3764.84774682
1681776000000,2023-04-18 00:00:00,BTC/USD,29437,30527,29169,30391,58773402.055719234,1933.90813253
1681689600000,2023-04-17 00:00:00,BTC/USD,30285,30290,29262,29437,60198708.99918953,2045.00149469
1681603200000,2023-04-16 00:00:00,BTC/USD,30278,30623,30103,30286,55754281.10234192,1840.92587672
1681516800000,2023-04-15 00:00:00,BTC/USD,30462,30575,30192,30278,24085839.34053562,795.48977279
1681430400000,2023-04-14 00:00:00,BTC/USD,30385,30968,30001,30462,79041875.90943828,2594.76974294
1681344000000,2023-04-13 00:00:00,BTC/USD,29884,30563,29867,30389,43517417.02395926,1432.01214334
1681257600000,2023-04-12 00:00:00,BTC/USD,30189,30468,29677,29879,50431842.154472366,1687.86914403
1681171200000,2023-04-11 00:00:00,BTC/USD,29614,30494,29579,30190,83155234.5305043,2754.39663897
1681084800000,2023-04-10 00:00:00,BTC/USD,28320,29724,28136,29613,66227094.650958866,2236.41963499
1680998400000,2023-04-09 00:00:00,BTC/USD,27908,28521,27767,28320,19343201.684755202,683.02265836
1680912000000,2023-04-08 00:00:00,BTC/USD,27889,28151,27833,27901,11220785.214683041,402.16426704
1680825600000,2023-04-07 00:00:00,BTC/USD,28019,28083,27755,27889,9324241.11201963,334.33400667
1680739200000,2023-04-06 00:00:00,BTC/USD,28152,28164,27717,28019,24688579.59655185,881.13707115
1680652800000,2023-04-05 00:00:00,BTC/USD,28153,28801,27828,28153,42719595.47688412,1517.40828604
1680566400000,2023-04-04 00:00:00,BTC/USD,27795,28449,27671,28154,30474659.989726678,1082.42736342
1680480000000,2023-04-03 00:00:00,BTC/USD,28173,28500,27213,27795,73381332.87969016,2640.09112717
1680393600000,2023-04-02 00:00:00,BTC/USD,28443,28515,27839,28173,28245449.964585777,1002.57160986
