Open,Last update,Platform,Symbol,Timeframe,Account balance at open,Size,Expected close,Expiry,Close,Status,Side,Opening price,Closing price,Take profit,Stop loss,Leverage,TP price %,SL price %,Expected profit,Risk %,R/R ratio,PnL,Fee %,Fee Amount,Order Type
29/08/2023 04:00:00,30/01/2024 12:16:14,Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_04_11_23.csv,BTC_USD,FOUR_HOUR,10000.0,0.082,31/08/2023 00:00:00,31/08/2023 00:00:00,29/08/2023 16:00:00,TAKE_PROFIT_HIT,LONG,26000.0,28029.5,28029.5,19911.49,0.213,7.24,30.58,164.29,5,0.3,164.29,0.1,2.132,TAKER
29/08/2023 20:00:00,30/01/2024 12:16:14,Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_04_11_23.csv,BTC_USD,FOUR_HOUR,10164.29,0.139,31/08/2023 16:00:00,31/08/2023 16:00:00,31/08/2023 16:00:00,EXPIRED,LONG,27718.0,26171.0,28938.93,24055.21,0.379,4.22,15.23,165.86,5,0.3,-218.89,0.1,3.8528020000000005,TAKER
08/09/2023 00:00:00,30/01/2024 12:16:16,Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_04_11_23.csv,BTC_USD,FOUR_HOUR,9945.4,0.043,09/09/2023 20:00:00,09/09/2023 20:00:00,09/09/2023 20:00:00,EXPIRED,LONG,26252.0,25898.0,30084.38,14754.87,0.114,12.74,77.92,163.66,5,0.3,-16.35,0.1,1.128836,TAKER
12/09/2023 04:00:00,30/01/2024 12:16:16,Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_04_11_23.csv,BTC_USD,FOUR_HOUR,9929.05,0.291,14/09/2023 00:00:00,14/09/2023 00:00:00,12/09/2023 12:00:00,TAKE_PROFIT_HIT,LONG,25798.0,26366.14,26366.14,24093.58,0.756,2.15,7.07,157.82,5,0.3,157.82,0.1,7.507218,TAKER
12/09/2023 16:00:00,30/01/2024 12:16:16,Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_04_11_23.csv,BTC_USD,FOUR_HOUR,10086.87,0.442,14/09/2023 12:00:00,14/09/2023 12:00:00,12/09/2023 16:00:00,TAKE_PROFIT_HIT,LONG,26068.0,26448.28,26448.28,24927.15,1.142,1.44,4.58,156.56,5,0.3,156.56,0.1,11.522056,TAKER
16/09/2023 12:00:00,30/01/2024 12:16:17,Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_04_11_23.csv,BTC_USD,FOUR_HOUR,10243.43,0.498,18/09/2023 08:00:00,18/09/2023 08:00:00,18/09/2023 08:00:00,TAKE_PROFIT_HIT,LONG,26521.0,26863.97,26863.97,25492.09,1.289,1.28,4.04,157.59,5,0.3,157.59,0.1,13.207458,TAKER
18/09/2023 12:00:00,30/01/2024 12:16:17,Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_04_11_23.csv,BTC_USD,FOUR_HOUR,10401.02,0.052,20/09/2023 08:00:00,20/09/2023 08:00:00,20/09/2023 08:00:00,EXPIRED,LONG,27279.0,27105.0,30602.98,17307.06,0.136,10.86,57.62,171.43,5,0.3,-10.47,0.1,1.418508,TAKER
21/09/2023 04:00:00,30/01/2024 12:16:17,Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_04_11_23.csv,BTC_USD,FOUR_HOUR,10390.55,0.047,23/09/2023 00:00:00,23/09/2023 00:00:00,23/09/2023 00:00:00,EXPIRED,LONG,26980.0,26543.0,30692.0,15844.01,0.122,12.09,70.29,173.2,5,0.3,-21.81,0.1,1.26806,TAKER
27/09/2023 12:00:00,30/01/2024 12:16:18,Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_04_11_23.csv,BTC_USD,FOUR_HOUR,10368.74,0.073,29/09/2023 08:00:00,29/09/2023 08:00:00,29/09/2023 08:00:00,EXPIRED,LONG,26257.0,26973.0,28638.29,19113.14,0.185,8.32,37.38,171.92,5,0.3,50.35,0.1,1.9167610000000002,TAKER
02/10/2023 00:00:00,30/01/2024 12:16:18,Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_04_11_23.csv,BTC_USD,FOUR_HOUR,10419.09,0.058,03/10/2023 20:00:00,03/10/2023 20:00:00,03/10/2023 20:00:00,EXPIRED,LONG,28108.0,27426.0,31092.45,19154.65,0.156,9.6,46.74,171.47,5,0.3,-41.19,0.1,1.6302640000000002,TAKER
06/10/2023 16:00:00,30/01/2024 12:16:19,Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_04_11_23.csv,BTC_USD,FOUR_HOUR,10377.9,0.136,08/10/2023 12:00:00,08/10/2023 12:00:00,08/10/2023 12:00:00,EXPIRED,LONG,27994.0,27912.0,29270.01,24165.97,0.367,4.36,15.84,169.73,5,0.3,-14.96,0.1,3.8071840000000003,TAKER
16/10/2023 00:00:00,30/01/2024 12:16:20,Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_04_11_23.csv,BTC_USD,FOUR_HOUR,10362.94,0.035,17/10/2023 20:00:00,17/10/2023 20:00:00,17/10/2023 20:00:00,EXPIRED,LONG,27244.0,28407.0,32188.36,12410.93,0.092,15.36,119.52,172.1,5,0.3,39.75,0.1,0.9535400000000002,TAKER
19/10/2023 20:00:00,30/01/2024 12:16:20,Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_04_11_23.csv,BTC_USD,FOUR_HOUR,10402.69,0.039,21/10/2023 16:00:00,21/10/2023 16:00:00,21/10/2023 16:00:00,EXPIRED,LONG,28739.0,30168.0,33179.08,15418.76,0.108,13.38,86.39,172.04,5,0.3,54.61,0.1,1.120821,TAKER
22/10/2023 12:00:00,30/01/2024 12:16:21,Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_04_11_23.csv,BTC_USD,FOUR_HOUR,10457.3,0.388,24/10/2023 08:00:00,24/10/2023 08:00:00,23/10/2023 00:00:00,TAKE_PROFIT_HIT,LONG,29845.0,30293.87,30293.87,28498.39,1.107,1.48,4.73,162.58,5,0.3,162.58,0.1,11.579860000000002,TAKER
23/10/2023 08:00:00,30/01/2024 12:16:21,Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_04_11_23.csv,BTC_USD,FOUR_HOUR,10619.88,0.048,25/10/2023 04:00:00,25/10/2023 04:00:00,23/10/2023 20:00:00,TAKE_PROFIT_HIT,LONG,30658.0,34337.73,34337.73,19618.81,0.139,10.72,56.27,175.16,5,0.3,175.16,0.1,1.471584,TAKER
