Open,Last update,Platform,Symbol,Timeframe,Account balance at open,Size,Expected close,Expiry,Close,Status,Side,Opening price,Closing price,Take profit,Stop loss,Leverage,TP price %,SL price %,Expected profit,Risk %,R/R ratio,PnL,Fee %,Fee Amount,Order Type
07/12/2018 08:00:00,02/02/2024 07:31:30,Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,FOUR_HOUR,10000.0,2.319,09/12/2018 04:00:00,09/12/2018 04:00:00,07/12/2018 12:00:00,TAKE_PROFIT_HIT,SHORT,3378.0,3306.12,3306.12,3593.63,0.783,2.17,6.0,158.86,5,0.3,158.86,0.1,7.833582,TAKER
30/11/2021 04:00:00,02/02/2024 07:31:30,Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,FOUR_HOUR,10158.86,0.239,02/12/2021 00:00:00,02/12/2021 00:00:00,30/11/2021 12:00:00,STOP_LOSS_HIT,SHORT,56536.0,58664.31,55826.56,58664.31,1.33,1.27,3.63,156.04,5,0.3,-522.18,0.1,13.512103999999999,TAKER
28/03/2018 00:00:00,02/02/2024 07:31:31,Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,FOUR_HOUR,9636.68,1.112,29/03/2018 20:00:00,29/03/2018 20:00:00,29/03/2018 04:00:00,TAKE_PROFIT_HIT,SHORT,7871.0,7726.53,7726.53,8304.42,0.908,1.87,5.22,151.9,5,0.3,151.9,0.1,8.752552000000001,TAKER
23/02/2019 04:00:00,02/02/2024 07:31:31,Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,FOUR_HOUR,9788.58,2.511,25/02/2019 00:00:00,25/02/2019 00:00:00,23/02/2019 16:00:00,TAKE_PROFIT_HIT,LONG,3928.0,3992.98,3992.98,3733.06,1.008,1.63,5.22,153.3,5,0.3,153.3,0.1,9.863208,TAKER
31/07/2019 12:00:00,02/02/2024 07:31:31,Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,FOUR_HOUR,9941.88,0.653,02/08/2019 08:00:00,02/08/2019 08:00:00,01/08/2019 16:00:00,TAKE_PROFIT_HIT,LONG,10058.0,10311.58,10311.58,9297.27,0.661,2.46,8.18,159.02,5,0.3,159.02,0.1,6.567874000000001,TAKER
06/02/2020 12:00:00,02/02/2024 07:31:31,Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,FOUR_HOUR,10100.9,0.929,08/02/2020 08:00:00,08/02/2020 08:00:00,08/02/2020 08:00:00,EXPIRED,SHORT,9785.0,9811.0,9603.76,10328.73,0.9,1.89,5.26,159.28,5,0.3,-33.24,0.1,9.090265000000002,TAKER
22/07/2019 20:00:00,02/02/2024 07:31:32,Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,FOUR_HOUR,10067.66,0.742,24/07/2019 16:00:00,24/07/2019 16:00:00,24/07/2019 00:00:00,STOP_LOSS_HIT,LONG,10327.0,9648.22,10553.26,9648.22,0.761,2.14,7.04,160.22,5,0.3,-511.32,0.1,7.662634000000001,TAKER
21/08/2018 04:00:00,02/02/2024 07:31:32,Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,FOUR_HOUR,9556.34,1.716,23/08/2018 00:00:00,23/08/2018 00:00:00,21/08/2018 20:00:00,TAKE_PROFIT_HIT,LONG,6399.0,6491.81,6491.81,6120.56,1.149,1.43,4.55,148.28,5,0.3,148.28,0.1,10.980683999999998,TAKER
13/08/2021 00:00:00,02/02/2024 07:31:33,Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,FOUR_HOUR,9704.62,0.146,14/08/2021 20:00:00,14/08/2021 20:00:00,13/08/2021 04:00:00,TAKE_PROFIT_HIT,LONG,45205.0,46316.11,46316.11,41871.68,0.68,2.4,7.96,155.62,5,0.3,155.62,0.1,6.59993,TAKER
10/04/2019 00:00:00,02/02/2024 07:31:33,Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,FOUR_HOUR,9860.24,2.288,11/04/2019 20:00:00,11/04/2019 20:00:00,10/04/2019 16:00:00,TAKE_PROFIT_HIT,LONG,5223.0,5294.82,5294.82,5007.54,1.212,1.36,4.3,152.37,5,0.3,152.37,0.1,11.950223999999999,TAKER
