Open,Last update,Platform,Symbol,Timeframe,Account balance at open,Size,Expected close,Expiry,Close,Status,Side,Opening price,Closing price,Take profit,Stop loss,Leverage,TP price %,SL price %,Expected profit,Risk %,R/R ratio,PnL,Fee %,Fee Amount,Order Type
12/04/2018 08:00:00,02/02/2024 07:48:34,Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,FOUR_HOUR,10000.0,3.507,14/04/2018 04:00:00,14/04/2018 04:00:00,12/04/2018 08:00:00,STOP_LOSS_HIT,LONG,7735.0,7592.42,8020.15,7592.42,2.713,3.56,1.88,972.89,5,2.1,-527.15,0.1,27.126645000000003,TAKER
27/04/2021 12:00:00,02/02/2024 07:48:34,Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,FOUR_HOUR,9472.85,1.375,29/04/2021 08:00:00,29/04/2021 08:00:00,27/04/2021 16:00:00,TAKE_PROFIT_HIT,SHORT,55105.0,54416.04,54416.04,55449.48,7.999,1.27,0.62,871.55,4,2.2,871.55,0.1,75.769375,TAKER
13/03/2022 20:00:00,02/02/2024 07:48:34,Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,FOUR_HOUR,10344.4,1.636,15/03/2022 16:00:00,15/03/2022 16:00:00,13/03/2022 20:00:00,STOP_LOSS_HIT,SHORT,37791.0,38107.24,37158.51,38107.24,5.977,1.7,0.83,972.93,4,2.1,-579.19,0.1,61.82607599999999,TAKER
04/07/2018 12:00:00,02/02/2024 07:48:34,Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,FOUR_HOUR,9765.21,11.268,06/07/2018 08:00:00,06/07/2018 08:00:00,04/07/2018 12:00:00,STOP_LOSS_HIT,SHORT,6684.0,6727.33,6597.34,6727.33,7.713,1.31,0.64,901.17,4,2.2,-563.56,0.1,75.315312,TAKER
31/10/2018 16:00:00,02/02/2024 07:48:34,Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,FOUR_HOUR,9201.65,9.082,02/11/2018 12:00:00,02/11/2018 12:00:00,02/11/2018 12:00:00,EXPIRED,LONG,6300.0,6357.0,6401.31,6249.34,6.218,1.58,0.81,862.88,4,2.1,460.46,0.1,57.21660000000001,TAKER
08/01/2021 20:00:00,02/02/2024 07:48:35,Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,FOUR_HOUR,9662.11,1.586,10/01/2021 16:00:00,10/01/2021 16:00:00,08/01/2021 20:00:00,STOP_LOSS_HIT,SHORT,40636.0,40940.56,40026.88,40940.56,6.67,1.52,0.74,901.62,4,2.2,-547.48,0.1,64.44869600000001,TAKER
19/11/2019 08:00:00,02/02/2024 07:48:35,Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,FOUR_HOUR,9114.63,7.078,21/11/2019 04:00:00,21/11/2019 04:00:00,20/11/2019 16:00:00,TAKE_PROFIT_HIT,LONG,8064.0,8192.78,8192.78,7999.61,6.262,1.57,0.8,854.43,4,2.1,854.43,0.1,57.07699200000001,TAKER
28/03/2022 08:00:00,02/02/2024 07:48:35,Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,FOUR_HOUR,9969.06,1.143,30/03/2022 04:00:00,30/03/2022 04:00:00,28/03/2022 16:00:00,TAKE_PROFIT_HIT,LONG,47272.0,48144.28,48144.28,46835.86,5.42,1.81,0.93,942.98,4,2.1,942.98,0.1,54.031896,TAKER
08/04/2020 00:00:00,02/02/2024 07:48:36,Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,FOUR_HOUR,10912.04,11.962,09/04/2020 20:00:00,09/04/2020 20:00:00,08/04/2020 00:00:00,TAKE_PROFIT_HIT,SHORT,7356.0,7264.78,7264.78,7401.61,8.064,1.26,0.62,1003.18,4,2.2,1003.18,0.1,87.99247199999999,TAKER
31/05/2022 16:00:00,02/02/2024 07:48:36,Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,FOUR_HOUR,11915.22,1.763,02/06/2022 12:00:00,02/06/2022 12:00:00,31/05/2022 16:00:00,STOP_LOSS_HIT,SHORT,31620.0,31957.91,30944.19,31957.91,4.679,2.18,1.06,1135.71,5,2.1,-651.48,0.1,55.74606,TAKER
08/09/2021 12:00:00,02/02/2024 07:48:36,Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,FOUR_HOUR,11263.74,1.133,10/09/2021 08:00:00,10/09/2021 08:00:00,09/09/2021 00:00:00,STOP_LOSS_HIT,LONG,46072.0,45574.96,47066.09,45574.96,4.634,2.11,1.09,1074.1,5,2.1,-615.35,0.1,52.19957600000001,TAKER
