Open,Last update,Platform,Symbol,Timeframe,Account balance at open,Size,Expected close,Expiry,Close,Status,Side,Opening price,Closing price,Take profit,Stop loss,Leverage,TP price %,SL price %,Expected profit,Risk %,R/R ratio,PnL,Fee %,Fee Amount
02/07/2020 00:00:00,02/02/2024 11:23:16,Bitfinex_BTCUSD_d_17_12_17_to_30_06_22.csv,BTC_USD,DAY,10000.0,0.62,15/07/2020 00:00:00,15/07/2020 00:00:00,15/07/2020 00:00:00,EXPIRED,SHORT,9100.0,9210.0,8831.1,9906.72,0.564,3.04,8.14,161.08,5,0.3,-73.84,0.1,5.642
15/08/2020 00:00:00,02/02/2024 11:23:16,Bitfinex_BTCUSD_d_17_12_17_to_30_06_22.csv,BTC_USD,DAY,9926.16,1.014,28/08/2020 00:00:00,28/08/2020 00:00:00,17/08/2020 00:00:00,TAKE_PROFIT_HIT,LONG,11873.0,12036.14,12036.14,11383.6,1.213,1.36,4.3,153.38,5,0.3,153.38,0.1,12.039222
25/05/2022 00:00:00,02/02/2024 11:23:16,Bitfinex_BTCUSD_d_17_12_17_to_30_06_22.csv,BTC_USD,DAY,10079.54,0.112,07/06/2022 00:00:00,07/06/2022 00:00:00,30/05/2022 00:00:00,TAKE_PROFIT_HIT,LONG,29526.0,31031.67,31031.67,25009.0,0.328,4.85,18.06,165.33,5,0.3,165.33,0.1,3.3069120000000005
24/11/2018 00:00:00,02/02/2024 11:23:17,Bitfinex_BTCUSD_d_17_12_17_to_30_06_22.csv,BTC_USD,DAY,10244.87,0.665,07/12/2018 00:00:00,07/12/2018 00:00:00,25/11/2018 00:00:00,TAKE_PROFIT_HIT,SHORT,3930.0,3673.21,3673.21,4700.36,0.255,6.99,16.39,168.15,5,0.3,168.15,0.1,2.6134500000000003
23/05/2021 00:00:00,02/02/2024 11:23:17,Bitfinex_BTCUSD_d_17_12_17_to_30_06_22.csv,BTC_USD,DAY,10413.02,0.209,05/06/2021 00:00:00,05/06/2021 00:00:00,23/05/2021 00:00:00,STOP_LOSS_HIT,SHORT,34747.0,37242.53,33915.16,37242.53,0.697,2.45,6.7,166.59,5,0.3,-528.83,0.1,7.262123
16/01/2019 00:00:00,02/02/2024 11:23:17,Bitfinex_BTCUSD_d_17_12_17_to_30_06_22.csv,BTC_USD,DAY,9884.19,2.58,29/01/2019 00:00:00,29/01/2019 00:00:00,16/01/2019 00:00:00,TAKE_PROFIT_HIT,LONG,3674.0,3737.85,3737.85,3482.45,0.959,1.71,5.5,155.25,5,0.3,155.25,0.1,9.47892
19/11/2019 00:00:00,02/02/2024 11:23:17,Bitfinex_BTCUSD_d_17_12_17_to_30_06_22.csv,BTC_USD,DAY,10039.44,0.681,02/12/2019 00:00:00,02/12/2019 00:00:00,21/11/2019 00:00:00,TAKE_PROFIT_HIT,SHORT,8165.0,7919.27,7919.27,8902.2,0.554,3.1,8.28,161.78,5,0.3,161.78,0.1,5.560365000000001
14/01/2019 00:00:00,02/02/2024 11:23:17,Bitfinex_BTCUSD_d_17_12_17_to_30_06_22.csv,BTC_USD,DAY,10201.22,3.176,27/01/2019 00:00:00,27/01/2019 00:00:00,14/01/2019 00:00:00,STOP_LOSS_HIT,LONG,3749.0,3588.39,3802.54,3588.39,1.167,1.41,4.48,158.14,5,0.3,-522.0,0.1,11.906824000000002
17/09/2019 00:00:00,02/02/2024 11:23:17,Bitfinex_BTCUSD_d_17_12_17_to_30_06_22.csv,BTC_USD,DAY,9679.22,0.246,30/09/2019 00:00:00,30/09/2019 00:00:00,24/09/2019 00:00:00,TAKE_PROFIT_HIT,SHORT,10215.0,9559.81,9559.81,12180.57,0.26,6.85,16.14,158.66,5,0.3,158.66,0.1,2.51289
19/10/2019 00:00:00,02/02/2024 11:23:17,Bitfinex_BTCUSD_d_17_12_17_to_30_06_22.csv,BTC_USD,DAY,9837.88,0.345,01/11/2019 00:00:00,01/11/2019 00:00:00,25/10/2019 00:00:00,TAKE_PROFIT_HIT,LONG,7993.0,8468.74,8468.74,6565.77,0.28,5.62,21.74,161.37,5,0.3,161.37,0.1,2.7575849999999997
16/01/2020 00:00:00,02/02/2024 11:23:17,Bitfinex_BTCUSD_d_17_12_17_to_30_06_22.csv,BTC_USD,DAY,9999.25,0.954,29/01/2020 00:00:00,29/01/2020 00:00:00,17/01/2020 00:00:00,TAKE_PROFIT_HIT,LONG,8721.0,8895.77,8895.77,8196.69,0.832,1.96,6.4,158.41,5,0.3,158.41,0.1,8.319834
24/01/2022 00:00:00,02/02/2024 11:23:18,Bitfinex_BTCUSD_d_17_12_17_to_30_06_22.csv,BTC_USD,DAY,10157.66,0.091,06/02/2022 00:00:00,06/02/2022 00:00:00,26/01/2022 00:00:00,TAKE_PROFIT_HIT,LONG,36702.0,38556.18,38556.18,31139.45,0.329,4.81,17.86,165.39,5,0.3,165.39,0.1,3.3398820000000002
30/08/2018 00:00:00,02/02/2024 11:23:18,Bitfinex_BTCUSD_d_17_12_17_to_30_06_22.csv,BTC_USD,DAY,10323.05,0.676,12/09/2018 00:00:00,12/09/2018 00:00:00,05/09/2018 00:00:00,TAKE_PROFIT_HIT,SHORT,6986.0,6731.57,6731.57,7749.29,0.457,3.78,9.85,167.27,5,0.3,167.27,0.1,4.722536
22/06/2020 00:00:00,02/02/2024 11:23:18,Bitfinex_BTCUSD_d_17_12_17_to_30_06_22.csv,BTC_USD,DAY,10490.32,0.452,05/07/2020 00:00:00,05/07/2020 00:00:00,22/06/2020 00:00:00,TAKE_PROFIT_HIT,SHORT,9698.0,9311.37,9311.37,10857.88,0.418,4.15,10.68,170.37,5,0.3,170.37,0.1,4.383496
01/12/2019 00:00:00,02/02/2024 11:23:18,Bitfinex_BTCUSD_d_17_12_17_to_30_06_22.csv,BTC_USD,DAY,10660.69,1.212,14/12/2019 00:00:00,14/12/2019 00:00:00,01/12/2019 00:00:00,TAKE_PROFIT_HIT,SHORT,7450.0,7303.38,7303.38,7889.85,0.847,2.01,5.57,168.67,5,0.3,168.67,0.1,9.0294
02/05/2019 00:00:00,02/02/2024 11:23:18,Bitfinex_BTCUSD_d_17_12_17_to_30_06_22.csv,BTC_USD,DAY,10829.36,0.236,15/05/2019 00:00:00,15/05/2019 00:00:00,10/05/2019 00:00:00,TAKE_PROFIT_HIT,LONG,5724.0,6488.5,6488.5,3430.51,0.125,11.78,66.86,179.07,5,0.3,179.07,0.1,1.350864
31/01/2021 00:00:00,02/02/2024 11:23:18,Bitfinex_BTCUSD_d_17_12_17_to_30_06_22.csv,BTC_USD,DAY,11008.43,0.049,13/02/2021 00:00:00,13/02/2021 00:00:00,03/02/2021 00:00:00,TAKE_PROFIT_HIT,LONG,33138.0,36862.17,36862.17,21965.51,0.148,10.1,50.86,180.86,5,0.3,180.86,0.1,1.6237620000000004
07/01/2021 00:00:00,02/02/2024 11:23:19,Bitfinex_BTCUSD_d_17_12_17_to_30_06_22.csv,BTC_USD,DAY,11189.29,0.165,20/01/2021 00:00:00,20/01/2021 00:00:00,08/01/2021 00:00:00,TAKE_PROFIT_HIT,LONG,39401.0,40531.66,40531.66,36009.02,0.581,2.79,9.42,180.06,5,0.3,180.06,0.1,6.501165000000001
05/09/2018 00:00:00,02/02/2024 11:23:19,Bitfinex_BTCUSD_d_17_12_17_to_30_06_22.csv,BTC_USD,DAY,11369.35,1.373,18/09/2018 00:00:00,18/09/2018 00:00:00,05/09/2018 00:00:00,STOP_LOSS_HIT,SHORT,6704.0,7118.16,6565.95,7118.16,0.81,2.1,5.82,180.34,5,0.3,-577.85,0.1,9.204592000000002
10/06/2021 00:00:00,02/02/2024 11:23:19,Bitfinex_BTCUSD_d_17_12_17_to_30_06_22.csv,BTC_USD,DAY,10791.5,0.117,23/06/2021 00:00:00,23/06/2021 00:00:00,12/06/2021 00:00:00,TAKE_PROFIT_HIT,SHORT,36663.0,35130.49,35130.49,41260.54,0.397,4.36,11.14,175.01,5,0.3,175.01,0.1,4.2895710000000005
23/12/2020 00:00:00,02/02/2024 11:23:19,Bitfinex_BTCUSD_d_17_12_17_to_30_06_22.csv,BTC_USD,DAY,10966.51,0.061,05/01/2021 00:00:00,05/01/2021 00:00:00,26/12/2020 00:00:00,TAKE_PROFIT_HIT,LONG,23208.0,26186.52,26186.52,14272.46,0.129,11.37,62.61,180.27,5,0.3,180.27,0.1,1.4156879999999998
23/03/2021 00:00:00,02/02/2024 11:23:19,Bitfinex_BTCUSD_d_17_12_17_to_30_06_22.csv,BTC_USD,DAY,11146.78,0.224,05/04/2021 00:00:00,05/04/2021 00:00:00,23/03/2021 00:00:00,TAKE_PROFIT_HIT,SHORT,54337.0,53508.77,53508.77,56821.7,1.092,1.55,4.37,173.35,5,0.3,173.35,0.1,12.171488
01/09/2020 00:00:00,02/02/2024 11:23:19,Bitfinex_BTCUSD_d_17_12_17_to_30_06_22.csv,BTC_USD,DAY,11320.13,0.404,14/09/2020 00:00:00,14/09/2020 00:00:00,02/09/2020 00:00:00,TAKE_PROFIT_HIT,SHORT,11942.0,11474.83,11474.83,13343.51,0.426,4.07,10.5,183.91,5,0.3,183.91,0.1,4.824568
15/07/2020 00:00:00,02/02/2024 11:23:19,Bitfinex_BTCUSD_d_17_12_17_to_30_06_22.csv,BTC_USD,DAY,11504.04,0.361,28/07/2020 00:00:00,28/07/2020 00:00:00,25/07/2020 00:00:00,TAKE_PROFIT_HIT,LONG,9210.0,9741.05,9741.05,7616.85,0.289,5.45,20.92,188.38,5,0.3,188.38,0.1,3.32481
29/12/2019 00:00:00,02/02/2024 11:23:19,Bitfinex_BTCUSD_d_17_12_17_to_30_06_22.csv,BTC_USD,DAY,11692.42,0.757,11/01/2020 00:00:00,11/01/2020 00:00:00,06/01/2020 00:00:00,TAKE_PROFIT_HIT,LONG,7414.0,7671.56,7671.56,6641.31,0.48,3.36,11.63,189.36,5,0.3,189.36,0.1,5.612398000000001
19/08/2021 00:00:00,02/02/2024 11:23:19,Bitfinex_BTCUSD_d_17_12_17_to_30_06_22.csv,BTC_USD,DAY,11881.78,0.131,01/09/2021 00:00:00,01/09/2021 00:00:00,20/08/2021 00:00:00,TAKE_PROFIT_HIT,LONG,46765.0,48271.77,48271.77,42244.7,0.516,3.12,10.7,191.26,5,0.3,191.26,0.1,6.126215000000001
