Open,Last update,Platform,Symbol,Timeframe,Account balance at open,Size,Expected close,Expiry,Close,Status,Side,Opening price,Closing price,Take profit,Stop loss,Leverage,TP price %,SL price %,Expected profit,Risk %,R/R ratio,PnL,Fee %,Fee Amount
27/09/2021 08:00:00,02/02/2024 11:23:29,Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,FOUR_HOUR,10000.0,0.281,29/09/2021 04:00:00,29/09/2021 04:00:00,27/09/2021 12:00:00,TAKE_PROFIT_HIT,SHORT,43773.0,43180.42,43180.42,45550.73,1.23,1.37,3.9,154.21,5,0.3,154.21,0.1,12.300213000000003
27/03/2020 00:00:00,02/02/2024 11:23:30,Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,FOUR_HOUR,10154.21,1.94,28/03/2020 20:00:00,28/03/2020 20:00:00,27/03/2020 00:00:00,TAKE_PROFIT_HIT,SHORT,6822.0,6734.77,6734.77,7083.68,1.303,1.3,3.69,155.99,5,0.3,155.99,0.1,13.23468
23/07/2018 16:00:00,02/02/2024 11:23:30,Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,FOUR_HOUR,10310.2,1.194,25/07/2018 12:00:00,25/07/2018 12:00:00,24/07/2018 04:00:00,TAKE_PROFIT_HIT,LONG,7750.0,7893.93,7893.93,7318.21,0.898,1.82,5.9,162.6,5,0.3,162.6,0.1,9.2535
24/02/2022 12:00:00,02/02/2024 11:23:30,Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,FOUR_HOUR,10472.8,0.176,26/02/2022 08:00:00,26/02/2022 08:00:00,24/02/2022 16:00:00,TAKE_PROFIT_HIT,LONG,35964.0,36957.32,36957.32,32984.04,0.604,2.69,9.03,168.49,5,0.3,168.49,0.1,6.329664
20/12/2017 12:00:00,02/02/2024 11:23:31,Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,FOUR_HOUR,10641.29,0.48,22/12/2017 08:00:00,22/12/2017 08:00:00,20/12/2017 12:00:00,STOP_LOSS_HIT,SHORT,16492.0,17600.51,16122.5,17600.51,0.744,2.29,6.3,169.44,5,0.3,-540.0,0.1,7.91616
01/01/2021 12:00:00,02/02/2024 11:23:31,Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,FOUR_HOUR,10101.29,0.216,03/01/2021 08:00:00,03/01/2021 08:00:00,02/01/2021 12:00:00,TAKE_PROFIT_HIT,LONG,29251.0,30029.94,30029.94,26914.19,0.625,2.59,8.68,161.93,5,0.3,161.93,0.1,6.318216000000001
23/08/2019 08:00:00,02/02/2024 11:23:31,Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,FOUR_HOUR,10263.22,1.107,25/08/2019 04:00:00,25/08/2019 04:00:00,24/08/2019 08:00:00,TAKE_PROFIT_HIT,SHORT,10145.0,9990.47,9990.47,10608.6,1.094,1.55,4.37,159.83,5,0.3,159.83,0.1,11.230515
11/07/2020 04:00:00,02/02/2024 11:23:32,Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,FOUR_HOUR,10423.05,1.285,13/07/2020 00:00:00,13/07/2020 00:00:00,13/07/2020 00:00:00,EXPIRED,LONG,9272.0,9273.0,9407.19,8866.44,1.143,1.44,4.57,161.8,5,0.3,-10.63,0.1,11.91452
22/05/2021 04:00:00,02/02/2024 11:23:33,Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,FOUR_HOUR,10412.42,0.156,24/05/2021 00:00:00,24/05/2021 00:00:00,23/05/2021 08:00:00,TAKE_PROFIT_HIT,SHORT,36334.0,35223.37,35223.37,39665.9,0.544,3.15,8.4,167.59,5,0.3,167.59,0.1,5.6681040000000005
18/06/2021 12:00:00,02/02/2024 11:23:35,Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,FOUR_HOUR,10580.01,0.187,20/06/2021 08:00:00,20/06/2021 08:00:00,18/06/2021 16:00:00,TAKE_PROFIT_HIT,SHORT,36369.0,35425.18,35425.18,39200.45,0.643,2.66,7.22,169.69,5,0.3,169.69,0.1,6.801003000000001
