Open,Last update,Platform,Symbol,Timeframe,Account balance at open,Size,Expected close,Expiry,Close,Status,Side,Opening price,Closing price,Take profit,Stop loss,Leverage,TP price %,SL price %,Expected profit,Risk %,R/R ratio,PnL,Fee %,Fee Amount
28/02/2020 00:00:00,08/02/2024 12:53:14,Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,FOUR_HOUR,10000.0,1.209,29/02/2020 20:00:00,29/02/2020 20:00:00,28/02/2020 12:00:00,STOP_LOSS_HIT,LONG,8846.0,8432.43,8983.86,8432.43,1.069,1.53,4.9,155.98,5,0.3,-510.7,0.1,10.694814000000001
11/05/2019 12:00:00,08/02/2024 12:53:14,Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,FOUR_HOUR,9489.3,0.433,13/05/2019 08:00:00,13/05/2019 08:00:00,11/05/2019 20:00:00,TAKE_PROFIT_HIT,LONG,6944.0,7308.88,7308.88,5849.37,0.317,4.99,18.71,154.99,5,0.3,154.99,0.1,3.006752
22/03/2020 00:00:00,08/02/2024 12:53:14,Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,FOUR_HOUR,9644.29,0.73,23/03/2020 20:00:00,23/03/2020 20:00:00,23/03/2020 00:00:00,STOP_LOSS_HIT,LONG,6362.0,5701.02,6582.33,5701.02,0.482,3.35,11.59,156.2,5,0.3,-487.16,0.1,4.64426
10/08/2020 12:00:00,08/02/2024 12:53:14,Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,FOUR_HOUR,9157.13,0.964,12/08/2020 08:00:00,12/08/2020 08:00:00,11/08/2020 12:00:00,STOP_LOSS_HIT,LONG,11941.0,11466.06,12099.31,11466.06,1.257,1.31,4.14,141.1,5,0.3,-469.35,0.1,11.511124
16/02/2018 16:00:00,08/02/2024 12:53:15,Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,FOUR_HOUR,8687.78,0.967,18/02/2018 12:00:00,18/02/2018 12:00:00,16/02/2018 20:00:00,TAKE_PROFIT_HIT,LONG,10041.0,10190.76,10190.76,9591.71,1.118,1.47,4.68,135.11,5,0.3,135.11,0.1,9.709647
04/02/2021 04:00:00,08/02/2024 12:53:15,Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,FOUR_HOUR,8822.89,0.219,06/02/2021 00:00:00,06/02/2021 00:00:00,04/02/2021 08:00:00,TAKE_PROFIT_HIT,LONG,37871.0,38542.32,38542.32,35857.04,0.94,1.74,5.62,138.73,5,0.3,138.73,0.1,8.293749
07/01/2021 04:00:00,08/02/2024 12:53:15,Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,FOUR_HOUR,8961.62,0.179,09/01/2021 00:00:00,09/01/2021 00:00:00,07/01/2021 04:00:00,TAKE_PROFIT_HIT,LONG,36941.0,37776.02,37776.02,34435.93,0.738,2.21,7.27,142.86,5,0.3,142.86,0.1,6.612438999999999
03/08/2019 04:00:00,08/02/2024 12:53:15,Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,FOUR_HOUR,9104.48,0.689,05/08/2019 00:00:00,05/08/2019 00:00:00,04/08/2019 20:00:00,TAKE_PROFIT_HIT,LONG,10826.0,11046.12,11046.12,10165.63,0.819,1.99,6.5,144.2,5,0.3,144.2,0.1,7.459114
27/01/2021 00:00:00,08/02/2024 12:53:15,Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,FOUR_HOUR,9248.68,0.172,28/01/2021 20:00:00,28/01/2021 20:00:00,28/01/2021 16:00:00,TAKE_PROFIT_HIT,LONG,31853.0,32748.73,32748.73,29165.82,0.592,2.74,9.21,148.59,5,0.3,148.59,0.1,5.4787159999999995
06/11/2018 08:00:00,08/02/2024 12:53:15,Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,FOUR_HOUR,9397.27,0.294,08/11/2018 04:00:00,08/11/2018 04:00:00,08/11/2018 04:00:00,EXPIRED,LONG,6392.0,6447.0,6924.5,4794.5,0.2,7.69,33.32,154.68,5,0.3,14.29,0.1,1.879248
27/07/2020 00:00:00,08/02/2024 12:53:15,Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,FOUR_HOUR,9411.56,0.12,28/07/2020 20:00:00,28/07/2020 20:00:00,28/07/2020 20:00:00,EXPIRED,LONG,10265.0,10938.0,11571.64,6345.08,0.131,11.29,61.78,155.56,5,0.3,79.53,0.1,1.2318
20/09/2019 04:00:00,08/02/2024 12:53:15,Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,FOUR_HOUR,9491.09,1.092,22/09/2019 00:00:00,22/09/2019 00:00:00,22/09/2019 00:00:00,EXPIRED,LONG,10162.0,9875.0,10306.88,9727.36,1.169,1.41,4.47,147.11,5,0.3,-324.5,0.1,11.096904000000002
