Open,Last update,Platform,Symbol,Timeframe,Account balance at open,Size,Expected close,Expiry,Close,Status,Side,Opening price,Closing price,Take profit,Stop loss,Leverage,TP price %,SL price %,Expected profit,Risk %,R/R ratio,PnL,Fee %,Fee Amount
29/08/2023 04:00:00,08/02/2024 13:43:09,Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_04_11_23.csv,BTC_USD,FOUR_HOUR,10000.0,0.465,31/08/2023 00:00:00,31/08/2023 00:00:00,29/08/2023 12:00:00,TAKE_PROFIT_HIT,LONG,26000.0,26358.74,26358.74,24923.78,1.209,1.36,4.32,154.72,5,0.3,154.72,0.1,12.09
29/08/2023 16:00:00,08/02/2024 13:43:09,Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_04_11_23.csv,BTC_USD,FOUR_HOUR,10154.72,0.075,31/08/2023 12:00:00,31/08/2023 12:00:00,31/08/2023 12:00:00,EXPIRED,LONG,27843.0,26931.0,30085.29,21116.14,0.206,7.45,31.86,166.08,5,0.3,-70.49,0.1,2.088225
31/08/2023 16:00:00,08/02/2024 13:43:09,Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_04_11_23.csv,BTC_USD,FOUR_HOUR,10084.23,0.512,02/09/2023 12:00:00,02/09/2023 12:00:00,31/08/2023 16:00:00,TAKE_PROFIT_HIT,LONG,26171.0,26499.04,26499.04,25186.87,1.329,1.24,3.91,154.56,5,0.3,154.56,0.1,13.399552000000002
01/09/2023 00:00:00,08/02/2024 13:43:09,Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_04_11_23.csv,BTC_USD,FOUR_HOUR,10238.79,0.435,02/09/2023 20:00:00,02/09/2023 20:00:00,02/09/2023 20:00:00,EXPIRED,LONG,26080.0,25864.0,26471.93,24904.2,1.108,1.48,4.72,159.14,5,0.3,-105.3,0.1,11.3448
03/09/2023 00:00:00,08/02/2024 13:43:09,Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_04_11_23.csv,BTC_USD,FOUR_HOUR,10133.49,0.073,04/09/2023 20:00:00,04/09/2023 20:00:00,04/09/2023 20:00:00,EXPIRED,LONG,25865.0,25814.0,28173.07,18940.81,0.186,8.19,36.56,166.6,5,0.3,-5.61,0.1,1.8881450000000002
06/09/2023 20:00:00,08/02/2024 13:43:10,Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_04_11_23.csv,BTC_USD,FOUR_HOUR,10127.88,0.095,08/09/2023 16:00:00,08/09/2023 16:00:00,08/09/2023 16:00:00,EXPIRED,LONG,25752.0,25899.0,27537.48,20395.55,0.242,6.48,26.26,167.17,5,0.3,11.52,0.1,2.44644
08/09/2023 20:00:00,08/02/2024 13:43:10,Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_04_11_23.csv,BTC_USD,FOUR_HOUR,10139.4,0.189,10/09/2023 16:00:00,10/09/2023 16:00:00,10/09/2023 16:00:00,EXPIRED,LONG,25909.0,25790.0,26803.97,23224.09,0.483,3.34,11.56,164.25,5,0.3,-27.39,0.1,4.896801
10/09/2023 20:00:00,08/02/2024 13:43:10,Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_04_11_23.csv,BTC_USD,FOUR_HOUR,10112.01,0.399,12/09/2023 16:00:00,12/09/2023 16:00:00,12/09/2023 08:00:00,TAKE_PROFIT_HIT,LONG,25827.0,26249.43,26249.43,24559.73,1.019,1.61,5.16,158.24,5,0.3,158.24,0.1,10.304973
12/09/2023 12:00:00,08/02/2024 13:43:10,Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_04_11_23.csv,BTC_USD,FOUR_HOUR,10270.25,0.288,14/09/2023 08:00:00,14/09/2023 08:00:00,14/09/2023 08:00:00,EXPIRED,LONG,26207.0,26462.0,26800.48,24426.58,0.735,2.21,7.29,163.37,5,0.3,65.89,0.1,7.547616
14/09/2023 12:00:00,08/02/2024 13:43:10,Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_04_11_23.csv,BTC_USD,FOUR_HOUR,10336.14,0.329,16/09/2023 08:00:00,16/09/2023 08:00:00,16/09/2023 08:00:00,EXPIRED,LONG,26706.0,26527.0,27229.03,25136.91,0.85,1.92,6.24,163.29,5,0.3,-67.68,0.1,8.786274000000002
