Open,Last update,Platform,Symbol,Timeframe,Account balance at open,Size,Expected close,Expiry,Close,Status,Side,Opening price,Closing price,Take profit,Stop loss,Leverage,TP price %,SL price %,Expected profit,Risk %,R/R ratio,PnL,Fee %,Fee Amount
02/09/2023 04:00:00,15/02/2024 17:08:41,Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_14_02_24.csv,BTC_USD,FOUR_HOUR,10000.0,1.23,04/09/2023 00:00:00,04/09/2023 00:00:00,04/09/2023 00:00:00,EXPIRED,LONG,25795.0,25984.0,26608.11,25388.45,3.173,3.06,1.6,968.4,5,2.1,200.74,0.1,31.73
04/09/2023 04:00:00,15/02/2024 17:08:41,Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_14_02_24.csv,BTC_USD,FOUR_HOUR,10200.74,1.031,06/09/2023 00:00:00,06/09/2023 00:00:00,06/09/2023 00:00:00,EXPIRED,LONG,25957.0,25771.0,26946.33,25462.34,2.624,3.67,1.94,993.24,5,2.1,-218.53,0.1,26.76
06/09/2023 20:00:00,15/02/2024 17:08:41,Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_14_02_24.csv,BTC_USD,FOUR_HOUR,9982.21,1.532,08/09/2023 16:00:00,08/09/2023 16:00:00,07/09/2023 20:00:00,TAKE_PROFIT_HIT,LONG,25752.0,26403.53,26403.53,25426.24,3.952,2.47,1.28,958.69,5,2.1,958.69,0.1,39.45
08/09/2023 16:00:00,15/02/2024 17:08:42,Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_14_02_24.csv,BTC_USD,FOUR_HOUR,10940.9,1.972,10/09/2023 12:00:00,10/09/2023 12:00:00,10/09/2023 12:00:00,EXPIRED,LONG,25899.0,25769.0,26453.86,25621.57,4.668,2.1,1.08,1043.11,5,2.1,-307.43,0.1,51.07
10/09/2023 16:00:00,15/02/2024 17:08:42,Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_14_02_24.csv,BTC_USD,FOUR_HOUR,10633.47,1.63,12/09/2023 12:00:00,12/09/2023 12:00:00,11/09/2023 12:00:00,STOP_LOSS_HIT,LONG,25790.0,25463.78,26442.44,25463.78,3.953,2.47,1.28,1021.44,5,2.1,-573.78,0.1,42.04
11/09/2023 20:00:00,15/02/2024 17:08:42,Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_14_02_24.csv,BTC_USD,FOUR_HOUR,10059.69,1.578,13/09/2023 16:00:00,13/09/2023 16:00:00,12/09/2023 00:00:00,TAKE_PROFIT_HIT,LONG,25162.0,25799.5,25799.5,24843.25,3.947,2.47,1.28,966.27,5,2.1,966.27,0.1,39.71
13/09/2023 04:00:00,15/02/2024 17:08:42,Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_14_02_24.csv,BTC_USD,FOUR_HOUR,11025.96,2.021,15/09/2023 00:00:00,15/09/2023 00:00:00,14/09/2023 00:00:00,TAKE_PROFIT_HIT,LONG,25907.0,26452.55,26452.55,25634.23,4.749,2.06,1.06,1050.2,5,2.1,1050.2,0.1,52.36
14/09/2023 12:00:00,15/02/2024 17:08:42,Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_14_02_24.csv,BTC_USD,FOUR_HOUR,12076.16,1.676,16/09/2023 08:00:00,16/09/2023 08:00:00,15/09/2023 12:00:00,STOP_LOSS_HIT,LONG,26706.0,26345.73,27426.55,26345.73,3.706,2.63,1.37,1162.88,5,2.1,-648.57,0.1,44.76
16/09/2023 04:00:00,15/02/2024 17:08:42,Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_14_02_24.csv,BTC_USD,FOUR_HOUR,11427.59,1.914,18/09/2023 00:00:00,18/09/2023 00:00:00,18/09/2023 00:00:00,EXPIRED,LONG,26498.0,26657.0,27095.02,26199.49,4.438,2.2,1.14,1091.98,5,2.1,253.61,0.1,50.72
18/09/2023 12:00:00,15/02/2024 17:08:42,Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_14_02_24.csv,BTC_USD,FOUR_HOUR,11681.2,1.532,20/09/2023 08:00:00,20/09/2023 08:00:00,18/09/2023 16:00:00,STOP_LOSS_HIT,LONG,27279.0,26897.8,28041.4,26897.8,3.578,2.72,1.42,1126.21,5,2.1,-625.79,0.1,41.79
21/09/2023 20:00:00,15/02/2024 17:08:43,Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_14_02_24.csv,BTC_USD,FOUR_HOUR,11055.41,2.065,23/09/2023 16:00:00,23/09/2023 16:00:00,23/09/2023 16:00:00,EXPIRED,LONG,26578.0,26618.0,27113.33,26310.34,4.964,1.97,1.02,1050.58,5,2.1,27.72,0.1,54.88
