Open,Last update,Platform,Symbol,Timeframe,Account balance at open,Size,Expected close,Expiry,Close,Status,Side,Opening price,Closing price,Take profit,Stop loss,Leverage,TP price %,SL price %,Expected profit,Risk %,R/R ratio,PnL,Fee %,Fee Amount
20/09/2023 00:00:00,15/02/2024 17:13:26,Upscale-Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_14_02_24.csv,BTC_USD,DAY,10000.0,0.219,03/10/2023 00:00:00,03/10/2023 00:00:00,02/10/2023 00:00:00,TAKE_PROFIT_HIT,LONG,27129.0,28273.13,28273.13,24840.75,0.594,4.05,9.21,244.62,5,0.5,244.62,0.1,5.94
09/10/2023 00:00:00,15/02/2024 17:13:26,Upscale-Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_14_02_24.csv,BTC_USD,DAY,10244.62,0.282,22/10/2023 00:00:00,22/10/2023 00:00:00,16/10/2023 00:00:00,TAKE_PROFIT_HIT,LONG,27573.0,28480.15,28480.15,25758.7,0.759,3.19,7.04,248.04,5,0.5,248.04,0.1,7.78
21/10/2023 00:00:00,15/02/2024 17:13:26,Upscale-Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_14_02_24.csv,BTC_USD,DAY,10492.66,0.194,03/11/2023 00:00:00,03/11/2023 00:00:00,23/10/2023 00:00:00,TAKE_PROFIT_HIT,LONG,29920.0,31269.07,31269.07,27221.86,0.553,4.31,9.91,255.92,5,0.5,255.92,0.1,5.8
24/10/2023 00:00:00,15/02/2024 17:13:26,Upscale-Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_14_02_24.csv,BTC_USD,DAY,10748.58,0.177,06/11/2023 00:00:00,06/11/2023 00:00:00,01/11/2023 00:00:00,TAKE_PROFIT_HIT,LONG,33920.0,35434.19,35434.19,30891.62,0.559,4.27,9.8,262.01,5,0.5,262.01,0.1,6.0
14/11/2023 00:00:00,15/02/2024 17:13:26,Upscale-Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_14_02_24.csv,BTC_USD,DAY,11010.59,0.044,27/11/2023 00:00:00,27/11/2023 00:00:00,27/11/2023 00:00:00,EXPIRED,LONG,35575.0,37239.0,41802.44,23120.12,0.142,14.9,53.87,272.44,5,0.5,71.65,0.1,1.57
28/11/2023 00:00:00,15/02/2024 17:13:26,Upscale-Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_14_02_24.csv,BTC_USD,DAY,11082.24,0.13,11/12/2023 00:00:00,11/12/2023 00:00:00,03/12/2023 00:00:00,TAKE_PROFIT_HIT,LONG,37837.0,39974.48,39974.48,33562.04,0.444,5.35,12.74,272.95,5,0.5,272.95,0.1,4.92
04/12/2023 00:00:00,15/02/2024 17:13:26,Upscale-Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_14_02_24.csv,BTC_USD,DAY,11355.19,0.118,17/12/2023 00:00:00,17/12/2023 00:00:00,05/12/2023 00:00:00,TAKE_PROFIT_HIT,LONG,41976.0,44388.94,44388.94,37150.11,0.436,5.44,12.99,279.78,5,0.5,279.78,0.1,4.95
06/12/2023 00:00:00,15/02/2024 17:13:26,Upscale-Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_14_02_24.csv,BTC_USD,DAY,11634.97,0.097,19/12/2023 00:00:00,19/12/2023 00:00:00,19/12/2023 00:00:00,EXPIRED,LONG,43782.0,42264.0,46776.69,37792.62,0.365,6.4,15.85,286.23,5,0.5,-151.5,0.1,4.25
20/12/2023 00:00:00,15/02/2024 17:13:26,Upscale-Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_14_02_24.csv,BTC_USD,DAY,11483.47,0.109,02/01/2024 00:00:00,02/01/2024 00:00:00,02/01/2024 00:00:00,EXPIRED,LONG,43667.0,44969.0,46304.35,38392.32,0.414,5.7,13.74,282.71,5,0.5,137.16,0.1,4.76
03/01/2024 00:00:00,15/02/2024 17:13:26,Upscale-Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_14_02_24.csv,BTC_USD,DAY,11620.63,0.034,16/01/2024 00:00:00,16/01/2024 00:00:00,16/01/2024 00:00:00,EXPIRED,LONG,42855.0,43126.0,51325.65,25913.71,0.125,16.5,65.38,286.54,5,0.5,7.75,0.1,1.46
23/01/2024 00:00:00,15/02/2024 17:13:26,Upscale-Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_14_02_24.csv,BTC_USD,DAY,11628.38,0.084,05/02/2024 00:00:00,05/02/2024 00:00:00,30/01/2024 00:00:00,TAKE_PROFIT_HIT,LONG,39864.0,43325.64,43325.64,32940.73,0.288,7.99,21.02,287.43,5,0.5,287.43,0.1,3.35
