Open,Last update,Platform,Symbol,Timeframe,Account balance at open,Size,Expected close,Expiry,Close,Status,Side,Opening price,Closing price,Take profit,Stop loss,Leverage,TP price %,SL price %,Expected profit,Risk %,R/R ratio,PnL
01/08/2019 00:00:00,16/06/2023 15:39:32,Bitfinex_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,100000.0,14.888,08/08/2019 00:00:00,07/08/2019 00:00:00,03/08/2019 00:00:00,TAKE_PROFIT_HIT,LONG,10400.0,10803.01,10803.01,10265.66,1.548,3.73,1.31,6000.01,2,3.0,6000.01
16/06/2021 00:00:00,16/06/2023 15:39:32,Bitfinex_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,106000.01,2.869,22/06/2021 00:00:00,22/06/2021 00:00:00,17/06/2021 00:00:00,STOP_LOSS_HIT,SHORT,38346.0,39084.83,36129.52,39084.83,1.038,6.13,1.89,6359.08,2,3.0,-2119.7
25/01/2020 00:00:00,16/06/2023 15:39:32,Bitfinex_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,103880.31,29.748,31/01/2020 00:00:00,31/01/2020 00:00:00,26/01/2020 00:00:00,TAKE_PROFIT_HIT,LONG,8354.0,8563.51,8563.51,8284.16,2.392,2.45,0.84,6232.5,2,3.0,6232.5
28/10/2020 00:00:00,16/06/2023 15:39:32,Bitfinex_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,110112.81,7.799,03/11/2020 00:00:00,03/11/2020 00:00:00,29/10/2020 00:00:00,STOP_LOSS_HIT,LONG,13267.0,12984.62,14114.16,12984.62,0.94,6.0,2.17,6607.0,2,3.0,-2202.28
23/07/2021 00:00:00,16/06/2023 15:39:32,Bitfinex_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,107910.53,3.278,30/07/2021 00:00:00,29/07/2021 00:00:00,26/07/2021 00:00:00,TAKE_PROFIT_HIT,LONG,33650.0,35625.21,35625.21,32991.6,1.022,5.54,2.0,6474.74,2,3.0,6474.74
10/08/2019 00:00:00,16/06/2023 15:39:32,Bitfinex_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,114385.27,12.322,15/08/2019 00:00:00,16/08/2019 00:00:00,11/08/2019 00:00:00,STOP_LOSS_HIT,SHORT,11311.0,11496.66,10754.01,11496.66,1.218,5.18,1.61,6863.23,2,3.0,-2287.7
18/11/2020 00:00:00,16/06/2023 15:39:32,Bitfinex_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,112097.57,8.707,25/11/2020 00:00:00,24/11/2020 00:00:00,19/11/2020 00:00:00,STOP_LOSS_HIT,LONG,17774.0,17516.5,18546.49,17516.5,1.381,4.17,1.47,6726.07,2,3.0,-2242.05
03/03/2018 00:00:00,16/06/2023 15:39:32,Bitfinex_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,109855.52,13.609,10/03/2018 00:00:00,09/03/2018 00:00:00,05/03/2018 00:00:00,STOP_LOSS_HIT,SHORT,11454.0,11615.45,10969.64,11615.45,1.419,4.42,1.39,6591.66,2,3.0,-2197.17
10/12/2018 00:00:00,16/06/2023 15:39:32,Bitfinex_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,107658.35,79.248,15/12/2018 00:00:00,16/12/2018 00:00:00,11/12/2018 00:00:00,TAKE_PROFIT_HIT,SHORT,3525.0,3443.48,3443.48,3552.17,2.595,2.37,0.76,6460.3,2,3.0,6460.3
29/01/2021 00:00:00,16/06/2023 15:39:32,Bitfinex_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,114118.65,5.455,04/02/2021 00:00:00,04/02/2021 00:00:00,30/01/2021 00:00:00,STOP_LOSS_HIT,LONG,34253.0,33834.62,35508.14,33834.62,1.637,3.53,1.24,6846.79,2,3.0,-2282.26
05/02/2018 00:00:00,16/06/2023 15:39:32,Bitfinex_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,111836.39,54.276,06/02/2018 00:00:00,11/02/2018 00:00:00,06/02/2018 00:00:00,STOP_LOSS_HIT,SHORT,6947.0,6988.21,6823.39,6988.21,3.371,1.81,0.59,6709.06,2,3.0,-2236.71
22/10/2019 00:00:00,16/06/2023 15:39:32,Bitfinex_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,109599.68,26.292,28/10/2019 00:00:00,28/10/2019 00:00:00,23/10/2019 00:00:00,STOP_LOSS_HIT,LONG,8059.0,7975.63,8309.11,7975.63,1.933,3.01,1.05,6575.89,2,3.0,-2191.96
12/04/2021 00:00:00,16/06/2023 15:39:32,Bitfinex_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,107407.72,1.597,18/04/2021 00:00:00,18/04/2021 00:00:00,14/04/2021 00:00:00,TAKE_PROFIT_HIT,LONG,59874.0,63909.55,63909.55,58528.82,0.89,6.31,2.3,6444.77,2,3.0,6444.77
22/10/2021 00:00:00,16/06/2023 15:39:32,Bitfinex_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,113852.49,2.685,28/10/2021 00:00:00,28/10/2021 00:00:00,23/10/2021 00:00:00,STOP_LOSS_HIT,SHORT,60706.0,61554.17,58161.5,61554.17,1.432,4.37,1.38,6831.98,2,3.0,-2277.34
02/05/2018 00:00:00,16/06/2023 15:39:32,Bitfinex_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,111575.15,34.527,06/05/2018 00:00:00,08/05/2018 00:00:00,03/05/2018 00:00:00,STOP_LOSS_HIT,LONG,9236.0,9171.37,9429.88,9171.37,2.858,2.06,0.7,6694.09,2,3.0,-2231.48
21/03/2019 00:00:00,16/06/2023 15:39:32,Bitfinex_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,109343.67,24.814,28/03/2019 00:00:00,27/03/2019 00:00:00,25/03/2019 00:00:00,STOP_LOSS_HIT,LONG,4045.0,3956.87,4309.38,3956.87,0.918,6.13,2.23,6560.33,2,3.0,-2186.86
