Open,Last update,Platform,Symbol,Timeframe,Account balance at open,Size,Expected close,Expiry,Close,Status,Side,Opening price,Closing price,Take profit,Stop loss,Leverage,TP price %,SL price %,Expected profit,Risk %,R/R ratio,PnL,Fee %,Fee Amount,Order Type
23/12/2020 00:00:00,16/06/2023 22:19:03,Bitfinex_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,100.0,0.001,06/01/2021 00:00:00,05/01/2021 00:00:00,27/12/2020 00:00:00,TAKE_PROFIT_HIT,LONG,23208.0,28001.3,28001.3,21610.24,0.232,17.12,7.39,4.79,2,3.0,4.79,0.0,0.0,TAKER
21/08/2020 00:00:00,16/06/2023 22:19:03,Bitfinex_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,104.79,0.01,04/09/2020 00:00:00,03/09/2020 00:00:00,24/08/2020 00:00:00,STOP_LOSS_HIT,SHORT,11531.0,11750.37,10872.9,11750.37,1.1,6.05,1.87,6.58,2,3.0,-2.19,0.0,0.0,TAKER
29/11/2020 00:00:00,16/06/2023 22:19:03,Bitfinex_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,102.6,0.01,01/12/2020 00:00:00,12/12/2020 00:00:00,30/11/2020 00:00:00,TAKE_PROFIT_HIT,LONG,18196.0,18791.08,18791.08,17997.64,1.773,3.17,1.1,5.95,2,3.0,5.95,0.0,0.0,TAKER
12/03/2018 00:00:00,16/06/2023 22:19:03,Bitfinex_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,108.55,0.018,18/03/2018 00:00:00,25/03/2018 00:00:00,13/03/2018 00:00:00,STOP_LOSS_HIT,SHORT,9130.0,9252.18,8763.45,9252.18,1.514,4.18,1.32,6.6,2,3.0,-2.2,0.0,0.0,TAKER
23/04/2019 00:00:00,16/06/2023 22:19:03,Bitfinex_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,106.35,0.019,05/05/2019 00:00:00,06/05/2019 00:00:00,24/04/2019 00:00:00,STOP_LOSS_HIT,LONG,5546.0,5433.86,5882.43,5433.86,0.991,5.72,2.06,6.39,2,3.0,-2.13,0.0,0.0,TAKER
30/06/2021 00:00:00,16/06/2023 22:19:03,Bitfinex_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,104.22,0.006,14/07/2021 00:00:00,13/07/2021 00:00:00,01/07/2021 00:00:00,TAKE_PROFIT_HIT,SHORT,35063.0,33940.71,33940.71,35437.1,2.019,3.31,1.06,6.73,2,3.0,6.73,0.0,0.0,TAKER
08/12/2018 00:00:00,16/06/2023 22:19:03,Bitfinex_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,110.95,0.045,21/12/2018 00:00:00,21/12/2018 00:00:00,09/12/2018 00:00:00,TAKE_PROFIT_HIT,LONG,3506.0,3653.85,3653.85,3456.72,1.422,4.05,1.43,6.65,2,3.0,6.65,0.0,0.0,TAKER
08/02/2020 00:00:00,16/06/2023 22:19:03,Bitfinex_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,117.6,0.01,22/02/2020 00:00:00,21/02/2020 00:00:00,17/02/2020 00:00:00,STOP_LOSS_HIT,LONG,9877.0,9643.26,10578.23,9643.26,0.84,6.63,2.42,7.01,2,3.0,-2.34,0.0,0.0,TAKER
17/01/2020 00:00:00,16/06/2023 22:19:03,Bitfinex_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,115.26,0.02,31/01/2020 00:00:00,30/01/2020 00:00:00,19/01/2020 00:00:00,STOP_LOSS_HIT,LONG,8875.0,8761.51,9215.47,8761.51,1.54,3.69,1.3,6.81,2,3.0,-2.27,0.0,0.0,TAKER
19/12/2020 00:00:00,16/06/2023 22:19:03,Bitfinex_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,112.99,0.002,31/12/2020 00:00:00,01/01/2021 00:00:00,21/12/2020 00:00:00,STOP_LOSS_HIT,LONG,23808.0,22731.03,27038.9,22731.03,0.421,11.95,4.74,6.46,2,3.0,-2.15,0.0,0.0,TAKER
