Open,Last update,Platform,Symbol,Timeframe,Account balance at open,Size,Expected close,Expiry,Close,Status,Side,Opening price,Closing price,Take profit,Stop loss,Leverage,TP price %,SL price %,Expected profit,Risk %,R/R ratio,PnL,Fee %,Fee Amount,Order Type
16/07/2020 00:00:00,16/06/2023 22:32:49,Bitfinex_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,100.0,0.005,30/07/2020 00:00:00,29/07/2020 00:00:00,22/07/2020 00:00:00,TAKE_PROFIT_HIT,LONG,9150.0,9582.04,9582.04,8717.96,0.458,4.51,4.96,2.16,2,1.0,2.16,0.0,0.0,TAKER
02/08/2018 00:00:00,16/06/2023 22:32:49,Bitfinex_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,102.16,0.007,11/08/2018 00:00:00,15/08/2018 00:00:00,04/08/2018 00:00:00,TAKE_PROFIT_HIT,SHORT,7535.0,7248.22,7248.22,7821.78,0.516,3.96,3.67,2.01,2,1.0,2.01,0.0,0.0,TAKER
30/01/2018 00:00:00,16/06/2023 22:32:49,Bitfinex_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,104.17,0.003,06/02/2018 00:00:00,12/02/2018 00:00:00,01/02/2018 00:00:00,TAKE_PROFIT_HIT,SHORT,10171.0,9448.12,9448.12,10893.88,0.293,7.65,6.64,2.17,2,1.0,2.17,0.0,0.0,TAKER
13/02/2019 00:00:00,16/06/2023 22:32:49,Bitfinex_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,106.34,0.014,24/02/2019 00:00:00,26/02/2019 00:00:00,18/02/2019 00:00:00,TAKE_PROFIT_HIT,LONG,3666.0,3816.8,3816.8,3515.2,0.483,3.95,4.29,2.11,2,1.0,2.11,0.0,0.0,TAKER
12/01/2022 00:00:00,16/06/2023 22:32:49,Bitfinex_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,108.45,0.003,23/01/2022 00:00:00,25/01/2022 00:00:00,13/01/2022 00:00:00,TAKE_PROFIT_HIT,SHORT,43909.0,43074.06,43074.06,44743.95,1.215,1.94,1.87,2.5,2,1.0,2.5,0.0,0.0,TAKER
22/02/2019 00:00:00,16/06/2023 22:32:49,Bitfinex_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,110.95,0.009,03/03/2019 00:00:00,07/03/2019 00:00:00,24/02/2019 00:00:00,STOP_LOSS_HIT,LONG,4058.0,3818.0,4298.0,3818.0,0.329,5.58,6.29,2.16,2,1.0,-2.16,0.0,0.0,TAKER
17/11/2019 00:00:00,16/06/2023 22:32:49,Bitfinex_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,108.79,0.009,25/11/2019 00:00:00,30/11/2019 00:00:00,18/11/2019 00:00:00,TAKE_PROFIT_HIT,SHORT,8537.0,8281.87,8281.87,8792.14,0.706,3.08,2.9,2.3,2,1.0,2.3,0.0,0.0,TAKER
28/05/2022 00:00:00,16/06/2023 22:32:49,Bitfinex_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,111.09,0.005,01/06/2022 00:00:00,10/06/2022 00:00:00,29/05/2022 00:00:00,TAKE_PROFIT_HIT,LONG,29037.0,29524.74,29524.74,28549.26,1.307,1.65,1.71,2.44,2,1.0,2.44,0.0,0.0,TAKER
24/02/2019 00:00:00,16/06/2023 22:32:49,Bitfinex_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,113.53,0.015,25/02/2019 00:00:00,09/03/2019 00:00:00,28/02/2019 00:00:00,STOP_LOSS_HIT,SHORT,3831.0,3979.47,3682.53,3979.47,0.506,4.03,3.73,2.23,2,1.0,-2.23,0.0,0.0,TAKER
30/12/2022 00:00:00,16/06/2023 22:32:49,Bitfinex_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,111.3,0.007,13/01/2023 00:00:00,12/01/2023 00:00:00,04/01/2023 00:00:00,TAKE_PROFIT_HIT,LONG,16618.0,16937.55,16937.55,16298.45,1.045,1.89,1.96,2.24,2,1.0,2.24,0.0,0.0,TAKER
