Open,Last update,Platform,Symbol,Timeframe,Account balance at open,Size,Expected close,Expiry,Close,Status,Side,Opening price,Closing price,Take profit,Stop loss,Leverage,TP price %,SL price %,Expected profit,Risk %,R/R ratio,PnL
16/01/2023 00:00:00,08/06/2023 13:33:16,Gemini_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,100000.0,15.782,18/01/2023 00:00:00,22/01/2023 00:00:00,17/01/2023 00:00:00,STOP_LOSS_HIT,LONG,21192.0,21065.27,21572.2,21065.27,3.345,1.76,0.6,6000.32,2,3.0,-2000.05
21/10/2018 04:00:00,08/06/2023 13:33:16,Gemini_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,97999.95,30.355,27/10/2018 04:00:00,27/10/2018 04:00:00,27/10/2018 04:00:00,EXPIRED,SHORT,6409.0,6406.0,6215.28,6473.57,1.985,3.12,1.0,5880.37,2,3.0,91.07
13/12/2018 04:00:00,08/06/2023 13:33:16,Gemini_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,98091.02,76.514,19/12/2018 04:00:00,19/12/2018 04:00:00,14/12/2018 04:00:00,STOP_LOSS_HIT,LONG,3250.0,3224.36,3326.92,3224.36,2.535,2.31,0.8,5885.46,2,3.0,-1961.82
25/09/2022 04:00:00,08/06/2023 13:33:16,Gemini_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,96129.2,16.553,27/09/2022 04:00:00,28/09/2022 04:00:00,26/09/2022 00:00:00,STOP_LOSS_HIT,SHORT,18874.0,18990.15,18525.56,18990.15,3.25,1.88,0.61,5767.73,2,3.0,-1922.63
19/09/2020 04:00:00,08/06/2023 13:33:16,Gemini_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,94206.57,8.614,26/09/2020 04:00:00,25/09/2020 04:00:00,21/09/2020 04:00:00,TAKE_PROFIT_HIT,SHORT,10948.0,10291.8,10291.8,11166.74,1.001,6.38,1.96,5652.51,2,3.0,5652.51
12/02/2019 04:00:00,08/06/2023 13:33:16,Gemini_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,99859.08,70.999,16/02/2019 04:00:00,18/02/2019 04:00:00,13/02/2019 04:00:00,STOP_LOSS_HIT,SHORT,3598.0,3626.13,3513.61,3626.13,2.558,2.4,0.78,5991.61,2,3.0,-1997.2
24/06/2019 04:00:00,08/06/2023 13:33:16,Gemini_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,97861.88,13.01,26/06/2019 04:00:00,30/06/2019 04:00:00,25/06/2019 04:00:00,TAKE_PROFIT_HIT,LONG,11139.0,11590.33,11590.33,10988.56,1.481,3.89,1.37,5871.8,2,3.0,5871.8
16/04/2018 04:00:00,08/06/2023 13:33:16,Gemini_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,103733.68,24.362,20/04/2018 04:00:00,22/04/2018 04:00:00,17/04/2018 04:00:00,STOP_LOSS_HIT,LONG,8026.0,7940.84,8281.47,7940.84,1.885,3.08,1.07,6223.76,2,3.0,-2074.67
21/04/2018 04:00:00,08/06/2023 13:33:16,Gemini_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,101659.01,21.825,22/04/2018 04:00:00,27/04/2018 04:00:00,23/04/2018 04:00:00,TAKE_PROFIT_HIT,LONG,8821.0,9100.49,9100.49,8727.84,1.894,3.07,1.07,6099.87,2,3.0,6099.87
05/02/2021 04:00:00,08/06/2023 13:33:16,Gemini_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,107758.88,2.928,12/02/2021 04:00:00,11/02/2021 04:00:00,06/02/2021 04:00:00,STOP_LOSS_HIT,LONG,39416.0,38680.02,41623.94,38680.02,1.071,5.3,1.9,6464.85,2,3.0,-2154.95
27/02/2022 04:00:00,08/06/2023 13:33:16,Gemini_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,105603.93,3.001,02/03/2022 04:00:00,02/03/2022 04:00:00,27/02/2022 13:00:00,STOP_LOSS_HIT,LONG,37815.0,37111.13,39926.61,37111.13,1.075,5.29,1.9,6336.94,2,3.0,-2112.31
04/02/2021 04:00:00,08/06/2023 13:33:16,Gemini_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,103491.62,2.552,09/02/2021 04:00:00,10/02/2021 04:00:00,06/02/2021 04:00:00,TAKE_PROFIT_HIT,LONG,37380.0,39813.45,39813.45,36568.85,0.922,6.11,2.22,6210.16,2,3.0,6210.16
10/01/2021 04:00:00,08/06/2023 13:33:16,Gemini_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,109701.78,6.004,17/01/2021 04:00:00,16/01/2021 04:00:00,11/01/2021 04:00:00,STOP_LOSS_HIT,LONG,35435.0,35069.57,36531.29,35069.57,1.939,3.0,1.04,6582.13,2,3.0,-2194.04
12/07/2019 04:00:00,08/06/2023 13:33:16,Gemini_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,107507.74,11.985,17/07/2019 04:00:00,18/07/2019 04:00:00,13/07/2019 04:00:00,TAKE_PROFIT_HIT,SHORT,11631.0,11092.8,11092.8,11810.4,1.297,4.85,1.52,6450.33,2,3.0,6450.33
21/03/2023 00:00:00,08/06/2023 13:33:16,Gemini_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,113958.07,7.232,24/03/2023 00:00:00,27/03/2023 00:00:00,22/03/2023 00:00:00,STOP_LOSS_HIT,SHORT,28209.0,28524.14,27263.6,28524.14,1.79,3.47,1.1,6837.13,2,3.0,-2279.09
13/10/2019 04:00:00,08/06/2023 13:33:16,Gemini_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,111678.98,18.461,20/10/2019 04:00:00,19/10/2019 04:00:00,15/10/2019 04:00:00,STOP_LOSS_HIT,LONG,8293.0,8172.01,8655.97,8172.01,1.371,4.19,1.48,6700.79,2,3.0,-2233.6
26/05/2021 04:00:00,08/06/2023 13:33:16,Gemini_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,109445.38,9.043,31/05/2021 04:00:00,01/06/2021 04:00:00,27/05/2021 04:00:00,STOP_LOSS_HIT,SHORT,37672.0,37914.05,36945.86,37914.05,3.113,1.97,0.64,6566.48,2,3.0,-2188.86
07/08/2021 04:00:00,08/06/2023 13:33:16,Gemini_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,107256.52,2.275,14/08/2021 04:00:00,13/08/2021 04:00:00,08/08/2021 04:00:00,STOP_LOSS_HIT,LONG,44391.0,43448.05,47219.85,43448.05,0.942,5.99,2.17,6435.63,2,3.0,-2145.21
16/06/2021 04:00:00,08/06/2023 13:33:16,Gemini_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,105111.31,6.284,19/06/2021 04:00:00,22/06/2021 04:00:00,17/06/2021 04:00:00,STOP_LOSS_HIT,SHORT,38875.0,39209.54,37871.4,39209.54,2.324,2.65,0.85,6306.62,2,3.0,-2102.25
14/05/2021 04:00:00,08/06/2023 13:33:16,Gemini_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,103009.06,5.317,20/05/2021 04:00:00,20/05/2021 04:00:00,15/05/2021 04:00:00,TAKE_PROFIT_HIT,SHORT,49671.0,48508.7,48508.7,50058.44,2.564,2.4,0.77,6179.95,2,3.0,6179.95
16/05/2020 04:00:00,08/06/2023 13:33:16,Gemini_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,109189.01,16.197,23/05/2020 04:00:00,22/05/2020 04:00:00,17/05/2020 04:00:00,TAKE_PROFIT_HIT,LONG,9544.0,9948.51,9948.51,9409.17,1.416,4.07,1.43,6551.85,2,3.0,6551.85
12/01/2020 04:00:00,08/06/2023 13:33:16,Gemini_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,115740.86,19.082,19/01/2020 04:00:00,18/01/2020 04:00:00,13/01/2020 04:00:00,TAKE_PROFIT_HIT,LONG,8100.0,8463.94,8463.94,7978.69,1.335,4.3,1.52,6944.7,2,3.0,6944.7
26/01/2018 04:00:00,08/06/2023 13:33:16,Gemini_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,122685.56,20.038,02/02/2018 04:00:00,01/02/2018 04:00:00,27/01/2018 04:00:00,STOP_LOSS_HIT,SHORT,11001.0,11123.45,10633.65,11123.45,1.797,3.45,1.1,7360.96,2,3.0,-2453.65
20/07/2022 00:00:00,08/06/2023 13:33:16,Gemini_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,120231.91,5.231,21/07/2022 00:00:00,23/07/2022 00:00:00,20/07/2022 04:00:00,STOP_LOSS_HIT,LONG,23218.0,22758.29,24597.13,22758.29,1.01,5.61,2.02,7214.23,2,3.0,-2404.74
04/01/2018 04:00:00,08/06/2023 13:33:16,Gemini_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,117827.17,15.087,11/01/2018 04:00:00,10/01/2018 04:00:00,05/01/2018 04:00:00,STOP_LOSS_HIT,SHORT,14970.0,15126.2,14501.4,15126.2,1.917,3.23,1.03,7069.77,2,3.0,-2356.59
22/02/2021 04:00:00,08/06/2023 13:33:16,Gemini_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,115470.58,3.396,28/02/2021 04:00:00,28/02/2021 04:00:00,23/02/2021 04:00:00,TAKE_PROFIT_HIT,SHORT,51847.0,49807.19,49807.19,52526.94,1.525,4.1,1.29,6927.19,2,3.0,6927.19
18/01/2021 04:00:00,08/06/2023 13:33:16,Gemini_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,122397.77,11.674,22/01/2021 04:00:00,24/01/2021 04:00:00,19/01/2021 04:00:00,STOP_LOSS_HIT,SHORT,36509.0,36718.69,35879.93,36718.69,3.482,1.75,0.57,7343.76,2,3.0,-2447.92
10/10/2019 04:00:00,08/06/2023 13:33:16,Gemini_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,119949.85,12.806,13/10/2019 04:00:00,16/10/2019 04:00:00,11/10/2019 04:00:00,STOP_LOSS_HIT,LONG,8578.0,8390.67,9140.0,8390.67,0.916,6.15,2.23,7196.97,2,3.0,-2398.95
07/04/2019 04:00:00,08/06/2023 13:33:16,Gemini_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,117550.9,54.133,08/04/2019 04:00:00,13/04/2019 04:00:00,08/04/2019 04:00:00,STOP_LOSS_HIT,LONG,5250.0,5206.57,5380.3,5206.57,2.418,2.42,0.83,7053.53,2,3.0,-2351.0
21/02/2023 00:00:00,08/06/2023 13:33:16,Gemini_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,115199.9,8.617,26/02/2023 00:00:00,27/02/2023 00:00:00,22/02/2023 00:00:00,TAKE_PROFIT_HIT,SHORT,24451.0,23648.91,23648.91,24718.37,1.829,3.39,1.08,6911.61,2,3.0,6911.61
01/04/2022 04:00:00,08/06/2023 13:33:16,Gemini_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,122111.51,3.51,08/04/2022 04:00:00,04/04/2022 04:00:00,01/04/2022 13:00:00,STOP_LOSS_HIT,LONG,46618.0,45922.27,48705.21,45922.27,1.34,4.29,1.52,7326.11,2,3.0,-2442.01
08/11/2021 04:00:00,08/06/2023 13:33:16,Gemini_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,119669.5,1.42,14/11/2021 04:00:00,14/11/2021 04:00:00,09/11/2021 04:00:00,STOP_LOSS_HIT,LONG,68526.0,66840.7,73581.91,66840.7,0.813,6.87,2.52,7179.39,2,3.0,-2393.13
20/04/2022 13:00:00,08/06/2023 13:33:16,Gemini_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,117276.37,9.316,21/04/2022 13:00:00,23/04/2022 13:00:00,21/04/2022 04:00:00,STOP_LOSS_HIT,LONG,42693.0,42441.22,43448.35,42441.22,3.391,1.74,0.59,7036.84,2,3.0,-2345.58
10/08/2022 04:00:00,08/06/2023 13:33:16,Gemini_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,114930.79,3.652,17/08/2022 04:00:00,13/08/2022 04:00:00,12/08/2022 00:00:00,STOP_LOSS_HIT,LONG,24335.0,23705.52,26223.46,23705.52,0.773,7.2,2.66,6896.66,2,3.0,-2298.86
09/07/2020 04:00:00,08/06/2023 13:33:16,Gemini_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,112631.93,34.571,10/07/2020 04:00:00,15/07/2020 04:00:00,10/07/2020 04:00:00,STOP_LOSS_HIT,LONG,9219.0,9153.84,9414.47,9153.84,2.83,2.08,0.71,6757.59,2,3.0,-2252.65
11/06/2022 04:00:00,08/06/2023 13:33:16,Gemini_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,110379.28,3.088,18/06/2022 04:00:00,14/06/2022 04:00:00,11/06/2022 13:00:00,STOP_LOSS_HIT,SHORT,27528.0,28242.85,25383.46,28242.85,0.77,8.45,2.53,6622.34,2,3.0,-2207.46
26/12/2020 04:00:00,08/06/2023 13:33:16,Gemini_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,108171.82,3.342,02/01/2021 04:00:00,01/01/2021 04:00:00,27/12/2020 04:00:00,STOP_LOSS_HIT,LONG,26574.0,25926.56,28516.33,25926.56,0.821,6.81,2.5,6491.27,2,3.0,-2163.74
24/02/2022 13:00:00,08/06/2023 13:33:16,Gemini_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,106008.08,5.257,26/02/2022 13:00:00,27/02/2022 13:00:00,25/02/2022 04:00:00,STOP_LOSS_HIT,LONG,39372.0,38968.67,40582.01,38968.67,1.952,2.98,1.04,6361.02,2,3.0,-2120.31
31/03/2022 04:00:00,08/06/2023 13:33:16,Gemini_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,103887.77,2.487,07/04/2022 04:00:00,03/04/2022 04:00:00,31/03/2022 13:00:00,TAKE_PROFIT_HIT,LONG,44600.0,47106.48,47106.48,43764.51,1.068,5.32,1.91,6233.62,2,3.0,6233.62
28/03/2022 04:00:00,08/06/2023 13:33:16,Gemini_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,110121.39,2.062,03/04/2022 04:00:00,31/03/2022 04:00:00,31/03/2022 04:00:00,STOP_LOSS_HIT,LONG,47367.0,46298.67,50572.0,46298.67,0.887,6.34,2.31,6608.71,2,3.0,-2202.9
24/02/2022 13:00:00,08/06/2023 13:33:16,Gemini_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,107918.49,5.351,26/02/2022 13:00:00,27/02/2022 13:00:00,25/02/2022 04:00:00,STOP_LOSS_HIT,LONG,39372.0,38968.67,40582.01,38968.67,1.952,2.98,1.04,6474.76,2,3.0,-2158.22
21/06/2022 13:00:00,08/06/2023 13:33:16,Gemini_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,105760.27,12.616,28/06/2022 13:00:00,24/06/2022 13:00:00,22/06/2022 04:00:00,STOP_LOSS_HIT,LONG,20365.0,20197.34,20867.97,20197.34,2.429,2.41,0.83,6345.47,2,3.0,-2115.2
