Open,Last update,Platform,Symbol,Timeframe,Account balance at open,Size,Expected close,Expiry,Close,Status,Side,Opening price,Closing price,Take profit,Stop loss,Leverage,TP price %,SL price %,Expected profit,Risk %,R/R ratio,PnL
18/06/2019 04:00:00,16/06/2023 15:50:12,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,100000.0,0.219,18/06/2019 08:00:00,19/06/2019 00:00:00,19/06/2019 00:00:00,EXPIRED,LONG,9130.0,9131.0,9626.35,0.0,0.02,5.16,0.0,108.7,2,0.1,0.22
24/01/2023 16:00:00,16/06/2023 15:50:12,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,100000.22,0.087,25/01/2023 16:00:00,25/01/2023 12:00:00,25/01/2023 12:00:00,EXPIRED,LONG,23028.0,22590.0,23651.01,0.0,0.02,2.63,0.0,54.2,2,0.0,-38.11
13/04/2021 20:00:00,16/06/2023 15:50:12,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,99962.11,0.031,14/04/2021 00:00:00,14/04/2021 16:00:00,14/04/2021 16:00:00,EXPIRED,LONG,63620.0,62107.0,66332.51,0.0,0.02,4.09,0.0,84.09,2,0.0,-46.9
08/07/2019 16:00:00,16/06/2023 15:50:12,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,99915.21,0.163,09/07/2019 16:00:00,09/07/2019 12:00:00,09/07/2019 00:00:00,TAKE_PROFIT_HIT,LONG,12228.0,12665.65,12665.65,0.0,0.02,3.46,0.0,71.34,2,0.0,71.34
14/06/2021 12:00:00,16/06/2023 15:50:12,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,99986.55,0.049,15/06/2021 00:00:00,15/06/2021 08:00:00,15/06/2021 08:00:00,EXPIRED,LONG,40687.0,39841.0,41534.86,0.0,0.02,2.04,0.0,41.55,2,0.0,-41.45
10/09/2021 12:00:00,16/06/2023 15:50:12,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,99945.1,0.044,11/09/2021 12:00:00,11/09/2021 08:00:00,11/09/2021 08:00:00,EXPIRED,LONG,45408.0,45570.0,46590.1,0.0,0.02,2.54,0.0,52.01,2,0.0,7.13
07/06/2019 08:00:00,16/06/2023 15:50:12,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,99952.23,0.253,07/06/2019 12:00:00,08/06/2019 04:00:00,08/06/2019 04:00:00,EXPIRED,LONG,7913.0,7940.0,8286.1,0.0,0.02,4.5,0.0,94.39,2,0.0,6.83
01/06/2021 08:00:00,16/06/2023 15:50:12,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,99959.06,0.055,01/06/2021 16:00:00,02/06/2021 04:00:00,02/06/2021 04:00:00,EXPIRED,LONG,36605.0,37232.0,38224.48,0.0,0.02,4.24,0.0,89.07,2,0.0,34.49
09/09/2018 16:00:00,16/06/2023 15:50:12,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,99993.55,0.314,10/09/2018 04:00:00,10/09/2018 12:00:00,10/09/2018 12:00:00,EXPIRED,LONG,6374.0,6291.0,6696.42,0.0,0.02,4.81,0.0,101.24,2,0.1,-26.06
20/03/2019 08:00:00,16/06/2023 15:50:12,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,99967.49,0.5,20/03/2019 12:00:00,21/03/2019 04:00:00,21/03/2019 04:00:00,EXPIRED,LONG,3995.0,4039.0,4120.79,0.0,0.02,3.05,0.0,62.89,2,0.0,22.0
21/11/2020 04:00:00,16/06/2023 15:50:12,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,99989.49,0.107,22/11/2020 00:00:00,22/11/2020 00:00:00,22/11/2020 00:00:00,EXPIRED,LONG,18689.0,18580.0,19324.53,0.0,0.02,3.29,0.0,68.0,2,0.0,-11.66
