Open,Last update,Platform,Symbol,Timeframe,Account balance at open,Size,Expected close,Expiry,Close,Status,Side,Opening price,Closing price,Take profit,Stop loss,Leverage,TP price %,SL price %,Expected profit,Risk %,R/R ratio,PnL
07/08/2022 20:00:00,16/06/2023 15:56:12,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,100000.0,5.13,08/08/2022 16:00:00,08/08/2022 16:00:00,08/08/2022 16:00:00,EXPIRED,LONG,23182.0,23937.0,24741.57,22792.11,1.189,6.3,1.71,8000.59,2,4.0,3873.15
27/07/2021 04:00:00,16/06/2023 15:56:12,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,103873.15,3.274,28/07/2021 04:00:00,28/07/2021 00:00:00,28/07/2021 00:00:00,TAKE_PROFIT_HIT,LONG,37153.0,39690.94,39690.94,36518.52,1.171,6.39,1.74,8309.22,2,4.0,8309.22
30/12/2020 00:00:00,16/06/2023 15:56:12,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,112182.37,4.599,30/12/2020 08:00:00,30/12/2020 20:00:00,30/12/2020 08:00:00,STOP_LOSS_HIT,LONG,28037.0,27549.13,29988.5,27549.13,1.149,6.51,1.77,8974.95,2,4.0,-2243.71
26/10/2019 00:00:00,16/06/2023 15:56:12,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,109938.66,11.901,26/10/2019 08:00:00,26/10/2019 20:00:00,26/10/2019 04:00:00,STOP_LOSS_HIT,LONG,9600.0,9415.24,10339.05,9415.24,1.039,7.15,1.96,8795.43,2,4.0,-2198.83
07/01/2023 00:00:00,16/06/2023 15:56:12,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,107739.83,7.879,07/01/2023 12:00:00,07/01/2023 20:00:00,07/01/2023 20:00:00,EXPIRED,LONG,16947.0,16947.0,18040.88,16673.53,1.239,6.06,1.64,8618.68,2,4.0,0.0
06/01/2020 04:00:00,16/06/2023 15:56:12,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,107739.83,16.415,06/01/2020 08:00:00,07/01/2020 00:00:00,07/01/2020 00:00:00,EXPIRED,LONG,7506.0,7899.0,8031.07,7374.73,1.144,6.54,1.78,8619.02,2,4.0,6451.09
07/02/2022 08:00:00,16/06/2023 15:56:12,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,114190.92,3.267,07/02/2022 16:00:00,08/02/2022 04:00:00,08/02/2022 04:00:00,EXPIRED,LONG,42767.0,44908.0,45563.02,42068.0,1.224,6.14,1.66,9134.6,2,4.0,6994.65
24/08/2020 08:00:00,16/06/2023 15:56:12,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,121185.57,10.573,25/08/2020 04:00:00,25/08/2020 04:00:00,25/08/2020 04:00:00,STOP_LOSS_HIT,LONG,11792.0,11562.76,12708.95,11562.76,1.029,7.21,1.98,9694.91,2,4.0,-2423.75
31/01/2019 04:00:00,16/06/2023 15:56:12,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,118761.82,44.38,01/02/2019 00:00:00,01/02/2019 00:00:00,31/01/2019 08:00:00,STOP_LOSS_HIT,LONG,3450.0,3396.48,3664.08,3396.48,1.289,5.84,1.58,9500.87,2,4.0,-2375.22
14/01/2020 04:00:00,16/06/2023 15:56:12,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,116386.6,13.532,14/01/2020 08:00:00,15/01/2020 00:00:00,15/01/2020 00:00:00,EXPIRED,LONG,8504.0,8727.0,9192.06,8331.98,0.989,7.49,2.06,9310.83,2,4.0,3017.64
