Open,Last update,Platform,Symbol,Timeframe,Account balance at open,Size,Expected close,Expiry,Close,Status,Side,Opening price,Closing price,Take profit,Stop loss,Leverage,TP price %,SL price %,Expected profit,Risk %,R/R ratio,PnL,Fee %,Fee Amount,Order Type
24/06/2021 08:00:00,16/06/2023 22:06:11,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,100.0,0.002,26/06/2021 08:00:00,26/06/2021 04:00:00,24/06/2021 16:00:00,STOP_LOSS_HIT,SHORT,33875.0,34755.59,31233.24,34755.59,0.678,8.46,2.53,5.28,2,3.0,-1.76,0.0,0.0,TAKER
23/08/2021 08:00:00,16/06/2023 22:06:11,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,98.24,0.001,23/08/2021 12:00:00,25/08/2021 04:00:00,23/08/2021 20:00:00,STOP_LOSS_HIT,LONG,50399.0,49076.34,54366.99,49076.34,0.513,7.3,2.7,3.97,1,3.0,-1.32,0.0,0.0,TAKER
29/11/2021 20:00:00,16/06/2023 22:06:11,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,96.92,0.002,30/11/2021 08:00:00,01/12/2021 16:00:00,30/11/2021 04:00:00,STOP_LOSS_HIT,LONG,57842.0,56627.22,61486.35,56627.22,1.194,5.93,2.15,7.29,3,3.0,-2.43,0.0,0.0,TAKER
18/09/2021 20:00:00,16/06/2023 22:06:11,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,94.49,0.004,20/09/2021 00:00:00,20/09/2021 16:00:00,19/09/2021 00:00:00,STOP_LOSS_HIT,LONG,48310.0,47828.39,49754.84,47828.39,2.045,2.9,1.01,5.78,2,3.0,-1.93,0.0,0.0,TAKER
25/10/2020 20:00:00,16/06/2023 22:06:11,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,92.56,0.019,26/10/2020 08:00:00,27/10/2020 16:00:00,26/10/2020 04:00:00,STOP_LOSS_HIT,SHORT,13045.0,13141.01,12756.99,13141.01,2.678,2.26,0.73,5.47,2,3.0,-1.82,0.0,0.0,TAKER
24/12/2020 00:00:00,16/06/2023 22:06:11,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,90.74,0.004,25/12/2020 00:00:00,25/12/2020 20:00:00,24/12/2020 08:00:00,STOP_LOSS_HIT,SHORT,22884.0,23344.73,21501.81,23344.73,1.009,6.43,1.97,5.53,2,3.0,-1.84,0.0,0.0,TAKER
25/04/2020 04:00:00,16/06/2023 22:06:11,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,88.9,0.014,27/04/2020 04:00:00,27/04/2020 00:00:00,25/04/2020 12:00:00,STOP_LOSS_HIT,SHORT,7561.0,7686.38,7184.86,7686.38,1.191,5.24,1.63,5.27,2,3.0,-1.76,0.0,0.0,TAKER
10/07/2021 00:00:00,16/06/2023 22:06:11,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,87.14,0.004,11/07/2021 16:00:00,11/07/2021 20:00:00,10/07/2021 16:00:00,STOP_LOSS_HIT,LONG,33800.0,33305.51,35283.47,33305.51,1.552,4.2,1.48,5.93,2,3.0,-1.98,0.0,0.0,TAKER
20/10/2019 16:00:00,16/06/2023 22:06:11,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,85.16,0.021,21/10/2019 04:00:00,22/10/2019 12:00:00,21/10/2019 16:00:00,STOP_LOSS_HIT,LONG,8239.0,8158.61,8480.18,8158.61,2.032,2.84,0.99,5.06,2,3.0,-1.69,0.0,0.0,TAKER
20/06/2022 08:00:00,16/06/2023 22:06:11,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,83.47,0.004,22/06/2022 08:00:00,22/06/2022 04:00:00,21/06/2022 04:00:00,STOP_LOSS_HIT,SHORT,20793.0,21191.81,19596.58,21191.81,0.996,6.11,1.88,4.79,2,3.0,-1.6,0.0,0.0,TAKER
24/03/2021 16:00:00,16/06/2023 22:06:11,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,81.87,0.003,26/03/2021 12:00:00,26/03/2021 12:00:00,24/03/2021 20:00:00,TAKE_PROFIT_HIT,SHORT,54711.0,53106.75,53106.75,55245.75,2.005,3.02,0.97,4.81,2,3.0,4.81,0.0,0.0,TAKER
13/11/2019 00:00:00,16/06/2023 22:06:11,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,86.68,0.011,13/11/2019 20:00:00,14/11/2019 20:00:00,14/11/2019 20:00:00,EXPIRED,SHORT,8725.0,8627.0,8269.24,8876.92,1.107,5.51,1.71,5.01,2,3.0,1.08,0.0,0.0,TAKER
