Open,Last update,Platform,Symbol,Timeframe,Account balance at open,Size,Expected close,Expiry,Close,Status,Side,Opening price,Closing price,Take profit,Stop loss,Leverage,TP price %,SL price %,Expected profit,Risk %,R/R ratio,PnL,Fee %,Fee Amount,Order Type
22/03/2022 16:00:00,16/06/2023 22:15:48,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,100.0,0.002,24/03/2022 08:00:00,24/03/2022 12:00:00,24/03/2022 12:00:00,TAKE_PROFIT_HIT,LONG,42303.0,43510.28,43510.28,41095.72,0.846,2.77,2.94,2.41,2,1.0,2.41,0.0,0.0,TAKER
20/09/2019 00:00:00,16/06/2023 22:15:48,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,102.41,0.003,20/09/2019 12:00:00,21/09/2019 20:00:00,21/09/2019 20:00:00,EXPIRED,LONG,10239.0,9981.0,11033.23,9444.77,0.3,7.2,8.41,2.38,2,1.0,-0.77,0.0,0.0,TAKER
05/08/2021 20:00:00,16/06/2023 22:15:48,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,101.64,0.001,07/08/2021 20:00:00,07/08/2021 16:00:00,07/08/2021 00:00:00,TAKE_PROFIT_HIT,LONG,40890.0,43593.19,43593.19,38186.81,0.402,6.2,7.08,2.7,3,1.0,2.7,0.0,0.0,TAKER
16/03/2022 00:00:00,16/06/2023 22:15:48,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,104.34,0.001,16/03/2022 12:00:00,17/03/2022 20:00:00,16/03/2022 12:00:00,TAKE_PROFIT_HIT,LONG,39178.0,40713.92,40713.92,37642.08,0.375,3.77,4.08,1.54,1,1.0,1.54,0.0,0.0,TAKER
20/06/2022 04:00:00,16/06/2023 22:15:48,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,105.88,0.004,21/06/2022 12:00:00,22/06/2022 00:00:00,20/06/2022 08:00:00,TAKE_PROFIT_HIT,LONG,20053.0,20541.57,20541.57,19564.44,0.758,2.38,2.5,1.95,2,1.0,1.95,0.0,0.0,TAKER
06/11/2019 12:00:00,16/06/2023 22:15:48,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,107.83,0.009,07/11/2019 08:00:00,08/11/2019 08:00:00,07/11/2019 20:00:00,STOP_LOSS_HIT,LONG,9340.0,9098.99,9581.01,9098.99,0.78,2.52,2.65,2.17,2,1.0,-2.17,0.0,0.0,TAKER
19/12/2018 20:00:00,16/06/2023 22:15:48,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,105.66,0.014,21/12/2018 00:00:00,21/12/2018 16:00:00,20/12/2018 08:00:00,TAKE_PROFIT_HIT,LONG,3684.0,3834.92,3834.92,3533.08,0.488,3.94,4.27,2.11,2,1.0,2.11,0.0,0.0,TAKER
21/02/2018 04:00:00,16/06/2023 22:15:48,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,107.77,0.006,23/02/2018 04:00:00,23/02/2018 00:00:00,21/02/2018 12:00:00,TAKE_PROFIT_HIT,SHORT,11128.0,10748.02,10748.02,11507.98,0.62,3.54,3.3,2.28,2,1.0,2.28,0.0,0.0,TAKER
22/04/2021 12:00:00,16/06/2023 22:15:48,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,110.05,0.001,23/04/2021 08:00:00,24/04/2021 08:00:00,22/04/2021 16:00:00,TAKE_PROFIT_HIT,SHORT,54699.0,52687.4,52687.4,56710.6,0.497,3.82,3.55,2.01,2,1.0,2.01,0.0,0.0,TAKER
26/07/2021 00:00:00,16/06/2023 22:15:48,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,112.06,0.002,26/07/2021 04:00:00,27/07/2021 20:00:00,26/07/2021 16:00:00,TAKE_PROFIT_HIT,LONG,38313.0,39649.93,39649.93,36976.07,0.684,3.37,3.62,2.67,2,1.0,2.67,0.0,0.0,TAKER
