Open,Last update,Platform,Symbol,Timeframe,Account balance at open,Size,Expected close,Expiry,Close,Status,Side,Opening price,Closing price,Take profit,Stop loss,Leverage,TP price %,SL price %,Expected profit,Risk %,R/R ratio,PnL
21/07/2021 11:00:00,08/06/2023 13:33:14,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,100000.0,3.719,21/07/2021 19:00:00,22/07/2021 07:00:00,22/07/2021 07:00:00,EXPIRED,LONG,31844.0,31816.0,33457.49,31306.17,1.184,4.82,1.72,6000.57,2,3.0,-104.13
01/09/2018 08:00:00,08/06/2023 13:33:14,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,99895.87,48.789,02/09/2018 04:00:00,02/09/2018 04:00:00,01/09/2018 12:00:00,STOP_LOSS_HIT,SHORT,7061.0,7101.95,6938.14,7101.95,3.449,1.77,0.58,5994.22,2,3.0,-1997.91
05/03/2019 20:00:00,08/06/2023 13:33:14,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,97897.96,33.429,06/03/2019 04:00:00,06/03/2019 16:00:00,06/03/2019 16:00:00,EXPIRED,LONG,3846.0,3845.0,4021.71,3787.43,1.313,4.37,1.55,5873.81,2,3.0,-33.43
26/07/2020 07:00:00,08/06/2023 13:33:14,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,97864.53,29.611,26/07/2020 23:00:00,27/07/2020 03:00:00,26/07/2020 11:00:00,TAKE_PROFIT_HIT,SHORT,10020.0,9821.69,9821.69,10086.1,3.032,2.02,0.66,5872.16,2,3.0,5872.16
23/04/2020 23:00:00,08/06/2023 13:33:14,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,103736.69,30.421,24/04/2020 03:00:00,24/04/2020 19:00:00,24/04/2020 11:00:00,STOP_LOSS_HIT,LONG,7531.0,7462.8,7735.6,7462.8,2.208,2.64,0.91,6224.14,2,3.0,-2074.71
15/09/2018 08:00:00,08/06/2023 13:33:14,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,101661.98,59.556,16/09/2018 04:00:00,16/09/2018 04:00:00,15/09/2018 20:00:00,STOP_LOSS_HIT,LONG,6520.0,6485.86,6622.42,6485.86,3.82,1.55,0.53,6099.73,2,3.0,-2033.24
30/08/2020 07:00:00,08/06/2023 13:33:14,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,99628.74,33.427,30/08/2020 23:00:00,31/08/2020 03:00:00,31/08/2020 03:00:00,EXPIRED,LONG,11566.0,11683.0,11744.83,11506.39,3.881,1.52,0.52,5977.75,2,3.0,3910.96
16/06/2022 11:00:00,08/06/2023 13:33:14,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,103539.7,19.963,16/06/2022 15:00:00,17/06/2022 07:00:00,16/06/2022 15:00:00,STOP_LOSS_HIT,LONG,20906.0,20802.27,21217.18,20802.27,4.031,1.47,0.5,6212.09,2,3.0,-2070.76
02/10/2021 11:00:00,08/06/2023 13:33:14,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,101468.94,3.398,03/10/2021 11:00:00,03/10/2021 07:00:00,02/10/2021 23:00:00,STOP_LOSS_HIT,LONG,48047.0,47449.85,49838.46,47449.85,1.609,3.59,1.26,6087.38,2,3.0,-2029.12
13/04/2022 15:00:00,08/06/2023 13:33:14,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,99439.82,8.752,14/04/2022 15:00:00,14/04/2022 11:00:00,13/04/2022 19:00:00,STOP_LOSS_HIT,LONG,41374.0,41146.76,42055.72,41146.76,3.641,1.62,0.55,5966.41,2,3.0,-1988.8
