Open,Last update,Platform,Symbol,Timeframe,Account balance at open,Size,Expected close,Expiry,Close,Status,Side,Opening price,Closing price,Take profit,Stop loss,Leverage,TP price %,SL price %,Expected profit,Risk %,R/R ratio,PnL
06/12/2019 18:00:00,15/06/2023 18:57:07,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,100000.0,18.147,06/12/2019 22:00:00,06/12/2019 21:00:00,06/12/2019 21:00:00,EXPIRED,LONG,7450.0,7467.0,7780.65,7339.79,1.352,4.25,1.5,6000.31,2,3.0,308.5
09/01/2023 05:00:00,15/06/2023 18:57:07,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,100308.5,18.341,09/01/2023 06:00:00,09/01/2023 08:00:00,09/01/2023 08:00:00,EXPIRED,LONG,17211.0,17195.0,17539.16,17101.62,3.147,1.87,0.64,6018.78,2,3.0,-293.46
14/06/2018 20:00:00,15/06/2023 18:57:07,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,100015.04,18.49,14/06/2018 22:00:00,14/06/2018 23:00:00,14/06/2018 23:00:00,EXPIRED,LONG,6658.0,6640.0,6982.55,6549.82,1.231,4.65,1.65,6000.93,2,3.0,-332.82
28/04/2022 10:00:00,15/06/2023 18:57:07,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,99682.22,2.988,28/04/2022 11:00:00,28/04/2022 13:00:00,28/04/2022 13:00:00,EXPIRED,LONG,39721.0,39073.0,41722.58,39053.81,1.191,4.8,1.71,5980.72,2,3.0,-1936.22
17/06/2018 20:00:00,15/06/2023 18:57:07,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,97746.0,57.145,18/06/2018 00:00:00,17/06/2018 23:00:00,17/06/2018 23:00:00,EXPIRED,SHORT,6493.0,6444.0,6390.36,6527.21,3.796,1.61,0.52,5865.36,2,3.0,2800.11
12/04/2018 14:00:00,15/06/2023 18:57:07,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,100546.11,18.755,12/04/2018 16:00:00,12/04/2018 17:00:00,12/04/2018 17:00:00,EXPIRED,LONG,7650.0,7690.0,7971.65,7542.78,1.427,4.03,1.42,6032.55,2,3.0,750.2
28/11/2018 04:00:00,15/06/2023 18:57:07,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,101296.31,63.768,28/11/2018 05:00:00,28/11/2018 07:00:00,28/11/2018 05:00:00,STOP_LOSS_HIT,LONG,4036.0,4004.23,4131.3,4004.23,2.541,2.31,0.79,6077.09,2,3.0,-2025.91
17/12/2021 03:00:00,15/06/2023 18:57:07,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,99270.4,6.551,17/12/2021 04:00:00,17/12/2021 06:00:00,17/12/2021 06:00:00,STOP_LOSS_HIT,LONG,47780.0,47476.92,48689.24,47476.92,3.153,1.87,0.64,5956.43,2,3.0,-1985.48
14/10/2019 21:00:00,15/06/2023 18:57:07,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,97284.92,18.628,15/10/2019 01:00:00,15/10/2019 00:00:00,15/10/2019 00:00:00,EXPIRED,SHORT,8320.0,8363.0,8006.66,8424.45,1.593,3.91,1.24,5836.9,2,3.0,-801.0
23/04/2022 23:00:00,15/06/2023 18:57:07,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,96483.92,3.252,24/04/2022 00:00:00,24/04/2022 02:00:00,24/04/2022 02:00:00,EXPIRED,LONG,39440.0,39549.0,41219.98,38846.68,1.329,4.32,1.53,5788.49,2,3.0,354.47
19/09/2020 15:00:00,15/06/2023 18:57:07,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,96838.39,28.407,19/09/2020 17:00:00,19/09/2020 18:00:00,19/09/2020 18:00:00,EXPIRED,SHORT,11095.0,11054.0,10890.46,11163.18,3.255,1.88,0.61,5810.37,2,3.0,1164.69
25/06/2018 06:00:00,15/06/2023 18:57:07,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,98003.08,18.25,25/06/2018 08:00:00,25/06/2018 09:00:00,25/06/2018 09:00:00,EXPIRED,LONG,6163.0,6160.0,6485.2,6055.6,1.148,4.97,1.77,5880.15,2,3.0,-54.75
11/06/2021 05:00:00,15/06/2023 18:57:07,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,97948.33,6.8,11/06/2021 06:00:00,11/06/2021 08:00:00,11/06/2021 06:00:00,STOP_LOSS_HIT,LONG,37020.0,36731.93,37884.22,36731.93,2.57,2.28,0.78,5876.7,2,3.0,-1958.88
14/06/2019 01:00:00,15/06/2023 18:57:07,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,95989.45,46.996,14/06/2019 02:00:00,14/06/2019 04:00:00,14/06/2019 04:00:00,EXPIRED,LONG,8194.0,8243.0,8316.55,8153.15,4.012,1.47,0.5,5759.36,2,3.0,2302.8
24/08/2022 16:00:00,15/06/2023 18:57:07,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,98292.25,5.346,24/08/2022 17:00:00,24/08/2022 19:00:00,24/08/2022 19:00:00,EXPIRED,LONG,21720.0,21711.0,22823.18,21352.27,1.181,4.83,1.72,5897.6,2,3.0,-48.11
07/11/2021 22:00:00,15/06/2023 18:57:07,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,98244.14,2.826,07/11/2021 23:00:00,08/11/2021 01:00:00,08/11/2021 00:00:00,TAKE_PROFIT_HIT,LONG,62848.0,64934.05,64934.05,62152.65,1.808,3.21,1.12,5895.18,2,3.0,5895.18
17/10/2020 16:00:00,15/06/2023 18:57:07,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,104139.32,38.909,17/10/2020 18:00:00,17/10/2020 19:00:00,17/10/2020 19:00:00,EXPIRED,SHORT,11333.0,11352.0,11172.42,11386.53,4.234,1.44,0.47,6248.01,2,3.0,-739.27
06/05/2019 16:00:00,15/06/2023 18:57:07,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,103400.05,25.702,06/05/2019 17:00:00,06/05/2019 19:00:00,06/05/2019 19:00:00,EXPIRED,LONG,5705.0,5734.0,5946.37,5624.54,1.418,4.06,1.43,6203.69,2,3.0,745.36
11/03/2022 01:00:00,15/06/2023 18:57:07,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,104145.41,9.62,11/03/2022 03:00:00,11/03/2022 04:00:00,11/03/2022 02:00:00,STOP_LOSS_HIT,LONG,38671.0,38454.48,39320.56,38454.48,3.572,1.65,0.56,6248.77,2,3.0,-2082.92
10/02/2022 11:00:00,15/06/2023 18:57:07,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,102062.49,2.833,10/02/2022 12:00:00,10/02/2022 14:00:00,10/02/2022 13:00:00,STOP_LOSS_HIT,LONG,44875.0,44154.53,47036.42,44154.53,1.246,4.6,1.63,6123.3,2,3.0,-2041.09
14/01/2021 04:00:00,15/06/2023 18:57:07,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,100021.4,9.942,14/01/2021 07:00:00,14/01/2021 07:00:00,14/01/2021 05:00:00,STOP_LOSS_HIT,LONG,37500.0,37298.79,38103.64,37298.79,3.727,1.58,0.54,6001.39,2,3.0,-2000.43
21/05/2022 03:00:00,15/06/2023 18:57:07,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,98020.97,10.416,21/05/2022 04:00:00,21/05/2022 06:00:00,21/05/2022 06:00:00,EXPIRED,LONG,29234.0,29330.0,29798.64,29045.79,3.106,1.89,0.65,5881.29,2,3.0,999.94
24/06/2021 09:00:00,15/06/2023 18:57:07,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,99020.91,3.227,24/06/2021 10:00:00,24/06/2021 12:00:00,24/06/2021 12:00:00,EXPIRED,LONG,33272.0,34085.0,35113.04,32658.32,1.084,5.24,1.88,5941.04,2,3.0,2623.55
10/09/2018 13:00:00,15/06/2023 18:57:07,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,101644.46,48.774,10/09/2018 14:00:00,10/09/2018 16:00:00,10/09/2018 16:00:00,STOP_LOSS_HIT,LONG,6300.0,6258.32,6425.05,6258.32,3.023,1.95,0.67,6099.19,2,3.0,-2032.9
01/07/2020 05:00:00,15/06/2023 18:57:07,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,99611.56,15.663,01/07/2020 06:00:00,01/07/2020 08:00:00,01/07/2020 08:00:00,EXPIRED,LONG,9145.0,9173.0,9526.56,9017.81,1.438,4.01,1.41,5976.37,2,3.0,438.56
23/02/2019 21:00:00,15/06/2023 18:57:07,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,100050.12,39.624,23/02/2019 22:00:00,24/02/2019 00:00:00,24/02/2019 00:00:00,EXPIRED,LONG,4110.0,4125.0,4261.5,4059.5,1.628,3.56,1.24,6003.04,2,3.0,594.36
05/09/2018 07:00:00,15/06/2023 18:57:07,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,100644.48,18.535,05/09/2018 09:00:00,05/09/2018 10:00:00,05/09/2018 09:00:00,STOP_LOSS_HIT,LONG,7350.0,7241.4,7675.81,7241.4,1.354,4.24,1.5,6038.89,2,3.0,-2012.9
