Open,Last update,Platform,Symbol,Timeframe,Account balance at open,Size,Expected close,Expiry,Close,Status,Side,Opening price,Closing price,Take profit,Stop loss,Leverage,TP price %,SL price %,Expected profit,Risk %,R/R ratio,PnL
19/08/2020 18:00:00,16/06/2023 15:47:23,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,100000.0,3.527,19/08/2020 22:00:00,19/08/2020 21:00:00,19/08/2020 21:00:00,EXPIRED,LONG,11740.0,11723.0,12307.06,11172.94,0.414,4.61,5.08,2000.02,2,1.0,-59.96
04/10/2020 10:00:00,16/06/2023 15:47:23,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,99940.04,7.826,04/10/2020 12:00:00,04/10/2020 13:00:00,04/10/2020 13:00:00,EXPIRED,SHORT,10585.0,10615.0,10329.59,10840.41,0.829,2.47,2.36,1998.84,2,1.0,-234.78
24/04/2021 21:00:00,16/06/2023 15:47:23,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,99705.26,0.942,24/04/2021 22:00:00,25/04/2021 00:00:00,25/04/2021 00:00:00,EXPIRED,LONG,50916.0,49874.0,53032.01,48800.0,0.481,3.99,4.34,1993.28,2,1.0,-981.56
01/02/2019 23:00:00,16/06/2023 15:47:23,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,98723.7,10.293,02/02/2019 00:00:00,02/02/2019 02:00:00,02/02/2019 02:00:00,EXPIRED,LONG,3442.0,3442.0,3633.83,3250.17,0.359,5.28,5.9,1974.51,2,1.0,0.0
27/02/2021 14:00:00,16/06/2023 15:47:23,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,98723.7,0.481,27/02/2021 15:00:00,27/02/2021 17:00:00,27/02/2021 17:00:00,EXPIRED,LONG,47094.0,47116.0,51199.69,42988.31,0.229,8.02,9.55,1974.84,2,1.0,10.58
09/08/2021 15:00:00,16/06/2023 15:47:23,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,98734.28,0.999,09/08/2021 17:00:00,09/08/2021 18:00:00,09/08/2021 18:00:00,EXPIRED,LONG,45911.0,46215.0,47887.19,43934.81,0.465,4.13,4.5,1974.21,2,1.0,303.7
02/01/2023 19:00:00,16/06/2023 15:47:23,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,99037.98,4.705,02/01/2023 20:00:00,02/01/2023 22:00:00,02/01/2023 22:00:00,EXPIRED,LONG,16732.0,16691.0,17152.97,16311.03,0.795,2.45,2.58,1980.66,2,1.0,-192.9
18/12/2018 13:00:00,16/06/2023 15:47:23,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,98845.08,13.458,18/12/2018 17:00:00,18/12/2018 16:00:00,18/12/2018 16:00:00,EXPIRED,LONG,3529.0,3520.0,3675.89,3382.11,0.48,4.0,4.34,1976.85,2,1.0,-121.12
16/12/2020 12:00:00,16/06/2023 15:47:23,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,98723.96,2.713,16/12/2020 13:00:00,16/12/2020 15:00:00,16/12/2020 14:00:00,TAKE_PROFIT_HIT,LONG,19780.0,20507.75,20507.75,19052.25,0.544,3.55,3.82,1974.39,2,1.0,1974.39
11/07/2019 19:00:00,16/06/2023 15:47:23,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,100698.35,3.15,11/07/2019 20:00:00,11/07/2019 22:00:00,11/07/2019 22:00:00,EXPIRED,LONG,11600.0,11328.0,12239.33,10960.67,0.363,5.22,5.83,2013.89,2,1.0,-856.8
