Open,Last update,Platform,Symbol,Timeframe,Account balance at open,Size,Expected close,Expiry,Close,Status,Side,Opening price,Closing price,Take profit,Stop loss,Leverage,TP price %,SL price %,Expected profit,Risk %,R/R ratio,PnL,Fee %,Fee Amount,Order Type
02/09/2018 05:00:00,16/06/2023 22:27:20,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,100.0,0.018,02/09/2018 12:00:00,02/09/2018 12:00:00,02/09/2018 12:00:00,EXPIRED,LONG,7230.0,7241.0,7565.92,7118.03,1.301,4.44,1.57,6.05,2,3.0,0.2,0.0,0.0,TAKER
01/08/2020 11:00:00,16/06/2023 22:27:20,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,100.2,0.009,01/08/2020 18:00:00,01/08/2020 18:00:00,01/08/2020 18:00:00,EXPIRED,SHORT,11672.0,11697.0,10980.82,11902.39,1.048,6.29,1.94,6.22,2,3.0,-0.22,0.0,0.0,TAKER
07/02/2022 00:00:00,16/06/2023 22:27:20,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,99.98,0.003,07/02/2022 04:00:00,07/02/2022 07:00:00,07/02/2022 07:00:00,EXPIRED,LONG,41863.0,42775.0,43869.51,41194.17,1.256,4.57,1.62,6.02,2,3.0,2.74,0.0,0.0,TAKER
27/09/2022 00:00:00,16/06/2023 22:27:20,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,102.72,0.01,27/09/2022 08:00:00,27/09/2022 07:00:00,27/09/2022 02:00:00,TAKE_PROFIT_HIT,LONG,19343.0,19949.64,19949.64,19140.79,1.883,3.04,1.06,6.07,2,3.0,6.07,0.0,0.0,TAKER
15/04/2020 09:00:00,16/06/2023 22:27:20,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,108.79,0.02,15/04/2020 14:00:00,15/04/2020 16:00:00,15/04/2020 16:00:00,EXPIRED,SHORT,6847.0,6739.0,6512.8,6958.4,1.259,5.13,1.6,6.68,2,3.0,2.16,0.0,0.0,TAKER
07/11/2018 18:00:00,16/06/2023 22:27:20,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,110.95,0.031,07/11/2018 20:00:00,08/11/2018 01:00:00,08/11/2018 01:00:00,EXPIRED,SHORT,6512.0,6493.0,6296.78,6583.74,1.819,3.42,1.09,6.67,2,3.0,0.59,0.0,0.0,TAKER
11/02/2018 13:00:00,16/06/2023 22:27:20,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,111.54,0.027,11/02/2018 18:00:00,11/02/2018 20:00:00,11/02/2018 17:00:00,STOP_LOSS_HIT,LONG,8282.0,8199.53,8529.41,8199.53,2.005,2.9,1.01,6.68,2,3.0,-2.23,0.0,0.0,TAKER
02/07/2019 17:00:00,16/06/2023 22:27:20,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,109.31,0.007,02/07/2019 18:00:00,03/07/2019 00:00:00,03/07/2019 00:00:00,EXPIRED,LONG,10721.0,11254.0,11678.14,10401.95,0.687,8.2,3.07,6.7,2,3.0,3.73,0.0,0.0,TAKER
13/05/2019 16:00:00,16/06/2023 22:27:20,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,113.04,0.01,13/05/2019 17:00:00,13/05/2019 23:00:00,13/05/2019 23:00:00,STOP_LOSS_HIT,LONG,7913.0,7687.07,8590.79,7687.07,0.7,7.89,2.94,6.78,2,3.0,-2.26,0.0,0.0,TAKER
20/06/2022 02:00:00,16/06/2023 22:27:20,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,110.78,0.011,20/06/2022 07:00:00,20/06/2022 09:00:00,20/06/2022 03:00:00,STOP_LOSS_HIT,SHORT,19896.0,20088.84,19317.49,20088.84,1.976,2.99,0.96,6.36,2,3.0,-2.12,0.0,0.0,TAKER
