Open,Last update,Platform,Symbol,Timeframe,Account balance at open,Size,Expected close,Expiry,Close,Status,Side,Opening price,Closing price,Take profit,Stop loss,Leverage,TP price %,SL price %,Expected profit,Risk %,R/R ratio,PnL
23/03/2018 11:00:00,08/06/2023 13:29:53,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,100000.0,24.483,23/03/2018 12:00:00,23/03/2018 14:00:00,23/03/2018 12:00:00,STOP_LOSS_HIT,LONG,8514.0,8432.31,8759.06,8432.31,2.084,2.8,0.97,5999.8,2,3.0,-2000.02
29/03/2021 03:00:00,08/06/2023 13:29:53,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,97999.98,12.58,29/03/2021 07:00:00,29/03/2021 06:00:00,29/03/2021 06:00:00,EXPIRED,SHORT,55351.0,55392.0,54883.61,55506.8,7.105,0.85,0.28,5879.77,2,3.0,-515.78
30/12/2021 20:00:00,08/06/2023 13:29:53,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,97484.2,4.426,30/12/2021 22:00:00,30/12/2021 23:00:00,30/12/2021 22:00:00,STOP_LOSS_HIT,LONG,47229.0,46788.53,48550.43,46788.53,2.144,2.72,0.94,5848.65,2,3.0,-1949.52
22/04/2020 18:00:00,08/06/2023 13:29:53,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,95534.68,98.438,22/04/2020 20:00:00,22/04/2020 21:00:00,22/04/2020 21:00:00,EXPIRED,LONG,7105.0,7106.0,7163.23,7085.59,7.321,0.81,0.27,5732.04,2,3.0,98.44
30/12/2020 20:00:00,08/06/2023 13:29:53,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,95633.12,25.708,30/12/2020 22:00:00,30/12/2020 23:00:00,30/12/2020 21:00:00,STOP_LOSS_HIT,LONG,28784.0,28709.6,29007.19,28709.6,7.738,0.77,0.26,5737.77,2,3.0,-1912.68
04/10/2018 12:00:00,08/06/2023 13:29:53,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,93720.44,44.428,04/10/2018 13:00:00,04/10/2018 15:00:00,04/10/2018 15:00:00,EXPIRED,LONG,6531.0,6540.0,6657.58,6488.81,3.096,1.9,0.65,5623.7,2,3.0,399.85
22/06/2020 11:00:00,08/06/2023 13:29:53,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,94120.29,49.878,22/06/2020 13:00:00,22/06/2020 14:00:00,22/06/2020 14:00:00,EXPIRED,LONG,9454.0,9463.0,9567.23,9416.26,5.01,1.18,0.4,5647.69,2,3.0,448.9
14/01/2018 18:00:00,08/06/2023 13:29:53,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,94569.19,13.756,14/01/2018 22:00:00,14/01/2018 21:00:00,14/01/2018 19:00:00,STOP_LOSS_HIT,LONG,13538.0,13400.51,13950.48,13400.51,1.969,2.96,1.03,5674.07,2,3.0,-1891.31
06/12/2020 22:00:00,08/06/2023 13:29:53,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,92677.88,37.658,06/12/2020 23:00:00,07/12/2020 01:00:00,06/12/2020 23:00:00,TAKE_PROFIT_HIT,LONG,19141.0,19288.66,19288.66,19091.78,7.778,0.77,0.26,5560.58,2,3.0,5560.58
29/07/2018 01:00:00,08/06/2023 13:29:53,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,98238.46,51.193,29/07/2018 02:00:00,29/07/2018 04:00:00,29/07/2018 03:00:00,STOP_LOSS_HIT,LONG,8260.0,8221.62,8375.15,8221.62,4.304,1.37,0.47,5894.87,2,3.0,-1964.79
12/03/2021 17:00:00,08/06/2023 13:29:53,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,96273.67,4.395,12/03/2021 18:00:00,12/03/2021 20:00:00,12/03/2021 19:00:00,STOP_LOSS_HIT,LONG,57148.0,56709.94,58462.18,56709.94,2.609,2.25,0.77,5775.82,2,3.0,-1925.27
04/08/2022 05:00:00,08/06/2023 13:29:53,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,94348.4,27.93,04/08/2022 06:00:00,04/08/2022 08:00:00,04/08/2022 06:00:00,STOP_LOSS_HIT,LONG,23130.0,23062.44,23332.69,23062.44,6.847,0.87,0.29,5661.13,2,3.0,-1886.95
26/02/2023 13:00:00,08/06/2023 13:29:53,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,92461.45,12.539,26/02/2023 16:00:00,26/02/2023 16:00:00,26/02/2023 16:00:00,EXPIRED,SHORT,23209.0,23185.0,22766.56,23356.48,3.147,1.94,0.63,5547.76,2,3.0,300.94
14/02/2018 13:00:00,08/06/2023 13:29:53,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,92762.39,71.273,14/02/2018 14:00:00,14/02/2018 16:00:00,14/02/2018 14:00:00,TAKE_PROFIT_HIT,SHORT,9230.0,9151.91,9151.91,9256.03,7.092,0.85,0.28,5565.71,2,3.0,5565.71
06/01/2022 23:00:00,08/06/2023 13:29:53,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,98328.1,28.725,07/01/2022 03:00:00,07/01/2022 02:00:00,07/01/2022 00:00:00,STOP_LOSS_HIT,LONG,43103.0,43034.54,43308.39,43034.54,12.592,0.47,0.16,5899.83,2,3.0,-1966.51
08/03/2019 20:00:00,08/06/2023 13:29:53,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,96361.59,63.105,09/03/2019 00:00:00,08/03/2019 23:00:00,08/03/2019 22:00:00,TAKE_PROFIT_HIT,SHORT,3899.0,3807.39,3807.39,3929.54,2.553,2.41,0.78,5781.05,2,3.0,5781.05
31/05/2019 17:00:00,08/06/2023 13:29:53,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,102142.64,70.541,31/05/2019 18:00:00,31/05/2019 20:00:00,31/05/2019 18:00:00,STOP_LOSS_HIT,LONG,8411.0,8382.04,8497.87,8382.04,5.809,1.02,0.35,6127.9,2,3.0,-2042.87
15/01/2023 17:00:00,08/06/2023 13:29:53,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,100099.77,11.957,15/01/2023 18:00:00,15/01/2023 20:00:00,15/01/2023 18:00:00,STOP_LOSS_HIT,LONG,20934.0,20766.57,21436.28,20766.57,2.501,2.34,0.81,6005.76,2,3.0,-2001.96
02/09/2021 01:00:00,08/06/2023 13:29:53,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,98097.81,14.059,02/09/2021 02:00:00,02/09/2021 04:00:00,02/09/2021 02:00:00,STOP_LOSS_HIT,LONG,49704.0,49564.45,50122.66,49564.45,7.123,0.84,0.28,5885.94,2,3.0,-1961.93
09/07/2020 01:00:00,08/06/2023 13:29:53,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,96135.88,79.947,09/07/2020 03:00:00,09/07/2020 04:00:00,09/07/2020 02:00:00,STOP_LOSS_HIT,LONG,9390.0,9365.95,9462.16,9365.95,7.809,0.76,0.26,5768.98,2,3.0,-1922.73
07/07/2019 23:00:00,08/06/2023 13:29:53,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,94213.15,58.156,08/07/2019 03:00:00,08/07/2019 02:00:00,08/07/2019 00:00:00,STOP_LOSS_HIT,SHORT,11475.0,11507.4,11377.79,11507.4,7.083,0.85,0.28,5653.34,2,3.0,-1884.25
17/01/2021 03:00:00,08/06/2023 13:29:53,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,92328.9,6.795,17/01/2021 05:00:00,17/01/2021 06:00:00,17/01/2021 04:00:00,STOP_LOSS_HIT,LONG,36215.0,35943.26,37030.21,35943.26,2.665,2.2,0.76,5539.35,2,3.0,-1846.47
10/07/2021 04:00:00,08/06/2023 13:29:53,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,90482.43,13.737,10/07/2021 06:00:00,10/07/2021 07:00:00,10/07/2021 05:00:00,STOP_LOSS_HIT,LONG,33672.0,33540.26,34067.23,33540.26,5.112,1.16,0.39,5429.27,2,3.0,-1809.71
03/01/2020 17:00:00,08/06/2023 13:29:53,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,88672.72,41.417,03/01/2020 18:00:00,03/01/2020 20:00:00,03/01/2020 19:00:00,STOP_LOSS_HIT,LONG,7352.0,7309.18,7480.47,7309.18,3.434,1.72,0.59,5320.84,2,3.0,-1773.48
