Open,Last update,Platform,Symbol,Timeframe,Account balance at open,Size,Expected close,Expiry,Close,Status,Side,Opening price,Closing price,Take profit,Stop loss,Leverage,TP price %,SL price %,Expected profit,Risk %,R/R ratio,PnL,Fee %,Fee Amount,Order Type
05/05/2019 00:00:00,16/06/2023 22:23:27,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,100.0,0.001,30/06/2019 00:00:00,23/06/2019 00:00:00,23/06/2019 00:00:00,TAKE_PROFIT_HIT,LONG,7228.0,12180.5,12180.5,4751.75,0.072,40.66,52.11,4.95,2,2.0,4.95,0.0,0.0,TAKER
28/02/2021 00:00:00,16/06/2023 22:23:27,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,104.95,0.0,11/04/2021 00:00:00,18/04/2021 00:00:00,18/04/2021 00:00:00,EXPIRED,LONG,48897.0,50128.0,75803.81,35443.6,0.0,35.5,37.96,0.0,0,0.0,0.0,0.0,0.0,TAKER
02/10/2022 00:00:00,16/06/2023 22:23:27,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,104.95,0.006,27/11/2022 00:00:00,20/11/2022 00:00:00,09/10/2022 00:00:00,STOP_LOSS_HIT,SHORT,19416.0,19794.16,18659.68,19794.16,1.11,4.05,1.91,4.54,2,2.0,-2.27,0.0,0.0,TAKER
29/08/2021 00:00:00,16/06/2023 22:23:27,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,102.68,0.001,17/10/2021 00:00:00,17/10/2021 00:00:00,05/09/2021 00:00:00,STOP_LOSS_HIT,LONG,49940.0,46330.14,57159.74,46330.14,0.486,12.63,7.79,7.22,4,2.0,-3.61,0.0,0.0,TAKER
18/09/2022 00:00:00,16/06/2023 22:23:27,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,99.07,0.005,13/11/2022 00:00:00,06/11/2022 00:00:00,25/09/2022 00:00:00,STOP_LOSS_HIT,SHORT,18925.0,19339.78,18095.45,19339.78,0.955,4.58,2.14,4.15,2,2.0,-2.07,0.0,0.0,TAKER
16/06/2019 00:00:00,16/06/2023 22:23:27,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,97.0,0.002,11/08/2019 00:00:00,04/08/2019 00:00:00,23/06/2019 00:00:00,TAKE_PROFIT_HIT,LONG,10676.0,12612.8,12612.8,9707.6,0.22,15.36,9.98,3.87,2,2.0,3.87,0.0,0.0,TAKER
03/02/2019 00:00:00,16/06/2023 22:23:27,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,100.87,0.031,24/02/2019 00:00:00,24/03/2019 00:00:00,10/02/2019 00:00:00,STOP_LOSS_HIT,LONG,3624.0,3559.17,3753.65,3559.17,1.114,3.45,1.82,4.02,2,2.0,-2.01,0.0,0.0,TAKER
16/05/2021 00:00:00,16/06/2023 22:23:27,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,98.86,0.001,27/06/2021 00:00:00,04/07/2021 00:00:00,23/05/2021 00:00:00,STOP_LOSS_HIT,SHORT,37496.0,39380.78,33726.45,39380.78,0.379,11.18,4.79,3.77,2,2.0,-1.88,0.0,0.0,TAKER
17/11/2019 00:00:00,16/06/2023 22:23:27,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,96.98,0.009,15/12/2019 00:00:00,05/01/2020 00:00:00,24/11/2019 00:00:00,STOP_LOSS_HIT,SHORT,7329.0,7536.93,6913.14,7536.93,0.68,6.02,2.76,3.74,2,2.0,-1.87,0.0,0.0,TAKER
10/03/2019 00:00:00,16/06/2023 22:23:27,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,95.11,0.006,05/05/2019 00:00:00,28/04/2019 00:00:00,31/03/2019 00:00:00,TAKE_PROFIT_HIT,LONG,3990.0,4669.61,4669.61,3650.2,0.252,14.55,9.31,4.08,2,2.0,4.08,0.0,0.0,TAKER
