Open,Last update,Platform,Symbol,Timeframe,Account balance at open,Size,Expected close,Expiry,Close,Status,Side,Opening price,Closing price,Take profit,Stop loss,Leverage,TP price %,SL price %,Expected profit,Risk %,R/R ratio,PnL,Fee %,Fee Amount,Order Type
04/08/2019 00:00:00,16/06/2023 22:32:52,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,100.0,0.003,29/09/2019 00:00:00,22/09/2019 00:00:00,11/08/2019 00:00:00,TAKE_PROFIT_HIT,SHORT,11284.0,10540.36,10540.36,12027.64,0.339,7.06,6.18,2.23,2,1.0,2.23,0.0,0.0,TAKER
05/12/2021 00:00:00,16/06/2023 22:32:52,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,102.23,0.001,23/01/2022 00:00:00,23/01/2022 00:00:00,12/12/2021 00:00:00,TAKE_PROFIT_HIT,SHORT,49402.0,47328.63,47328.63,51475.37,0.483,4.38,4.03,2.07,2,1.0,2.07,0.0,0.0,TAKER
21/06/2020 00:00:00,16/06/2023 22:32:52,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,104.3,0.005,16/08/2020 00:00:00,09/08/2020 00:00:00,05/07/2020 00:00:00,TAKE_PROFIT_HIT,LONG,9003.0,9409.82,9409.82,8596.18,0.432,4.32,4.73,2.03,2,1.0,2.03,0.0,0.0,TAKER
20/11/2022 00:00:00,16/06/2023 22:32:52,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,106.33,0.003,15/01/2023 00:00:00,08/01/2023 00:00:00,27/11/2022 00:00:00,TAKE_PROFIT_HIT,LONG,16454.0,17069.02,17069.02,15838.98,0.464,3.6,3.88,1.85,2,1.0,1.85,0.0,0.0,TAKER
24/11/2019 00:00:00,16/06/2023 22:32:52,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,108.18,0.008,19/01/2020 00:00:00,12/01/2020 00:00:00,01/12/2019 00:00:00,STOP_LOSS_HIT,LONG,7554.0,7278.99,7829.01,7278.99,0.559,3.51,3.78,2.2,2,1.0,-2.2,0.0,0.0,TAKER
27/05/2018 00:00:00,16/06/2023 22:32:52,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,105.98,0.011,24/06/2018 00:00:00,15/07/2018 00:00:00,03/06/2018 00:00:00,TAKE_PROFIT_HIT,SHORT,7644.0,7446.57,7446.57,7841.43,0.793,2.65,2.52,2.17,2,1.0,2.17,0.0,0.0,TAKER
25/12/2022 00:00:00,16/06/2023 22:32:52,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,108.15,0.002,19/02/2023 00:00:00,12/02/2023 00:00:00,08/01/2023 00:00:00,TAKE_PROFIT_HIT,LONG,16529.0,17686.89,17686.89,15371.11,0.306,6.55,7.53,2.32,2,1.0,2.32,0.0,0.0,TAKER
07/02/2021 00:00:00,16/06/2023 22:32:52,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,110.47,0.0,04/04/2021 00:00:00,28/03/2021 00:00:00,28/03/2021 00:00:00,EXPIRED,LONG,47262.0,57109.0,65472.31,29051.69,0.0,27.81,62.68,0.0,0,0.0,0.0,0.0,0.0,TAKER
05/01/2020 00:00:00,16/06/2023 22:32:52,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,110.47,0.003,09/02/2020 00:00:00,23/02/2020 00:00:00,12/01/2020 00:00:00,TAKE_PROFIT_HIT,LONG,8023.0,8792.28,8792.28,7253.72,0.218,8.75,10.61,2.31,2,1.0,2.31,0.0,0.0,TAKER
16/02/2020 00:00:00,16/06/2023 22:32:52,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,112.78,0.001,15/03/2020 00:00:00,05/04/2020 00:00:00,08/03/2020 00:00:00,TAKE_PROFIT_HIT,SHORT,9676.0,8107.81,8107.81,11244.2,0.086,19.34,13.95,1.57,1,1.0,1.57,0.0,0.0,TAKER
