Open,Last update,Platform,Symbol,Timeframe,Account balance at open,Size,Expected close,Expiry,Close,Status,Side,Opening price,Closing price,Take profit,Stop loss,Leverage,TP price %,SL price %,Expected profit,Risk %,R/R ratio,PnL
05/04/2020 03:00:00,08/06/2023 13:27:54,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,100000.0,30.955,03/05/2020 03:00:00,26/04/2020 03:00:00,12/04/2020 03:00:00,STOP_LOSS_HIT,LONG,6826.0,6761.39,7019.82,6761.39,2.113,2.76,0.96,5999.7,2,3.0,-2000.0
11/07/2021 03:00:00,08/06/2023 13:27:54,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,98000.0,8.714,08/08/2021 03:00:00,01/08/2021 03:00:00,18/07/2021 03:00:00,STOP_LOSS_HIT,LONG,32212.0,31987.07,32886.78,31987.07,2.864,2.05,0.7,5880.03,2,3.0,-1960.04
02/09/2018 00:00:00,08/06/2023 13:27:54,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,96039.96,43.566,09/09/2018 00:00:00,23/09/2018 00:00:00,09/09/2018 00:00:00,STOP_LOSS_HIT,SHORT,6185.0,6229.09,6052.73,6229.09,2.806,2.19,0.71,5762.47,2,3.0,-1920.82
31/01/2021 03:00:00,08/06/2023 13:27:54,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,94119.14,1.515,21/02/2021 03:00:00,21/02/2021 03:00:00,07/02/2021 03:00:00,STOP_LOSS_HIT,LONG,38815.0,37572.81,42541.58,37572.81,0.625,8.76,3.31,5645.77,2,3.0,-1881.92
11/10/2020 03:00:00,08/06/2023 13:27:54,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,92237.22,26.77,08/11/2020 03:00:00,01/11/2020 03:00:00,18/10/2020 03:00:00,TAKE_PROFIT_HIT,LONG,11380.0,11586.74,11586.74,11311.09,3.303,1.78,0.61,5534.43,2,3.0,5534.43
19/04/2020 03:00:00,08/06/2023 13:27:54,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,97771.65,22.777,17/05/2020 03:00:00,10/05/2020 03:00:00,26/04/2020 03:00:00,STOP_LOSS_HIT,LONG,7574.0,7488.15,7831.55,7488.15,1.764,3.29,1.15,5866.22,2,3.0,-1955.41
18/04/2021 03:00:00,08/06/2023 13:27:54,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,95816.24,5.806,16/05/2021 03:00:00,09/05/2021 03:00:00,25/04/2021 03:00:00,STOP_LOSS_HIT,SHORT,50354.0,50684.08,49363.75,50684.08,3.051,2.01,0.65,5749.39,2,3.0,-1916.44
24/05/2020 03:00:00,08/06/2023 13:27:54,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,93899.8,21.39,21/06/2020 03:00:00,14/06/2020 03:00:00,31/05/2020 03:00:00,STOP_LOSS_HIT,LONG,9642.0,9554.2,9905.4,9554.2,2.196,2.66,0.92,5634.13,2,3.0,-1878.04
07/08/2022 03:00:00,08/06/2023 13:27:54,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,92021.76,8.072,04/09/2022 03:00:00,28/08/2022 03:00:00,14/08/2022 03:00:00,STOP_LOSS_HIT,LONG,24620.0,24391.99,25304.03,24391.99,2.16,2.7,0.93,5521.49,2,3.0,-1840.5
20/12/2020 03:00:00,08/06/2023 13:27:54,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,90181.26,1.832,17/01/2021 03:00:00,10/01/2021 03:00:00,27/12/2020 03:00:00,TAKE_PROFIT_HIT,LONG,26571.0,29524.15,29524.15,25586.62,0.54,10.0,3.85,5410.17,2,3.0,5410.17
09/05/2021 03:00:00,08/06/2023 13:27:54,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,95591.43,1.651,30/05/2021 03:00:00,30/05/2021 03:00:00,16/05/2021 03:00:00,STOP_LOSS_HIT,SHORT,48161.0,49318.83,44687.5,49318.83,0.832,7.77,2.35,5734.75,2,3.0,-1911.58
20/03/2022 03:00:00,08/06/2023 13:27:54,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,93679.85,10.094,03/04/2022 03:00:00,10/04/2022 03:00:00,27/03/2022 03:00:00,STOP_LOSS_HIT,LONG,44715.0,44529.39,45271.83,44529.39,4.818,1.23,0.42,5620.64,2,3.0,-1873.55
27/09/2020 03:00:00,08/06/2023 13:27:54,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,91806.3,28.153,25/10/2020 03:00:00,18/10/2020 03:00:00,04/10/2020 03:00:00,TAKE_PROFIT_HIT,LONG,10563.0,10758.66,10758.66,10497.78,3.239,1.82,0.62,5508.42,2,3.0,5508.42
17/11/2019 01:00:00,08/06/2023 13:27:54,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,97314.72,31.096,15/12/2019 01:00:00,08/12/2019 02:00:00,24/11/2019 02:00:00,STOP_LOSS_HIT,LONG,7269.0,7206.41,7456.77,7206.41,2.323,2.52,0.87,5838.9,2,3.0,-1946.3
27/10/2019 00:00:00,08/06/2023 13:27:54,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,95368.42,18.069,24/11/2019 00:00:00,17/11/2019 01:00:00,03/11/2019 00:00:00,STOP_LOSS_HIT,SHORT,9308.0,9413.56,8991.31,9413.56,1.764,3.52,1.12,5722.27,2,3.0,-1907.36
21/10/2018 00:00:00,08/06/2023 13:27:54,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,93461.06,58.633,18/11/2018 00:00:00,11/11/2018 00:00:00,28/10/2018 00:00:00,TAKE_PROFIT_HIT,SHORT,6410.0,6314.37,6314.37,6441.88,4.021,1.51,0.49,5607.07,2,3.0,5607.07
17/11/2019 01:00:00,08/06/2023 13:27:54,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,99068.13,31.656,15/12/2019 01:00:00,08/12/2019 02:00:00,24/11/2019 02:00:00,STOP_LOSS_HIT,LONG,7269.0,7206.41,7456.77,7206.41,2.323,2.52,0.87,5944.05,2,3.0,-1981.35
03/01/2021 03:00:00,08/06/2023 13:27:54,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,97086.78,1.643,31/01/2021 03:00:00,24/01/2021 03:00:00,10/01/2021 03:00:00,STOP_LOSS_HIT,LONG,41092.0,39909.99,44638.05,39909.99,0.695,7.94,2.96,5826.16,2,3.0,-1942.04
04/04/2021 03:00:00,08/06/2023 13:27:54,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,95144.74,2.962,02/05/2021 03:00:00,25/04/2021 03:00:00,11/04/2021 03:00:00,STOP_LOSS_HIT,SHORT,60480.0,61122.48,58552.58,61122.48,1.883,3.29,1.05,5709.02,2,3.0,-1903.03
01/11/2020 03:00:00,08/06/2023 13:27:54,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,93241.71,4.522,29/11/2020 03:00:00,22/11/2020 03:00:00,08/11/2020 03:00:00,TAKE_PROFIT_HIT,LONG,15036.0,16273.16,16273.16,14623.61,0.729,7.6,2.82,5594.44,2,3.0,5594.44
21/10/2018 00:00:00,08/06/2023 13:27:54,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,98836.15,62.005,18/11/2018 00:00:00,11/11/2018 00:00:00,28/10/2018 00:00:00,TAKE_PROFIT_HIT,SHORT,6410.0,6314.37,6314.37,6441.88,4.021,1.51,0.49,5929.54,2,3.0,5929.54
31/10/2021 03:00:00,08/06/2023 13:27:54,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,104765.69,2.715,28/11/2021 03:00:00,21/11/2021 03:00:00,07/11/2021 03:00:00,TAKE_PROFIT_HIT,LONG,61991.0,64306.21,64306.21,61219.27,1.606,3.6,1.26,6285.8,2,3.0,6285.8
09/10/2022 03:00:00,08/06/2023 13:27:54,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,111051.49,33.328,06/11/2022 03:00:00,30/10/2022 03:00:00,16/10/2022 03:00:00,STOP_LOSS_HIT,LONG,19116.0,19049.36,19315.91,19049.36,5.737,1.03,0.35,6662.6,2,3.0,-2220.98
17/07/2022 03:00:00,08/06/2023 13:27:54,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,108830.51,27.587,14/08/2022 03:00:00,07/08/2022 03:00:00,24/07/2022 03:00:00,STOP_LOSS_HIT,LONG,22479.0,22400.1,22715.7,22400.1,5.698,1.04,0.35,6529.84,2,3.0,-2176.61
21/02/2021 03:00:00,08/06/2023 13:27:54,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,106653.9,1.675,21/03/2021 03:00:00,14/03/2021 03:00:00,28/02/2021 03:00:00,STOP_LOSS_HIT,LONG,45443.0,44169.8,49262.61,44169.8,0.714,7.75,2.88,6397.85,2,3.0,-2132.61
09/10/2022 03:00:00,08/06/2023 13:27:54,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,104521.29,31.369,06/11/2022 03:00:00,30/10/2022 03:00:00,16/10/2022 03:00:00,STOP_LOSS_HIT,LONG,19116.0,19049.36,19315.91,19049.36,5.737,1.03,0.35,6270.98,2,3.0,-2090.43
03/03/2019 00:00:00,08/06/2023 13:27:54,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,102430.86,39.066,31/03/2019 00:00:00,24/03/2019 00:00:00,10/03/2019 00:00:00,STOP_LOSS_HIT,LONG,3917.0,3864.56,4074.32,3864.56,1.494,3.86,1.36,6145.86,2,3.0,-2048.62
07/02/2021 03:00:00,08/06/2023 13:27:54,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,100382.24,1.531,07/03/2021 03:00:00,28/02/2021 03:00:00,14/02/2021 03:00:00,STOP_LOSS_HIT,LONG,47496.0,46185.03,51428.94,46185.03,0.724,7.65,2.84,6021.33,2,3.0,-2007.1
27/02/2022 03:00:00,08/06/2023 13:27:54,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,98375.14,10.37,27/03/2022 03:00:00,20/03/2022 03:00:00,06/03/2022 03:00:00,STOP_LOSS_HIT,LONG,39521.0,39331.26,40090.24,39331.26,4.166,1.42,0.48,5903.02,2,3.0,-1967.6
11/04/2021 03:00:00,08/06/2023 13:27:54,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,96407.54,1.633,09/05/2021 03:00:00,02/05/2021 03:00:00,18/04/2021 03:00:00,STOP_LOSS_HIT,LONG,58856.0,57675.05,62398.85,57675.05,0.997,5.68,2.05,5785.47,2,3.0,-1928.49
09/05/2021 03:00:00,08/06/2023 13:27:54,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,94479.05,1.632,30/05/2021 03:00:00,30/05/2021 03:00:00,16/05/2021 03:00:00,STOP_LOSS_HIT,SHORT,48161.0,49318.83,44687.5,49318.83,0.832,7.77,2.35,5668.75,2,3.0,-1889.58
10/03/2019 00:00:00,08/06/2023 13:27:54,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,92589.47,20.439,07/04/2019 00:00:00,31/03/2019 00:00:00,24/03/2019 00:00:00,STOP_LOSS_HIT,LONG,3990.0,3899.4,4261.79,3899.4,0.881,6.38,2.32,5555.12,2,3.0,-1851.77
08/09/2019 00:00:00,08/06/2023 13:27:54,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,90737.7,27.001,06/10/2019 00:00:00,29/09/2019 00:00:00,15/09/2019 00:00:00,TAKE_PROFIT_HIT,SHORT,10360.0,10158.37,10158.37,10427.21,3.083,1.98,0.64,5444.21,2,3.0,5444.21
