Open,Last update,Platform,Symbol,Timeframe,Account balance at open,Size,Expected close,Expiry,Close,Status,Side,Opening price,Closing price,Take profit,Stop loss,Leverage,TP price %,SL price %,Expected profit,Risk %,R/R ratio,PnL
14/08/2022 03:00:00,08/06/2023 13:33:18,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,100000.0,2.537,11/09/2022 03:00:00,04/09/2022 03:00:00,21/08/2022 03:00:00,STOP_LOSS_HIT,LONG,21271.0,20482.64,23636.08,20482.64,0.54,10.01,3.85,6000.21,2,3.0,-2000.07
26/09/2021 03:00:00,08/06/2023 13:33:18,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,97999.93,1.726,24/10/2021 03:00:00,17/10/2021 03:00:00,03/10/2021 03:00:00,TAKE_PROFIT_HIT,LONG,47657.0,51064.03,51064.03,46521.33,0.839,6.67,2.44,5880.53,2,3.0,5880.53
28/04/2019 00:00:00,08/06/2023 13:33:18,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,103880.46,7.364,26/05/2019 00:00:00,19/05/2019 00:00:00,05/05/2019 00:00:00,TAKE_PROFIT_HIT,LONG,5770.0,6616.4,6616.4,5487.87,0.409,12.79,5.14,6232.89,2,3.0,6232.89
08/01/2023 03:00:00,08/06/2023 13:33:18,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,110113.35,4.04,05/02/2023 03:00:00,29/01/2023 03:00:00,15/01/2023 03:00:00,TAKE_PROFIT_HIT,LONG,20684.0,22319.49,22319.49,20138.84,0.759,7.33,2.71,6607.38,2,3.0,6607.38
30/01/2022 03:00:00,08/06/2023 13:33:18,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,116720.73,9.505,13/02/2022 03:00:00,20/02/2022 03:00:00,06/02/2022 03:00:00,STOP_LOSS_HIT,LONG,41550.0,41304.41,42286.78,41304.41,3.384,1.74,0.59,7003.09,2,3.0,-2334.33
31/07/2022 03:00:00,08/06/2023 13:33:18,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,114386.4,6.519,28/08/2022 03:00:00,21/08/2022 03:00:00,07/08/2022 03:00:00,STOP_LOSS_HIT,SHORT,23003.0,23353.94,21950.18,23353.94,1.311,4.8,1.5,6863.33,2,3.0,-2287.78
02/08/2020 03:00:00,08/06/2023 13:33:18,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,112098.62,3.38,30/08/2020 03:00:00,23/08/2020 03:00:00,23/08/2020 03:00:00,EXPIRED,LONG,11735.0,11629.0,13724.74,11071.76,0.354,14.5,5.99,6725.32,2,3.0,-358.28
17/11/2019 01:00:00,08/06/2023 13:33:18,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,111740.34,17.853,15/12/2019 01:00:00,08/12/2019 02:00:00,24/11/2019 02:00:00,STOP_LOSS_HIT,LONG,7269.0,7143.82,7644.55,7143.82,1.161,4.91,1.75,6704.69,2,3.0,-2234.84
09/02/2020 03:00:00,08/06/2023 13:33:18,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,109505.5,4.564,08/03/2020 03:00:00,01/03/2020 03:00:00,16/02/2020 03:00:00,STOP_LOSS_HIT,LONG,10035.0,9555.1,11474.7,9555.1,0.418,12.55,5.02,6570.79,2,3.0,-2190.26
13/05/2018 00:00:00,08/06/2023 13:33:18,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,107315.24,14.591,27/05/2018 00:00:00,03/06/2018 00:00:00,20/05/2018 00:00:00,STOP_LOSS_HIT,SHORT,8240.0,8387.1,7798.7,8387.1,1.12,5.66,1.75,6439.01,2,3.0,-2146.34
03/06/2018 00:00:00,08/06/2023 13:33:18,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,105168.9,24.99,24/06/2018 00:00:00,24/06/2018 00:00:00,10/06/2018 00:00:00,TAKE_PROFIT_HIT,SHORT,7502.0,7249.49,7249.49,7586.17,1.783,3.48,1.11,6310.22,2,3.0,6310.22
05/04/2020 03:00:00,08/06/2023 13:33:18,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,111479.12,17.255,03/05/2020 03:00:00,26/04/2020 03:00:00,12/04/2020 03:00:00,STOP_LOSS_HIT,LONG,6826.0,6696.79,7213.64,6696.79,1.057,5.37,1.93,6688.73,2,3.0,-2229.52
28/03/2021 03:00:00,08/06/2023 13:33:18,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,109249.6,5.107,25/04/2021 03:00:00,18/04/2021 03:00:00,04/04/2021 03:00:00,STOP_LOSS_HIT,SHORT,57408.0,57835.86,56124.42,57835.86,2.684,2.29,0.74,6555.24,2,3.0,-2185.08
01/03/2020 03:00:00,08/06/2023 13:33:18,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,107064.52,8.696,15/03/2020 03:00:00,22/03/2020 03:00:00,08/03/2020 03:00:00,TAKE_PROFIT_HIT,SHORT,8733.0,7994.24,7994.24,8979.25,0.709,9.24,2.74,6424.26,2,3.0,6424.26
04/10/2020 03:00:00,08/06/2023 13:33:18,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,113488.78,14.261,01/11/2020 03:00:00,25/10/2020 03:00:00,11/10/2020 03:00:00,STOP_LOSS_HIT,LONG,11359.0,11199.84,11836.48,11199.84,1.427,4.03,1.42,6809.34,2,3.0,-2269.78
10/04/2022 03:00:00,08/06/2023 13:33:18,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,111219.0,5.582,08/05/2022 03:00:00,01/05/2022 03:00:00,17/04/2022 03:00:00,STOP_LOSS_HIT,LONG,40197.0,39798.49,41392.53,39798.49,2.017,2.89,1.0,6673.45,2,3.0,-2224.48
02/06/2019 00:00:00,08/06/2023 13:33:18,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,108994.52,5.234,30/06/2019 00:00:00,23/06/2019 00:00:00,09/06/2019 00:00:00,STOP_LOSS_HIT,LONG,7936.0,7519.54,9185.39,7519.54,0.381,13.6,5.54,6539.31,2,3.0,-2179.75
