Dummy Trades Date Time,Data.ser version date,CSV Trades History file name,Dummy Trades Summary CSV file name,Symbol,Timeframe,Match Score Smoothing,Match Score Threshold,Price Variation Threshold,Extrapolate Price Variation,Extrapolate Match Score,Pattern Autoconfig,Computation Autoconfig,Computation Type,Computation Pattern Type,Atomic Partition,Scope,Full Scope,Pattern Length,Pattern Granularity,Trading Match Score Smoothing,Trading Match Score Threshold,Trading Price Variation Threshold,Trading Extrapolate Price Variation,Trading Extrapolate Match Score,Reward to Risk ratio,Risk Percentage,Price Variation Multiplier,SL_TP Strategy,Max Trades,Trades Result,Initial Account Balance,Target Account Balance,Final Account Balance,Minimum Account Balance,Number of Trades performed,Number of Longs,Number of Shorts,Number of Useless Trades,Used to Useless Trade ratio,Total PnL,Long PnL,Short PnL,Total Win to Loss ratio,Long Win to Loss ratio,Short Win to Loss ratio,Average Total PnL,Average Long PnL,Average Short PnL,Average Total Return,Average Long Return,Average Short Return,Profit Factor,Profit Factor Qualification,Total Duration (in days),Annualized Return %
15/02/2024 16:24:28,2024.02.15_16.03.34,2024.02.15_16.24.28_Dummy Trade Account_randomized=false_BTC_USD_FOUR_HOUR_Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_04_11_23.csv__NEUTRAL,dummy_trades_summary,BTC_USD,FOUR_HOUR,NONE,20.0,1.0,false,false,TIMEFRAME_LONG,DEFAULT,BASIC_ITERATION,MULTI_PREDICTIVE,true,12,true,18,100,NONE,20,1.0,false,false,2.0,5,1.2,SL_IS_3X_TP,100,NEUTRAL,10000.0,20000.0,12034.46,5000.0,28,28,0,179,0.16,2034.46,2034.46,0.0,2.5,2.5,2.5,72.66,72.66,0.0,18.83,18.83,0.0,3.28,OUTSTANDING,61.33,116.09
15/02/2024 16:24:28,2024.02.15_16.03.34,2024.02.15_16.24.28_Dummy Trade Account_randomized=false_BTC_USD_DAY_Upscale-Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_04_11_23.csv__NEUTRAL,dummy_trades_summary,BTC_USD,DAY,NONE,20.0,1.0,false,false,TIMEFRAME_LONG,DEFAULT,BASIC_ITERATION,MULTI_PREDICTIVE,true,14,true,21,100,NONE,20,1.0,false,false,2.0,5,1.2,SL_IS_3X_TP,100,NEUTRAL,10000.0,20000.0,10643.67,5000.0,4,4,0,17,0.24,643.67,643.67,0.0,9.223372036854776E16,9.223372036854776E16,9.223372036854776E16,160.92,160.92,0.0,6.29,6.29,0.0,9.223372036854776E16,OUTSTANDING,34.0,62.82
15/02/2024 19:25:01,2024.02.15_16.03.34,2024.02.15_19.25.01_Dummy Trade Account_randomized=false_BTC_USD_DAY_Upscale-Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_14_02_24.csv__NEUTRAL,dummy_trades_summary,BTC_USD,DAY,NONE,20.0,1.0,false,false,TIMEFRAME_LONG,DEFAULT,BASIC_ITERATION,MULTI_PREDICTIVE,true,14,true,21,100,NONE,20,1.0,false,false,2.0,10,2.0,SL_IS_3X_TP,100,NEUTRAL,10000.0,20000.0,14009.63,5000.0,13,13,0,37,0.35,4009.63,4009.63,0.0,12.0,12.0,0.0,308.43,308.43,0.0,34.3,34.3,0.0,15.45,OUTSTANDING,131.0,108.7
15/02/2024 19:25:59,2024.02.15_16.03.34,2024.02.15_19.25.59_Dummy Trade Account_randomized=false_BTC_USD_FOUR_HOUR_Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_14_02_24.csv__NEUTRAL,dummy_trades_summary,BTC_USD,FOUR_HOUR,NONE,20.0,1.0,false,false,TIMEFRAME_LONG,DEFAULT,BASIC_ITERATION,MULTI_PREDICTIVE,true,12,true,18,100,NONE,20,1.0,false,false,2.0,10,2.0,SL_IS_3X_TP,100,NEUTRAL,10000.0,20000.0,15073.34,5000.0,63,63,0,416,0.15,5073.34,5073.34,0.0,1.63,1.63,0.0,80.53,80.53,0.0,43.72,43.72,0.0,1.66,GOOD,157.0,115.64
15/02/2024 19:25:59,2024.02.15_16.03.34,2024.02.15_19.25.59_Dummy Trade Account_randomized=false_BTC_USD_DAY_Upscale-Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_14_02_24.csv__NEUTRAL,dummy_trades_summary,BTC_USD,DAY,NONE,20.0,1.0,false,false,TIMEFRAME_LONG,DEFAULT,BASIC_ITERATION,MULTI_PREDICTIVE,true,14,true,21,100,NONE,20,1.0,false,false,2.0,10,2.0,SL_IS_3X_TP,100,NEUTRAL,10000.0,20000.0,14009.63,5000.0,13,13,0,37,0.35,4009.63,4009.63,0.0,12.0,12.0,0.0,308.43,308.43,0.0,34.3,34.3,0.0,15.45,OUTSTANDING,131.0,108.7
15/02/2024 19:26:14,2024.02.15_16.03.34,2024.02.15_19.26.14_Dummy Trade Account_randomized=false_BTC_USD_DAY_Upscale-Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_14_02_24.csv__NEUTRAL,dummy_trades_summary,BTC_USD,DAY,NONE,20.0,1.0,false,false,TIMEFRAME_LONG,DEFAULT,BASIC_ITERATION,MULTI_PREDICTIVE,true,14,true,21,100,NONE,20,1.0,false,false,2.0,10,2.0,SL_IS_2X_TP,100,NEUTRAL,10000.0,20000.0,16514.63,5000.0,13,13,0,37,0.35,6514.63,6514.63,0.0,12.0,12.0,0.0,501.13,501.13,0.0,51.49,51.49,0.0,14.95,OUTSTANDING,131.0,176.64
15/02/2024 19:26:27,2024.02.15_16.03.34,2024.02.15_19.26.27_Dummy Trade Account_randomized=false_BTC_USD_FOUR_HOUR_Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_14_02_24.csv__NEUTRAL,dummy_trades_summary,BTC_USD,FOUR_HOUR,NONE,20.0,1.0,false,false,TIMEFRAME_LONG,DEFAULT,BASIC_ITERATION,MULTI_PREDICTIVE,true,12,true,18,100,NONE,20,1.0,false,false,2.0,10,2.0,SL_IS_2X_TP,100,NEUTRAL,10000.0,20000.0,17362.5,5000.0,64,64,0,411,0.16,7362.5,7362.5,0.0,1.67,1.67,0.0,115.04,115.04,0.0,61.35,61.35,0.0,1.52,GOOD,156.83,167.97
15/02/2024 19:29:30,2024.02.15_16.03.34,2024.02.15_19.29.30_Dummy Trade Account_randomized=false_BTC_USD_FOUR_HOUR_Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_14_02_24.csv__NEUTRAL,dummy_trades_summary,BTC_USD,FOUR_HOUR,NONE,20.0,1.0,false,false,TIMEFRAME_LONG,DEFAULT,BASIC_ITERATION,MULTI_PREDICTIVE,true,12,true,18,100,NONE,20,1.0,false,false,2.0,10,2.0,SL_IS_2X_TP,100,NEUTRAL,10000.0,20000.0,17362.5,5000.0,64,64,0,411,0.16,7362.5,7362.5,0.0,1.67,1.67,0.0,115.04,115.04,0.0,61.35,61.35,0.0,1.52,GOOD,156.83,167.97
15/02/2024 19:29:30,2024.02.15_16.03.34,2024.02.15_19.29.30_Dummy Trade Account_randomized=false_BTC_USD_DAY_Upscale-Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_14_02_24.csv__NEUTRAL,dummy_trades_summary,BTC_USD,DAY,NONE,20.0,1.0,false,false,TIMEFRAME_LONG,DEFAULT,BASIC_ITERATION,MULTI_PREDICTIVE,true,14,true,21,100,NONE,20,1.0,false,false,2.0,10,2.0,SL_IS_2X_TP,100,NEUTRAL,10000.0,20000.0,16514.63,5000.0,13,13,0,37,0.35,6514.63,6514.63,0.0,12.0,12.0,0.0,501.13,501.13,0.0,51.49,51.49,0.0,14.95,OUTSTANDING,131.0,176.64
18/02/2024 11:13:32,2024.02.15_16.03.34,2024.02.18_11.13.32_Dummy Trade Account_randomized=false_BTC_USD_FOUR_HOUR_Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_14_02_24.csv__NEUTRAL,dummy_trades_summary,BTC_USD,FOUR_HOUR,NONE,20.0,1.0,false,false,TIMEFRAME_LONG,DEFAULT,BASIC_ITERATION,MULTI_PREDICTIVE,true,12,true,18,100,NONE,20,1.0,false,false,2.0,10,2.0,SL_IS_2X_TP,100,NEUTRAL,10000.0,20000.0,17362.5,5000.0,64,64,0,411,0.16,7362.5,7362.5,0.0,1.67,1.67,0.0,115.04,115.04,0.0,61.35,61.35,0.0,1.52,GOOD,156.83,167.97
