Open,Last update,Platform,Symbol,Timeframe,Account balance at open,Size,Expected close,Expiry,Close,Status,Side,Opening price,Closing price,Take profit,Stop loss,Leverage,TP price %,SL price %,Expected profit,Risk %,R/R ratio,PnL
31/03/2021 00:00:00,16/06/2023 13:25:08,Bitfinex_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,100000.0,1.703,06/04/2021 00:00:00,06/04/2021 00:00:00,03/04/2021 00:00:00,STOP_LOSS_HIT,LONG,58796.0,57621.89,62318.35,57621.89,1.001,5.65,2.04,5998.56,2,3.0,-1999.51
02/02/2020 00:00:00,16/06/2023 13:25:08,Bitfinex_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,98000.49,13.474,09/02/2020 00:00:00,08/02/2020 00:00:00,04/02/2020 00:00:00,STOP_LOSS_HIT,LONG,9353.0,9207.53,9789.41,9207.53,1.286,4.46,1.58,5880.19,2,3.0,-1960.06
12/12/2018 00:00:00,16/06/2023 13:25:08,Bitfinex_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,96040.43,89.423,19/12/2018 00:00:00,18/12/2018 00:00:00,13/12/2018 00:00:00,STOP_LOSS_HIT,LONG,3536.0,3514.52,3600.43,3514.52,3.292,1.79,0.61,5761.52,2,3.0,-1920.81
09/02/2021 00:00:00,16/06/2023 13:25:08,Bitfinex_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,94119.62,3.588,14/02/2021 00:00:00,15/02/2021 00:00:00,10/02/2021 00:00:00,STOP_LOSS_HIT,SHORT,46488.0,47012.61,44914.17,47012.61,1.772,3.5,1.12,5646.9,2,3.0,-1882.3
19/09/2020 00:00:00,16/06/2023 13:25:08,Bitfinex_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,92237.32,19.817,26/09/2020 00:00:00,25/09/2020 00:00:00,20/09/2020 00:00:00,STOP_LOSS_HIT,LONG,11098.0,11004.91,11377.27,11004.91,2.384,2.45,0.85,5534.29,2,3.0,-1844.76
17/12/2018 00:00:00,16/06/2023 13:25:08,Bitfinex_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,90392.56,33.141,21/12/2018 00:00:00,23/12/2018 00:00:00,18/12/2018 00:00:00,STOP_LOSS_HIT,LONG,3625.0,3570.45,3788.64,3570.45,1.329,4.32,1.53,5423.19,2,3.0,-1807.84
02/05/2020 00:00:00,16/06/2023 13:25:08,Bitfinex_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,88584.72,13.336,08/05/2020 00:00:00,08/05/2020 00:00:00,03/05/2020 00:00:00,STOP_LOSS_HIT,LONG,8982.0,8849.15,9380.54,8849.15,1.352,4.25,1.5,5314.93,2,3.0,-1771.69
04/02/2021 00:00:00,16/06/2023 13:25:08,Bitfinex_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,86813.03,1.455,09/02/2021 00:00:00,10/02/2021 00:00:00,06/02/2021 00:00:00,TAKE_PROFIT_HIT,LONG,36952.0,40532.35,40532.35,35758.55,0.619,8.83,3.34,5209.41,2,3.0,5209.41
21/02/2018 00:00:00,16/06/2023 13:25:08,Bitfinex_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,92022.44,11.544,25/02/2018 00:00:00,27/02/2018 00:00:00,22/02/2018 00:00:00,STOP_LOSS_HIT,SHORT,10450.0,10609.43,9971.72,10609.43,1.311,4.8,1.5,5521.26,2,3.0,-1840.46
17/02/2021 00:00:00,16/06/2023 13:25:08,Bitfinex_BTCUSD_d_17_12_17_to_10_03_23.csv,BTC_USD,DAY,90181.98,2.293,22/02/2021 00:00:00,23/02/2021 00:00:00,18/02/2021 00:00:00,STOP_LOSS_HIT,LONG,52116.0,51329.58,54475.27,51329.58,1.325,4.33,1.53,5409.81,2,3.0,-1803.26
