Open,Last update,Platform,Symbol,Timeframe,Account balance at open,Size,Expected close,Expiry,Close,Status,Side,Opening price,Closing price,Take profit,Stop loss,Leverage,TP price %,SL price %,Expected profit,Risk %,R/R ratio,PnL,Fee %,Fee Amount,Order Type
14/04/2023 00:00:00,18/06/2023 15:19:43,DUMMY_Bitfinex_BTCUSD_d_01_07_22_to_16_06_23.csv,BTC_USD,DAY,200.0,0.007,19/04/2023 00:00:00,27/04/2023 00:00:00,17/04/2023 00:00:00,STOP_LOSS_HIT,LONG,30462.0,29922.07,32081.8,29922.07,1.066,5.05,1.8,11.18,2,3.1,-3.94,0.075,0.1599255,TAKER
08/11/2022 00:00:00,18/06/2023 15:19:43,DUMMY_Bitfinex_BTCUSD_d_01_07_22_to_16_06_23.csv,BTC_USD,DAY,196.06,0.015,18/11/2022 00:00:00,21/11/2022 00:00:00,09/11/2022 00:00:00,TAKE_PROFIT_HIT,SHORT,18559.0,17795.3,17795.3,18813.57,1.42,4.29,1.35,11.25,2,3.1,11.25,0.075,0.20878874999999997,TAKER
16/03/2023 00:00:00,18/06/2023 15:19:43,DUMMY_Bitfinex_BTCUSD_d_01_07_22_to_16_06_23.csv,BTC_USD,DAY,207.31,0.01,29/03/2023 00:00:00,29/03/2023 00:00:00,17/03/2023 00:00:00,TAKE_PROFIT_HIT,LONG,25061.0,26266.82,26266.82,24659.06,1.209,4.59,1.63,11.87,2,3.1,11.87,0.075,0.18795750000000003,TAKER
14/01/2023 00:00:00,18/06/2023 15:19:43,DUMMY_Bitfinex_BTCUSD_d_01_07_22_to_16_06_23.csv,BTC_USD,DAY,219.18,0.009,27/01/2023 00:00:00,27/01/2023 00:00:00,18/01/2023 00:00:00,STOP_LOSS_HIT,LONG,20966.0,20491.3,22390.1,20491.3,0.861,6.36,2.32,12.68,2,3.1,-4.41,0.075,0.1415205,TAKER
22/03/2023 00:00:00,18/06/2023 15:19:43,DUMMY_Bitfinex_BTCUSD_d_01_07_22_to_16_06_23.csv,BTC_USD,DAY,214.77,0.015,05/04/2023 00:00:00,04/04/2023 00:00:00,23/03/2023 00:00:00,STOP_LOSS_HIT,SHORT,27258.0,27541.48,26407.55,27541.48,1.904,3.22,1.03,12.45,2,3.2,-4.56,0.075,0.3066525,TAKER
31/10/2022 00:00:00,18/06/2023 15:19:43,DUMMY_Bitfinex_BTCUSD_d_01_07_22_to_16_06_23.csv,BTC_USD,DAY,210.21,0.014,09/11/2022 00:00:00,13/11/2022 00:00:00,02/11/2022 00:00:00,STOP_LOSS_HIT,LONG,20509.0,20207.57,21413.3,20207.57,1.366,4.22,1.49,12.44,2,3.1,-4.44,0.075,0.21534450000000002,TAKER
14/08/2022 00:00:00,18/06/2023 15:19:43,DUMMY_Bitfinex_BTCUSD_d_01_07_22_to_16_06_23.csv,BTC_USD,DAY,205.77,0.015,28/08/2022 00:00:00,27/08/2022 00:00:00,15/08/2022 00:00:00,STOP_LOSS_HIT,LONG,24300.0,24017.31,25148.07,24017.31,1.771,3.37,1.18,12.45,2,3.1,-4.51,0.075,0.273375,TAKER
06/08/2022 00:00:00,18/06/2023 15:19:43,DUMMY_Bitfinex_BTCUSD_d_01_07_22_to_16_06_23.csv,BTC_USD,DAY,201.26,0.014,18/08/2022 00:00:00,19/08/2022 00:00:00,07/08/2022 00:00:00,STOP_LOSS_HIT,SHORT,22930.0,23223.12,22050.64,23223.12,1.595,3.99,1.26,12.07,2,3.1,-4.34,0.075,0.240765,TAKER
25/02/2023 00:00:00,18/06/2023 15:19:43,DUMMY_Bitfinex_BTCUSD_d_01_07_22_to_16_06_23.csv,BTC_USD,DAY,196.92,0.016,07/03/2023 00:00:00,10/03/2023 00:00:00,26/02/2023 00:00:00,STOP_LOSS_HIT,SHORT,23178.0,23417.89,22458.32,23417.89,1.883,3.2,1.02,11.24,2,3.2,-4.12,0.075,0.278136,TAKER
22/01/2023 00:00:00,18/06/2023 15:19:43,DUMMY_Bitfinex_BTCUSD_d_01_07_22_to_16_06_23.csv,BTC_USD,DAY,192.8,0.01,02/02/2023 00:00:00,04/02/2023 00:00:00,29/01/2023 00:00:00,TAKE_PROFIT_HIT,LONG,22713.0,23902.42,23902.42,22316.53,1.178,4.98,1.78,11.72,2,3.1,11.72,0.075,0.17034749999999999,TAKER
