Open,Last update,Platform,Symbol,Timeframe,Account balance at open,Size,Expected close,Expiry,Close,Status,Side,Opening price,Closing price,Take profit,Stop loss,Leverage,TP price %,SL price %,Expected profit,Risk %,R/R ratio,PnL
29/04/2020 12:00:00,16/06/2023 15:45:23,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,100000.0,3.98,30/04/2020 00:00:00,30/04/2020 08:00:00,29/04/2020 16:00:00,TAKE_PROFIT_HIT,LONG,8382.0,8884.47,8884.47,7879.54,0.334,5.66,6.38,1999.83,2,1.0,1999.83
03/01/2020 08:00:00,16/06/2023 15:45:23,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,101999.83,8.158,03/01/2020 12:00:00,04/01/2020 04:00:00,04/01/2020 04:00:00,EXPIRED,LONG,7329.0,7342.0,7579.07,7078.93,0.586,3.3,3.53,2040.07,2,1.0,106.05
27/02/2018 16:00:00,16/06/2023 15:45:23,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,102105.88,8.057,27/02/2018 20:00:00,28/02/2018 12:00:00,28/02/2018 00:00:00,TAKE_PROFIT_HIT,LONG,10673.0,10926.46,10926.46,10419.54,0.842,2.32,2.43,2042.13,2,1.0,2042.13
10/07/2019 00:00:00,16/06/2023 15:45:23,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,104148.01,9.272,10/07/2019 20:00:00,10/07/2019 20:00:00,10/07/2019 12:00:00,TAKE_PROFIT_HIT,SHORT,12983.0,12758.34,12758.34,13207.66,1.156,1.76,1.7,2083.05,2,1.0,2083.05
01/04/2019 20:00:00,16/06/2023 15:45:23,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,106231.06,10.347,02/04/2019 12:00:00,02/04/2019 16:00:00,02/04/2019 04:00:00,TAKE_PROFIT_HIT,LONG,4137.0,4342.33,4342.33,3931.67,0.403,4.73,5.22,2124.55,2,1.0,2124.55
19/12/2019 00:00:00,16/06/2023 15:45:23,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,108355.61,6.185,19/12/2019 16:00:00,19/12/2019 20:00:00,19/12/2019 20:00:00,EXPIRED,LONG,7168.0,7155.0,7518.37,6817.63,0.409,4.66,5.14,2167.04,2,1.0,-80.4
12/02/2021 00:00:00,16/06/2023 15:45:23,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,108275.21,2.76,12/02/2021 04:00:00,12/02/2021 20:00:00,12/02/2021 04:00:00,STOP_LOSS_HIT,LONG,47624.0,46839.39,48408.62,46839.39,1.214,1.62,1.68,2165.55,2,1.0,-2165.52
22/07/2018 20:00:00,16/06/2023 15:45:23,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,106109.69,15.946,23/07/2018 00:00:00,23/07/2018 16:00:00,23/07/2018 00:00:00,TAKE_PROFIT_HIT,LONG,7400.0,7533.09,7533.09,7266.91,1.112,1.77,1.83,2122.25,2,1.0,2122.25
16/10/2020 00:00:00,16/06/2023 15:45:23,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,108231.94,10.318,16/10/2020 12:00:00,16/10/2020 20:00:00,16/10/2020 04:00:00,STOP_LOSS_HIT,LONG,11514.0,11304.2,11723.8,11304.2,1.098,1.79,1.86,2164.72,2,1.0,-2164.72
22/12/2021 12:00:00,16/06/2023 15:45:23,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,106067.22,1.966,23/12/2021 12:00:00,23/12/2021 08:00:00,23/12/2021 08:00:00,EXPIRED,SHORT,48919.0,48381.0,47840.1,49997.91,0.907,2.26,2.16,2121.12,2,1.0,1057.71
24/03/2022 04:00:00,16/06/2023 15:45:23,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,107124.93,1.531,24/03/2022 12:00:00,25/03/2022 00:00:00,25/03/2022 00:00:00,EXPIRED,LONG,43108.0,43985.0,44507.5,41708.5,0.616,3.14,3.36,2142.63,2,1.0,1342.69
13/11/2019 08:00:00,16/06/2023 15:45:23,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,108467.62,15.773,13/11/2019 12:00:00,14/11/2019 04:00:00,14/11/2019 04:00:00,EXPIRED,LONG,8753.0,8636.0,8890.54,8615.46,1.273,1.55,1.6,2169.42,2,1.0,-1845.44
15/12/2021 20:00:00,16/06/2023 15:45:23,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,106622.18,0.875,16/12/2021 00:00:00,16/12/2021 16:00:00,16/12/2021 16:00:00,EXPIRED,LONG,48895.0,47873.0,51332.54,46457.47,0.401,4.75,5.25,2132.85,2,1.0,-894.25
29/10/2020 20:00:00,16/06/2023 15:45:23,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,105727.93,6.764,30/10/2020 16:00:00,30/10/2020 16:00:00,30/10/2020 04:00:00,STOP_LOSS_HIT,LONG,13474.0,13161.4,13786.6,13161.4,0.862,2.27,2.38,2114.43,2,1.0,-2114.43
09/09/2021 20:00:00,16/06/2023 15:45:23,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,103613.5,1.635,10/09/2021 00:00:00,10/09/2021 16:00:00,10/09/2021 12:00:00,STOP_LOSS_HIT,LONG,46387.0,45119.56,47654.44,45119.56,0.732,2.66,2.81,2072.26,2,1.0,-2072.26
23/05/2022 16:00:00,16/06/2023 15:45:23,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,101541.24,4.544,24/05/2022 08:00:00,24/05/2022 12:00:00,24/05/2022 12:00:00,STOP_LOSS_HIT,SHORT,29058.0,29504.96,28611.04,29504.96,1.3,1.56,1.51,2030.99,2,1.0,-2030.99
02/03/2018 08:00:00,16/06/2023 15:45:23,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,99510.25,6.01,02/03/2018 12:00:00,03/03/2018 04:00:00,03/03/2018 00:00:00,TAKE_PROFIT_HIT,LONG,10900.0,11231.16,11231.16,10568.84,0.658,2.95,3.13,1990.27,2,1.0,1990.27
25/01/2018 16:00:00,16/06/2023 15:45:23,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,101500.52,11.723,26/01/2018 16:00:00,26/01/2018 12:00:00,25/01/2018 20:00:00,STOP_LOSS_HIT,LONG,11233.0,11059.84,11406.16,11059.84,1.297,1.52,1.57,2029.95,2,1.0,-2029.95
24/09/2019 08:00:00,16/06/2023 15:45:23,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,99470.57,10.559,25/09/2019 08:00:00,25/09/2019 04:00:00,24/09/2019 12:00:00,TAKE_PROFIT_HIT,SHORT,9715.0,9526.6,9526.6,9903.4,1.031,1.98,1.9,1989.32,2,1.0,1989.32
25/05/2019 04:00:00,16/06/2023 15:45:23,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,101459.89,15.939,26/05/2019 04:00:00,26/05/2019 00:00:00,25/05/2019 08:00:00,STOP_LOSS_HIT,SHORT,7995.0,8122.31,7867.7,8122.31,1.256,1.62,1.57,2029.03,2,1.0,-2029.19
12/01/2023 20:00:00,16/06/2023 15:45:23,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,99430.7,2.014,13/01/2023 00:00:00,13/01/2023 16:00:00,13/01/2023 16:00:00,EXPIRED,LONG,18855.0,19361.0,19842.61,17867.39,0.382,4.98,5.53,1989.05,2,1.0,1019.08
26/07/2021 20:00:00,16/06/2023 15:45:23,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,100449.78,3.647,27/07/2021 00:00:00,27/07/2021 16:00:00,27/07/2021 00:00:00,STOP_LOSS_HIT,LONG,37246.0,36695.21,37796.79,36695.21,1.352,1.46,1.5,2008.73,2,1.0,-2008.73
24/08/2022 16:00:00,16/06/2023 15:45:23,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,98441.05,5.284,24/08/2022 20:00:00,25/08/2022 12:00:00,25/08/2022 00:00:00,STOP_LOSS_HIT,LONG,21711.0,21338.38,22083.63,21338.38,1.165,1.69,1.75,1968.98,2,1.0,-1968.92
