Open,Last update,Platform,Symbol,Timeframe,Account balance at open,Size,Expected close,Expiry,Close,Status,Side,Opening price,Closing price,Take profit,Stop loss,Leverage,TP price %,SL price %,Expected profit,Risk %,R/R ratio,PnL,Fee %,Fee Amount,Order Type
09/07/2019 00:00:00,17/06/2023 03:50:16,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,200.0,0.006,10/07/2019 12:00:00,10/07/2019 20:00:00,10/07/2019 16:00:00,STOP_LOSS_HIT,LONG,12680.0,12018.25,13341.75,12018.25,0.38,4.96,5.51,3.91,2,1.0,-4.03,0.075,0.05705999999999999,TAKER
08/01/2021 04:00:00,17/06/2023 03:50:16,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,195.97,0.002,08/01/2021 12:00:00,10/01/2021 00:00:00,08/01/2021 08:00:00,TAKE_PROFIT_HIT,LONG,38985.0,40645.5,40645.5,37324.5,0.398,4.09,4.45,3.26,2,1.0,3.26,0.075,0.058477499999999995,TAKER
03/02/2021 20:00:00,17/06/2023 03:50:16,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,199.23,0.003,05/02/2021 20:00:00,05/02/2021 16:00:00,04/02/2021 12:00:00,STOP_LOSS_HIT,LONG,37715.0,36446.04,38983.97,36446.04,0.568,3.26,3.48,3.72,2,1.0,-3.89,0.075,0.08485875,TAKER
30/04/2020 12:00:00,17/06/2023 03:50:17,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,195.34,0.01,02/05/2020 12:00:00,02/05/2020 08:00:00,02/05/2020 08:00:00,EXPIRED,LONG,8786.0,8848.0,9185.35,8386.65,0.45,4.35,4.76,3.93,2,1.0,0.55,0.075,0.065895,TAKER
02/06/2020 00:00:00,17/06/2023 03:50:17,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,195.89,0.005,02/06/2020 12:00:00,03/06/2020 20:00:00,02/06/2020 12:00:00,STOP_LOSS_HIT,LONG,10101.0,9379.48,10822.52,9379.48,0.258,6.67,7.69,3.57,2,1.0,-3.65,0.075,0.03787875,TAKER
30/08/2022 12:00:00,17/06/2023 03:50:17,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,192.24,0.004,01/09/2022 00:00:00,01/09/2022 08:00:00,01/09/2022 08:00:00,EXPIRED,LONG,19763.0,20071.0,20623.6,18902.4,0.411,4.17,4.55,3.38,2,1.0,1.17,0.075,0.05928900000000001,TAKER
10/10/2020 16:00:00,17/06/2023 03:50:17,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,193.41,0.008,12/10/2020 16:00:00,12/10/2020 12:00:00,12/10/2020 12:00:00,EXPIRED,LONG,11364.0,11548.0,11864.91,10863.09,0.47,4.22,4.61,3.94,2,1.0,1.4,0.075,0.06818400000000001,TAKER
05/09/2018 08:00:00,17/06/2023 03:50:17,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,194.81,0.01,06/09/2018 12:00:00,07/09/2018 04:00:00,06/09/2018 00:00:00,TAKE_PROFIT_HIT,SHORT,6989.0,6598.95,6598.95,7379.05,0.359,5.91,5.29,3.85,2,1.0,3.85,0.075,0.0524175,TAKER
29/09/2021 12:00:00,17/06/2023 03:50:17,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,198.66,0.003,01/10/2021 12:00:00,01/10/2021 08:00:00,30/09/2021 00:00:00,TAKE_PROFIT_HIT,LONG,41680.0,42948.94,42948.94,40411.07,0.629,2.95,3.14,3.71,2,1.0,3.71,0.075,0.09378,TAKER
03/10/2021 00:00:00,17/06/2023 03:50:17,Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,FOUR_HOUR,202.37,0.002,04/10/2021 12:00:00,04/10/2021 20:00:00,04/10/2021 20:00:00,EXPIRED,SHORT,47900.0,49236.0,45433.15,50366.85,0.473,5.43,4.9,4.86,2,1.0,-2.74,0.075,0.07185,TAKER
