Open,Last update,Platform,Symbol,Timeframe,Account balance at open,Size,Expected close,Expiry,Close,Status,Side,Opening price,Closing price,Take profit,Stop loss,Leverage,TP price %,SL price %,Expected profit,Risk %,R/R ratio,PnL,Fee %,Fee Amount,Order Type
22/03/2023 12:00:00,17/06/2023 14:38:22,Upscale-DUMMY_Gemini_BTCUSD_1h_10_03_23_to_15_06_23.csv,BTC_USD,FOUR_HOUR,200.0,0.004,23/03/2023 12:00:00,24/03/2023 08:00:00,22/03/2023 16:00:00,TAKE_PROFIT_HIT,SHORT,28665.0,27692.27,27692.27,29637.73,0.573,3.51,3.28,3.8,2,1.0,3.8,0.075,0.08599499999999999,TAKER
14/03/2023 04:00:00,17/06/2023 14:38:22,Upscale-DUMMY_Gemini_BTCUSD_1h_10_03_23_to_15_06_23.csv,BTC_USD,FOUR_HOUR,203.8,0.003,15/03/2023 04:00:00,16/03/2023 00:00:00,14/03/2023 12:00:00,TAKE_PROFIT_HIT,LONG,24406.0,25909.4,25909.4,22902.61,0.359,5.8,6.56,4.46,2,1.0,4.46,0.075,0.0549135,TAKER
09/04/2023 20:00:00,17/06/2023 14:38:22,Upscale-DUMMY_Gemini_BTCUSD_1h_10_03_23_to_15_06_23.csv,BTC_USD,FOUR_HOUR,208.26,0.003,10/04/2023 08:00:00,11/04/2023 16:00:00,10/04/2023 20:00:00,TAKE_PROFIT_HIT,LONG,28333.0,29567.29,29567.29,27098.71,0.408,4.17,4.55,3.64,2,1.0,3.64,0.075,0.06374925,TAKER
21/05/2023 20:00:00,17/06/2023 14:38:22,Upscale-DUMMY_Gemini_BTCUSD_1h_10_03_23_to_15_06_23.csv,BTC_USD,FOUR_HOUR,211.9,0.003,23/05/2023 04:00:00,23/05/2023 16:00:00,23/05/2023 16:00:00,EXPIRED,LONG,26756.0,27194.0,28060.86,25451.14,0.379,4.65,5.13,3.85,2,1.0,1.25,0.075,0.060201000000000005,TAKER
21/03/2023 00:00:00,17/06/2023 14:38:23,Upscale-DUMMY_Gemini_BTCUSD_1h_10_03_23_to_15_06_23.csv,BTC_USD,FOUR_HOUR,213.15,0.005,21/03/2023 16:00:00,22/03/2023 20:00:00,22/03/2023 12:00:00,TAKE_PROFIT_HIT,LONG,27864.0,28730.42,28730.42,26997.58,0.654,3.02,3.21,4.23,2,1.0,4.23,0.075,0.10449,TAKER
09/04/2023 20:00:00,17/06/2023 14:38:23,Upscale-DUMMY_Gemini_BTCUSD_1h_10_03_23_to_15_06_23.csv,BTC_USD,FOUR_HOUR,217.38,0.004,10/04/2023 08:00:00,11/04/2023 16:00:00,10/04/2023 20:00:00,TAKE_PROFIT_HIT,LONG,28333.0,29567.29,29567.29,27098.71,0.521,4.17,4.55,4.85,2,1.0,4.85,0.075,0.084999,TAKER
29/04/2023 16:00:00,17/06/2023 14:38:23,Upscale-DUMMY_Gemini_BTCUSD_1h_10_03_23_to_15_06_23.csv,BTC_USD,FOUR_HOUR,222.23,0.005,01/05/2023 16:00:00,01/05/2023 12:00:00,01/05/2023 04:00:00,STOP_LOSS_HIT,LONG,29253.0,28310.15,30195.85,28310.15,0.658,3.12,3.33,4.6,2,1.0,-4.82,0.075,0.10969875,TAKER
14/03/2023 00:00:00,17/06/2023 14:38:23,Upscale-DUMMY_Gemini_BTCUSD_1h_10_03_23_to_15_06_23.csv,BTC_USD,FOUR_HOUR,217.41,0.004,15/03/2023 04:00:00,15/03/2023 20:00:00,14/03/2023 12:00:00,TAKE_PROFIT_HIT,LONG,24509.0,25718.41,25718.41,23299.59,0.451,4.7,5.19,4.76,2,1.0,4.76,0.075,0.073527,TAKER
29/03/2023 16:00:00,17/06/2023 14:38:23,Upscale-DUMMY_Gemini_BTCUSD_1h_10_03_23_to_15_06_23.csv,BTC_USD,FOUR_HOUR,222.17,0.005,31/03/2023 04:00:00,31/03/2023 12:00:00,31/03/2023 04:00:00,STOP_LOSS_HIT,LONG,28416.0,27538.2,29293.8,27538.2,0.64,3.0,3.19,4.28,2,1.0,-4.5,0.075,0.10656,TAKER
14/03/2023 08:00:00,17/06/2023 14:38:23,Upscale-DUMMY_Gemini_BTCUSD_1h_10_03_23_to_15_06_23.csv,BTC_USD,FOUR_HOUR,217.67,0.005,15/03/2023 00:00:00,16/03/2023 04:00:00,14/03/2023 12:00:00,TAKE_PROFIT_HIT,LONG,24852.0,25643.65,25643.65,24060.35,0.571,3.09,3.29,3.87,2,1.0,3.87,0.075,0.093195,TAKER
