Open,Last update,Platform,Symbol,Timeframe,Account balance at open,Size,Expected close,Expiry,Close,Status,Side,Opening price,Closing price,Take profit,Stop loss,Leverage,TP price %,SL price %,Expected profit,Risk %,R/R ratio,PnL,Fee %,Fee Amount,Order Type
13/03/2023 00:00:00,17/06/2023 17:02:00,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,200.0,0.015,14/03/2023 00:00:00,14/03/2023 20:00:00,13/03/2023 08:00:00,STOP_LOSS_HIT,LONG,22472.0,22211.61,23253.17,22211.61,1.685,3.36,1.17,11.46,2,3.1,-4.16,0.075,0.25281,TAKER
04/01/2023 12:00:00,17/06/2023 17:02:01,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,195.84,0.016,06/01/2023 12:00:00,06/01/2023 08:00:00,06/01/2023 08:00:00,EXPIRED,LONG,16846.0,16736.0,17571.93,16604.02,1.376,4.13,1.46,11.41,2,3.1,-1.96,0.075,0.202152,TAKER
18/07/2022 12:00:00,17/06/2023 17:02:01,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,193.88,0.014,19/07/2022 08:00:00,20/07/2022 08:00:00,18/07/2022 16:00:00,STOP_LOSS_HIT,LONG,22694.0,22423.24,23506.27,22423.24,1.639,3.46,1.21,11.13,2,3.1,-4.03,0.075,0.23828700000000003,TAKER
19/07/2022 20:00:00,17/06/2023 17:02:01,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,189.85,0.016,20/07/2022 08:00:00,21/07/2022 16:00:00,20/07/2022 00:00:00,STOP_LOSS_HIT,LONG,23399.0,23154.39,24132.83,23154.39,1.972,3.04,1.06,11.46,2,3.2,-4.19,0.075,0.28078800000000004,TAKER
12/09/2022 16:00:00,17/06/2023 17:02:01,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,185.66,0.01,14/09/2022 00:00:00,14/09/2022 12:00:00,13/09/2022 12:00:00,STOP_LOSS_HIT,LONG,22426.0,22042.16,23577.53,22042.16,1.208,4.88,1.74,11.35,2,3.1,-4.01,0.075,0.16819499999999998,TAKER
04/01/2023 12:00:00,17/06/2023 17:02:02,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,181.65,0.015,06/01/2023 12:00:00,06/01/2023 08:00:00,06/01/2023 08:00:00,EXPIRED,LONG,16846.0,16736.0,17571.93,16604.02,1.391,4.13,1.46,10.7,2,3.1,-1.84,0.075,0.1895175,TAKER
29/04/2023 16:00:00,17/06/2023 17:02:02,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,179.81,0.012,01/05/2023 16:00:00,01/05/2023 12:00:00,01/05/2023 00:00:00,STOP_LOSS_HIT,LONG,29253.0,28945.93,30174.2,28945.93,1.952,3.05,1.06,10.79,2,3.2,-3.95,0.075,0.263277,TAKER
30/08/2022 12:00:00,17/06/2023 17:02:02,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,175.86,0.013,01/09/2022 00:00:00,01/09/2022 08:00:00,01/09/2022 08:00:00,EXPIRED,LONG,19763.0,20071.0,20560.67,19497.11,1.461,3.88,1.36,10.18,2,3.1,3.81,0.075,0.19268925,TAKER
04/12/2022 20:00:00,17/06/2023 17:02:02,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,179.67,0.019,05/12/2022 20:00:00,06/12/2022 16:00:00,05/12/2022 16:00:00,STOP_LOSS_HIT,LONG,17113.0,16928.57,17666.28,16928.57,1.81,3.13,1.09,10.27,2,3.2,-3.75,0.075,0.24386025,TAKER
19/07/2022 04:00:00,17/06/2023 17:02:02,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,175.92,0.012,20/07/2022 16:00:00,21/07/2022 00:00:00,19/07/2022 12:00:00,TAKE_PROFIT_HIT,LONG,21779.0,22658.03,22658.03,21485.99,1.486,3.88,1.36,10.35,2,3.1,10.35,0.075,0.196011,TAKER
