Open,Last update,Platform,Symbol,Timeframe,Account balance at open,Size,Expected close,Expiry,Close,Status,Side,Opening price,Closing price,Take profit,Stop loss,Leverage,TP price %,SL price %,Expected profit,Risk %,R/R ratio,PnL,Fee %,Fee Amount,Order Type
30/03/2023 16:00:00,19/06/2023 17:38:52,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,200.0,0.033,01/04/2023 08:00:00,01/04/2023 12:00:00,30/03/2023 20:00:00,STOP_LOSS_HIT,SHORT,27973.0,28093.75,27731.5,28093.75,4.616,0.87,0.43,7.28,2,2.2,-4.68,0.075,0.69233175,TAKER
03/04/2023 12:00:00,19/06/2023 17:38:52,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,195.32,0.032,05/04/2023 08:00:00,05/04/2023 08:00:00,03/04/2023 16:00:00,STOP_LOSS_HIT,LONG,28065.0,27944.46,28306.08,27944.46,4.598,0.85,0.43,7.04,2,2.2,-4.53,0.075,0.6735599999999999,TAKER
30/08/2022 16:00:00,19/06/2023 17:38:53,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,190.79,0.021,31/08/2022 16:00:00,01/09/2022 12:00:00,30/08/2022 20:00:00,STOP_LOSS_HIT,LONG,19953.0,19769.88,20319.25,19769.88,2.196,1.8,0.93,7.38,2,2.1,-4.16,0.075,0.31425975,TAKER
14/01/2023 12:00:00,19/06/2023 17:38:53,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,186.63,0.014,16/01/2023 12:00:00,16/01/2023 08:00:00,16/01/2023 00:00:00,TAKE_PROFIT_HIT,LONG,20792.0,21343.45,21343.45,20516.28,1.56,2.58,1.34,7.5,2,2.1,7.5,0.075,0.218316,TAKER
19/07/2022 20:00:00,19/06/2023 17:38:53,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,194.13,0.013,20/07/2022 12:00:00,21/07/2022 16:00:00,20/07/2022 00:00:00,STOP_LOSS_HIT,LONG,23399.0,23106.96,23983.08,23106.96,1.567,2.44,1.26,7.36,2,2.1,-4.02,0.075,0.22814025000000002,TAKER
08/12/2022 20:00:00,19/06/2023 17:38:54,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,190.11,0.059,10/12/2022 04:00:00,10/12/2022 16:00:00,09/12/2022 12:00:00,STOP_LOSS_HIT,LONG,17233.0,17168.77,17361.46,17168.77,5.348,0.74,0.37,6.82,2,2.3,-4.55,0.075,0.7625602499999999,TAKER
01/03/2023 08:00:00,19/06/2023 17:38:54,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,185.56,0.029,02/03/2023 08:00:00,03/03/2023 04:00:00,01/03/2023 12:00:00,STOP_LOSS_HIT,SHORT,23740.0,23867.41,23485.19,23867.41,3.71,1.08,0.53,6.87,2,2.2,-4.21,0.075,0.516345,TAKER
16/02/2023 00:00:00,19/06/2023 17:38:54,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,181.35,0.008,16/02/2023 16:00:00,17/02/2023 20:00:00,16/02/2023 20:00:00,STOP_LOSS_HIT,LONG,24741.0,24267.96,25687.09,24267.96,1.091,3.68,1.95,7.42,2,2.0,-3.93,0.075,0.148446,TAKER
06/07/2022 00:00:00,19/06/2023 17:38:54,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,177.42,0.039,06/07/2022 12:00:00,07/07/2022 20:00:00,06/07/2022 04:00:00,TAKE_PROFIT_HIT,LONG,19931.0,20110.74,20110.74,19841.13,4.381,0.89,0.45,6.43,2,2.2,6.43,0.075,0.58298175,TAKER
19/07/2022 20:00:00,19/06/2023 17:38:54,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,183.85,0.013,20/07/2022 12:00:00,21/07/2022 16:00:00,20/07/2022 00:00:00,STOP_LOSS_HIT,LONG,23399.0,23106.96,23983.08,23106.96,1.655,2.44,1.26,7.36,2,2.1,-4.02,0.075,0.22814025000000002,TAKER
