Open,Last update,Platform,Symbol,Timeframe,Account balance at open,Size,Expected close,Expiry,Close,Status,Side,Opening price,Closing price,Take profit,Stop loss,Leverage,TP price %,SL price %,Expected profit,Risk %,R/R ratio,PnL
22/12/2019 23:00:00,15/06/2023 18:52:18,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,100000.0,18.243,23/12/2019 03:00:00,23/12/2019 02:00:00,23/12/2019 02:00:00,EXPIRED,LONG,7513.0,7568.0,7841.88,7403.37,1.371,4.19,1.48,5999.76,2,3.0,1003.36
05/05/2018 13:00:00,15/06/2023 18:52:18,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,101003.36,16.071,05/05/2018 14:00:00,05/05/2018 16:00:00,05/05/2018 16:00:00,EXPIRED,LONG,9879.0,9888.0,10256.11,9753.3,1.572,3.68,1.29,6060.53,2,3.0,144.64
04/02/2020 05:00:00,15/06/2023 18:52:18,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,101148.0,38.393,04/02/2020 07:00:00,04/02/2020 08:00:00,04/02/2020 08:00:00,EXPIRED,SHORT,9262.0,9227.0,9103.93,9314.69,3.516,1.74,0.57,6068.78,2,3.0,1343.76
09/10/2019 18:00:00,15/06/2023 18:52:18,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,102491.76,14.507,09/10/2019 19:00:00,09/10/2019 21:00:00,09/10/2019 21:00:00,EXPIRED,LONG,8618.0,8565.0,9041.91,8476.7,1.22,4.69,1.67,6149.66,2,3.0,-768.87
27/09/2018 16:00:00,15/06/2023 18:52:18,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,101722.89,24.339,27/09/2018 17:00:00,27/09/2018 19:00:00,27/09/2018 19:00:00,EXPIRED,LONG,6493.0,6657.0,6743.78,6409.41,1.554,3.72,1.3,6103.73,2,3.0,3991.6
23/07/2019 18:00:00,15/06/2023 18:52:18,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,105714.49,12.268,23/07/2019 19:00:00,23/07/2019 21:00:00,23/07/2019 21:00:00,EXPIRED,LONG,10092.0,10126.0,10609.01,9919.66,1.171,4.87,1.74,6342.68,2,3.0,417.11
30/08/2019 12:00:00,15/06/2023 18:52:18,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,106131.6,19.173,30/08/2019 13:00:00,30/08/2019 15:00:00,30/08/2019 15:00:00,EXPIRED,LONG,9587.0,9589.0,9919.12,9476.29,1.732,3.35,1.17,6367.74,2,3.0,38.35
13/05/2018 19:00:00,15/06/2023 18:52:18,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,106169.95,17.365,13/05/2018 21:00:00,13/05/2018 22:00:00,13/05/2018 21:00:00,STOP_LOSS_HIT,SHORT,8627.0,8749.28,8260.16,8749.28,1.411,4.44,1.4,6370.18,2,3.0,-2123.39
15/12/2021 03:00:00,15/06/2023 18:52:18,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,104046.56,7.501,15/12/2021 04:00:00,15/12/2021 06:00:00,15/12/2021 06:00:00,EXPIRED,LONG,48281.0,48085.0,49113.26,48003.58,3.481,1.69,0.58,6242.78,2,3.0,-1470.2
05/12/2019 15:00:00,15/06/2023 18:52:18,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,102576.36,52.793,05/12/2019 17:00:00,05/12/2019 18:00:00,05/12/2019 16:00:00,STOP_LOSS_HIT,LONG,7342.0,7303.14,7458.57,7303.14,3.779,1.56,0.53,6154.08,2,3.0,-2051.54
