Open,Last update,Platform,Symbol,Timeframe,Account balance at open,Size,Expected close,Expiry,Close,Status,Side,Opening price,Closing price,Take profit,Stop loss,Leverage,TP price %,SL price %,Expected profit,Risk %,R/R ratio,PnL
28/02/2020 02:00:00,15/06/2023 18:59:40,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,100000.0,11.18,28/02/2020 03:00:00,28/02/2020 05:00:00,28/02/2020 05:00:00,EXPIRED,LONG,8872.0,8788.0,9408.68,8693.11,0.992,5.7,2.06,6000.08,2,3.0,-939.12
04/07/2022 22:00:00,15/06/2023 18:59:40,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,99060.88,17.756,05/07/2022 02:00:00,05/07/2022 01:00:00,05/07/2022 01:00:00,EXPIRED,LONG,20147.0,20280.0,20481.75,20035.42,3.611,1.63,0.56,5943.82,2,3.0,2361.55
19/05/2022 21:00:00,15/06/2023 18:59:40,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,101422.43,11.551,19/05/2022 22:00:00,20/05/2022 00:00:00,20/05/2022 00:00:00,EXPIRED,LONG,30240.0,30230.0,30766.85,30064.39,3.444,1.71,0.58,6085.64,2,3.0,-115.51
31/07/2022 16:00:00,15/06/2023 18:59:40,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,101306.92,4.869,31/07/2022 18:00:00,31/07/2022 19:00:00,31/07/2022 19:00:00,EXPIRED,LONG,23777.0,23846.0,25025.42,23360.86,1.143,4.99,1.78,6078.56,2,3.0,335.96
29/07/2019 03:00:00,15/06/2023 18:59:40,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,101642.88,35.478,29/07/2019 07:00:00,29/07/2019 06:00:00,29/07/2019 06:00:00,EXPIRED,SHORT,9623.0,9589.0,9451.11,9680.3,3.359,1.82,0.59,6098.31,2,3.0,1206.25
01/02/2021 02:00:00,15/06/2023 18:59:40,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,102849.13,11.835,01/02/2021 06:00:00,01/02/2021 05:00:00,01/02/2021 04:00:00,STOP_LOSS_HIT,SHORT,33690.0,33863.8,33168.6,33863.8,3.877,1.57,0.51,6170.77,2,3.0,-2056.92
12/11/2019 09:00:00,15/06/2023 18:59:40,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,100792.21,23.605,12/11/2019 10:00:00,12/11/2019 12:00:00,12/11/2019 12:00:00,STOP_LOSS_HIT,LONG,8750.0,8664.6,9006.21,8664.6,2.049,2.84,0.99,6047.84,2,3.0,-2015.87
09/02/2022 14:00:00,15/06/2023 18:59:40,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,98776.34,2.496,09/02/2022 15:00:00,09/02/2022 17:00:00,09/02/2022 17:00:00,EXPIRED,LONG,44166.0,44111.0,46540.64,43374.46,1.116,5.1,1.82,5927.1,2,3.0,-137.28
03/06/2021 09:00:00,15/06/2023 18:59:40,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,98639.06,9.401,03/06/2021 11:00:00,03/06/2021 12:00:00,03/06/2021 10:00:00,STOP_LOSS_HIT,SHORT,39135.0,39344.85,38505.45,39344.85,3.73,1.63,0.53,5918.4,2,3.0,-1972.8
10/03/2020 05:00:00,15/06/2023 18:59:40,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,96666.26,28.821,10/03/2020 09:00:00,10/03/2020 08:00:00,10/03/2020 07:00:00,STOP_LOSS_HIT,LONG,7938.0,7870.92,8139.23,7870.92,2.367,2.47,0.85,5799.65,2,3.0,-1933.31
07/07/2020 14:00:00,15/06/2023 18:59:40,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,94732.95,14.847,07/07/2020 15:00:00,07/07/2020 17:00:00,07/07/2020 17:00:00,EXPIRED,LONG,9256.0,9285.0,9638.83,9128.39,1.451,3.97,1.4,5683.88,2,3.0,430.56
05/04/2019 05:00:00,15/06/2023 18:59:41,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,95163.51,77.875,05/04/2019 07:00:00,05/04/2019 08:00:00,05/04/2019 06:00:00,STOP_LOSS_HIT,LONG,4980.0,4955.56,5053.32,4955.56,4.075,1.45,0.49,5709.79,2,3.0,-1903.26
21/05/2022 00:00:00,15/06/2023 18:59:41,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,93260.25,7.428,21/05/2022 01:00:00,21/05/2022 03:00:00,21/05/2022 01:00:00,STOP_LOSS_HIT,LONG,29244.0,28992.89,29997.34,28992.89,2.329,2.51,0.87,5595.81,2,3.0,-1865.25
02/01/2022 15:00:00,15/06/2023 18:59:41,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,91395.0,2.546,02/01/2022 16:00:00,02/01/2022 18:00:00,02/01/2022 18:00:00,EXPIRED,LONG,47357.0,47078.0,49510.85,46639.05,1.319,4.35,1.54,5483.7,2,3.0,-710.33
29/06/2021 03:00:00,15/06/2023 18:59:41,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,90684.67,3.094,29/06/2021 04:00:00,29/06/2021 06:00:00,29/06/2021 06:00:00,EXPIRED,LONG,34592.0,35312.0,36350.41,34005.86,1.18,4.84,1.72,5440.52,2,3.0,2227.68
06/06/2019 05:00:00,15/06/2023 18:59:41,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,92912.35,42.465,06/06/2019 08:00:00,06/06/2019 08:00:00,06/06/2019 08:00:00,STOP_LOSS_HIT,LONG,7793.0,7749.24,7924.29,7749.24,3.562,1.66,0.56,5575.23,2,3.0,-1858.27
27/01/2021 20:00:00,15/06/2023 18:59:41,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,91054.08,6.451,27/01/2021 21:00:00,27/01/2021 23:00:00,27/01/2021 21:00:00,STOP_LOSS_HIT,LONG,31580.0,31297.69,32426.94,31297.69,2.237,2.61,0.9,5463.61,2,3.0,-1821.18
18/07/2019 03:00:00,15/06/2023 18:59:41,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,89232.9,32.383,18/07/2019 05:00:00,18/07/2019 06:00:00,18/07/2019 04:00:00,TAKE_PROFIT_HIT,LONG,9734.0,9899.33,9899.33,9678.89,3.533,1.67,0.57,5353.88,2,3.0,5353.88
28/04/2018 09:00:00,15/06/2023 18:59:41,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,94586.78,37.956,28/04/2018 13:00:00,28/04/2018 12:00:00,28/04/2018 11:00:00,STOP_LOSS_HIT,LONG,9265.0,9215.16,9414.51,9215.16,3.718,1.59,0.54,5674.8,2,3.0,-1891.73
28/02/2023 05:00:00,15/06/2023 18:59:41,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,92695.05,11.122,28/02/2023 06:00:00,28/02/2023 08:00:00,28/02/2023 08:00:00,EXPIRED,LONG,23376.0,23291.0,23876.07,23209.31,2.805,2.09,0.72,5561.78,2,3.0,-945.37
19/01/2022 12:00:00,15/06/2023 18:59:41,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,91749.68,2.964,19/01/2022 13:00:00,19/01/2022 15:00:00,19/01/2022 15:00:00,EXPIRED,LONG,42120.0,42004.0,43977.43,41500.86,1.361,4.22,1.49,5505.42,2,3.0,-343.82
29/04/2018 04:00:00,15/06/2023 18:59:41,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,91405.86,18.511,29/04/2018 06:00:00,29/04/2018 07:00:00,29/04/2018 05:00:00,STOP_LOSS_HIT,LONG,9448.0,9349.24,9744.27,9349.24,1.913,3.04,1.06,5484.25,2,3.0,-1828.15
09/12/2022 03:00:00,15/06/2023 18:59:41,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,89577.71,6.052,09/12/2022 04:00:00,09/12/2022 06:00:00,09/12/2022 06:00:00,EXPIRED,LONG,17201.0,17225.0,18089.15,16904.95,1.162,4.91,1.75,5375.08,2,3.0,145.25
02/09/2021 23:00:00,15/06/2023 18:59:41,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,89722.96,4.496,03/09/2021 00:00:00,03/09/2021 02:00:00,03/09/2021 00:00:00,STOP_LOSS_HIT,LONG,49287.0,48887.87,50484.4,48887.87,2.47,2.37,0.82,5383.51,2,3.0,-1794.49
15/10/2018 23:00:00,15/06/2023 18:59:41,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,87928.47,54.529,16/10/2018 03:00:00,16/10/2018 02:00:00,16/10/2018 02:00:00,EXPIRED,SHORT,6436.0,6435.0,6339.27,6468.25,3.991,1.53,0.5,5274.59,2,3.0,54.53
