Open,Last update,Platform,Symbol,Timeframe,Account balance at open,Size,Expected close,Expiry,Close,Status,Side,Opening price,Closing price,Take profit,Stop loss,Leverage,TP price %,SL price %,Expected profit,Risk %,R/R ratio,PnL
15/03/2018 11:00:00,16/06/2023 16:10:19,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,100.0,0.01,15/03/2018 12:00:00,15/03/2018 14:00:00,15/03/2018 14:00:00,EXPIRED,LONG,8246.0,8300.0,8856.82,8042.4,0.825,6.9,2.53,6.11,2,3.0,0.54
01/05/2020 00:00:00,16/06/2023 16:10:19,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,100.54,0.029,01/05/2020 02:00:00,01/05/2020 03:00:00,01/05/2020 03:00:00,EXPIRED,LONG,8703.0,8670.0,8912.51,8633.17,2.51,2.35,0.81,6.08,2,3.0,-0.96
28/08/2019 13:00:00,16/06/2023 16:10:19,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,99.58,0.02,28/08/2019 15:00:00,28/08/2019 16:00:00,28/08/2019 16:00:00,EXPIRED,LONG,10181.0,10226.0,10479.15,10081.62,2.045,2.85,0.99,5.96,2,3.0,0.9
31/08/2018 02:00:00,16/06/2023 16:10:19,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,100.48,0.019,31/08/2018 06:00:00,31/08/2018 05:00:00,31/08/2018 05:00:00,EXPIRED,LONG,6947.0,6986.0,7257.38,6843.54,1.314,4.28,1.51,5.9,2,3.0,0.74
01/08/2020 18:00:00,16/06/2023 16:10:19,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,101.22,0.006,01/08/2020 19:00:00,01/08/2020 21:00:00,01/08/2020 21:00:00,EXPIRED,LONG,11697.0,11785.0,12687.48,11366.84,0.693,7.81,2.9,5.94,2,3.0,0.53
20/01/2021 19:00:00,16/06/2023 16:10:19,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,101.75,0.003,20/01/2021 20:00:00,20/01/2021 22:00:00,20/01/2021 21:00:00,STOP_LOSS_HIT,LONG,35207.0,34541.56,37203.33,34541.56,1.038,5.37,1.93,5.99,2,3.0,-2.0
13/05/2022 05:00:00,16/06/2023 16:10:19,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,99.75,0.005,13/05/2022 07:00:00,13/05/2022 08:00:00,13/05/2022 08:00:00,EXPIRED,LONG,30432.0,30272.0,31541.25,30062.25,1.525,3.52,1.23,5.55,2,3.0,-0.8
31/07/2021 21:00:00,16/06/2023 16:10:19,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,98.95,0.002,01/08/2021 01:00:00,01/08/2021 00:00:00,01/08/2021 00:00:00,EXPIRED,LONG,41996.0,41746.0,45197.94,40928.69,0.849,7.08,2.61,6.4,2,3.0,-0.5
16/10/2018 01:00:00,16/06/2023 16:10:19,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,98.45,0.017,16/10/2018 02:00:00,16/10/2018 04:00:00,16/10/2018 04:00:00,EXPIRED,LONG,6430.0,6421.0,6785.19,6311.6,1.11,5.23,1.88,6.04,2,3.0,-0.15
08/10/2019 13:00:00,16/06/2023 16:10:19,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,98.3,0.02,08/10/2019 14:00:00,08/10/2019 16:00:00,08/10/2019 16:00:00,EXPIRED,SHORT,8211.0,8176.0,7915.28,8309.57,1.671,3.74,1.19,5.91,2,3.0,0.7
