Open,Last update,Platform,Symbol,Timeframe,Account balance at open,Size,Expected close,Expiry,Close,Status,Side,Opening price,Closing price,Take profit,Stop loss,Leverage,TP price %,SL price %,Expected profit,Risk %,R/R ratio,PnL,Fee %,Fee Amount,Order Type
10/02/2018 08:00:00,16/06/2023 22:07:01,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,100.0,0.009,10/02/2018 09:00:00,10/02/2018 15:00:00,10/02/2018 15:00:00,STOP_LOSS_HIT,LONG,8688.0,8464.6,9358.22,8464.6,0.782,7.16,2.64,6.03,2,3.0,-2.01,0.0,0.0,TAKER
16/12/2019 11:00:00,16/06/2023 22:07:01,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,97.99,0.032,16/12/2019 15:00:00,16/12/2019 18:00:00,16/12/2019 18:00:00,STOP_LOSS_HIT,LONG,7082.0,7020.89,7265.34,7020.89,2.313,2.52,0.87,5.87,2,3.0,-1.96,0.0,0.0,TAKER
20/12/2022 09:00:00,16/06/2023 22:07:01,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,96.03,0.009,20/12/2022 14:00:00,20/12/2022 16:00:00,20/12/2022 16:00:00,EXPIRED,SHORT,16810.0,16905.0,16136.61,17034.46,1.575,4.17,1.32,6.06,2,3.0,-0.85,0.0,0.0,TAKER
22/05/2021 10:00:00,16/06/2023 22:07:01,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,95.18,0.002,22/05/2021 11:00:00,22/05/2021 17:00:00,22/05/2021 14:00:00,STOP_LOSS_HIT,LONG,38388.0,37568.6,40846.22,37568.6,0.807,6.02,2.18,4.92,2,3.0,-1.64,0.0,0.0,TAKER
24/12/2021 01:00:00,16/06/2023 22:07:01,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,93.54,0.002,24/12/2021 08:00:00,24/12/2021 08:00:00,24/12/2021 08:00:00,EXPIRED,LONG,51371.0,51108.0,53697.96,50595.35,1.098,4.33,1.53,4.65,2,3.0,-0.53,0.0,0.0,TAKER
09/01/2018 16:00:00,16/06/2023 22:07:01,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,93.01,0.007,09/01/2018 20:00:00,09/01/2018 23:00:00,09/01/2018 23:00:00,EXPIRED,SHORT,14967.0,14478.0,14135.48,15244.17,1.126,5.88,1.82,5.82,2,3.0,3.42,0.0,0.0,TAKER
13/02/2022 07:00:00,16/06/2023 22:07:01,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,96.43,0.002,13/02/2022 10:00:00,13/02/2022 14:00:00,13/02/2022 14:00:00,EXPIRED,LONG,42446.0,42559.0,45295.9,41496.03,0.88,6.29,2.29,5.7,2,3.0,0.23,0.0,0.0,TAKER
17/05/2018 01:00:00,16/06/2023 22:07:01,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,96.66,0.007,17/05/2018 02:00:00,17/05/2018 08:00:00,17/05/2018 08:00:00,EXPIRED,LONG,8370.0,8260.0,9189.06,8096.98,0.606,8.91,3.37,5.73,2,3.0,-0.77,0.0,0.0,TAKER
20/02/2018 15:00:00,16/06/2023 22:07:01,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,95.89,0.007,20/02/2018 17:00:00,20/02/2018 22:00:00,20/02/2018 22:00:00,STOP_LOSS_HIT,LONG,11508.0,11244.59,12298.24,11244.59,0.84,6.43,2.34,5.53,2,3.0,-1.84,0.0,0.0,TAKER
22/05/2021 12:00:00,16/06/2023 22:07:01,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,94.05,0.002,22/05/2021 13:00:00,22/05/2021 19:00:00,22/05/2021 19:00:00,EXPIRED,LONG,38205.0,37372.0,41961.4,36952.87,0.812,8.95,3.39,7.51,3,3.0,-1.67,0.0,0.0,TAKER
