Open,Last update,Platform,Symbol,Timeframe,Account balance at open,Size,Expected close,Expiry,Close,Status,Side,Opening price,Closing price,Take profit,Stop loss,Leverage,TP price %,SL price %,Expected profit,Risk %,R/R ratio,PnL,Fee %,Fee Amount,Order Type
18/07/2022 11:00:00,17/06/2023 09:27:34,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,200.0,0.013,18/07/2022 17:00:00,18/07/2022 18:00:00,18/07/2022 18:00:00,STOP_LOSS_HIT,LONG,22128.0,21830.69,23019.95,21830.69,1.438,3.87,1.36,11.38,2,3.1,-4.08,0.075,0.215748,TAKER
02/03/2019 20:00:00,17/06/2023 09:27:34,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,195.92,0.039,03/03/2019 01:00:00,03/03/2019 03:00:00,03/03/2019 03:00:00,EXPIRED,LONG,3802.0,3810.0,4102.74,3701.75,0.757,7.33,2.71,11.62,2,3.1,0.2,0.075,0.11120849999999999,TAKER
31/08/2020 17:00:00,17/06/2023 09:27:34,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,196.12,0.027,31/08/2020 21:00:00,01/09/2020 00:00:00,01/09/2020 00:00:00,STOP_LOSS_HIT,LONG,11713.0,11567.44,12149.68,11567.44,1.613,3.59,1.26,11.55,2,3.1,-4.17,0.075,0.23718825,TAKER
08/09/2020 04:00:00,17/06/2023 09:27:34,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,191.95,0.021,08/09/2020 09:00:00,08/09/2020 11:00:00,08/09/2020 11:00:00,EXPIRED,SHORT,10267.0,9987.0,9728.71,10446.43,1.123,5.53,1.72,11.14,2,3.1,5.72,0.075,0.16170524999999997,TAKER
25/07/2019 04:00:00,17/06/2023 09:27:34,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,197.67,0.032,25/07/2019 11:00:00,25/07/2019 11:00:00,25/07/2019 11:00:00,EXPIRED,SHORT,10065.0,10100.0,9699.26,10186.91,1.629,3.77,1.2,11.46,2,3.1,-1.36,0.075,0.24156,TAKER
28/11/2018 01:00:00,17/06/2023 09:27:34,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,196.31,0.053,28/11/2018 08:00:00,28/11/2018 08:00:00,28/11/2018 04:00:00,TAKE_PROFIT_HIT,LONG,3799.0,4021.83,4021.83,3724.72,1.026,5.54,1.99,11.66,2,3.1,11.66,0.075,0.15101025,TAKER
26/01/2022 13:00:00,17/06/2023 09:27:34,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,207.97,0.009,26/01/2022 18:00:00,26/01/2022 20:00:00,26/01/2022 18:00:00,STOP_LOSS_HIT,LONG,38247.0,37759.88,39708.37,37759.88,1.655,3.68,1.29,12.89,2,3.1,-4.64,0.075,0.25816724999999996,TAKER
25/02/2018 06:00:00,17/06/2023 09:27:34,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,203.33,0.028,25/02/2018 09:00:00,25/02/2018 13:00:00,25/02/2018 08:00:00,STOP_LOSS_HIT,LONG,9798.0,9654.08,10229.77,9654.08,1.349,4.22,1.49,11.88,2,3.1,-4.24,0.075,0.20575799999999997,TAKER
03/05/2020 11:00:00,17/06/2023 09:27:34,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,199.09,0.024,03/05/2020 19:00:00,03/05/2020 18:00:00,03/05/2020 12:00:00,STOP_LOSS_HIT,LONG,9047.0,8882.44,9540.67,8882.44,1.091,5.17,1.85,11.69,2,3.1,-4.11,0.075,0.16284600000000002,TAKER
19/09/2022 15:00:00,17/06/2023 09:27:34,Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,HOUR,194.98,0.016,19/09/2022 21:00:00,19/09/2022 22:00:00,19/09/2022 22:00:00,EXPIRED,LONG,19087.0,19625.0,19819.05,18842.99,1.566,3.69,1.29,11.48,2,3.1,8.38,0.075,0.229044,TAKER
