Open,Last update,Platform,Symbol,Timeframe,Account balance at open,Size,Expected close,Expiry,Close,Status,Side,Opening price,Closing price,Take profit,Stop loss,Leverage,TP price %,SL price %,Expected profit,Risk %,R/R ratio,PnL,Fee %,Fee Amount,Order Type
03/12/2022 20:00:00,18/06/2023 14:56:56,DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,HOUR,200.0,0.012,04/12/2022 00:00:00,04/12/2022 03:00:00,04/12/2022 03:00:00,EXPIRED,LONG,16997.0,16962.0,17974.97,16671.01,1.02,5.44,1.96,11.58,2,3.1,-0.57,0.075,0.152973,TAKER
19/01/2023 10:00:00,18/06/2023 14:56:56,DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,HOUR,199.43,0.011,19/01/2023 15:00:00,19/01/2023 17:00:00,19/01/2023 17:00:00,EXPIRED,LONG,20783.0,20837.0,21854.48,20425.84,1.146,4.9,1.75,11.61,2,3.1,0.42,0.075,0.17145975,TAKER
12/12/2022 20:00:00,18/06/2023 14:56:56,DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,HOUR,199.85,0.014,13/12/2022 01:00:00,13/12/2022 03:00:00,13/12/2022 03:00:00,EXPIRED,LONG,17119.0,17158.0,17953.92,16840.69,1.199,4.65,1.65,11.51,2,3.1,0.37,0.075,0.1797495,TAKER
22/12/2022 14:00:00,18/06/2023 14:56:56,DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,HOUR,200.22,0.015,22/12/2022 18:00:00,22/12/2022 21:00:00,22/12/2022 21:00:00,EXPIRED,LONG,16672.0,16794.0,17477.97,16403.34,1.249,4.61,1.64,11.9,2,3.1,1.64,0.075,0.18755999999999998,TAKER
12/02/2023 04:00:00,18/06/2023 14:56:56,DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,HOUR,201.86,0.012,12/02/2023 08:00:00,12/02/2023 11:00:00,12/02/2023 11:00:00,EXPIRED,LONG,21781.0,21902.0,22833.96,21430.02,1.295,4.61,1.64,12.44,2,3.1,1.26,0.075,0.196029,TAKER
21/03/2023 16:00:00,18/06/2023 14:56:56,DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,HOUR,203.12,0.009,21/03/2023 20:00:00,21/03/2023 23:00:00,21/03/2023 23:00:00,EXPIRED,LONG,28427.0,28209.0,29825.61,27960.8,1.26,4.69,1.67,12.4,2,3.1,-2.15,0.075,0.19188225,TAKER
15/02/2023 14:00:00,18/06/2023 14:56:56,DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,HOUR,200.97,0.007,15/02/2023 17:00:00,15/02/2023 21:00:00,15/02/2023 21:00:00,EXPIRED,LONG,22694.0,24180.0,24392.73,22127.76,0.79,6.96,2.56,11.77,2,3.1,10.28,0.075,0.11914350000000001,TAKER
22/12/2022 14:00:00,18/06/2023 14:56:56,DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,HOUR,211.25,0.016,22/12/2022 18:00:00,22/12/2022 21:00:00,22/12/2022 21:00:00,EXPIRED,LONG,16672.0,16794.0,17477.97,16403.34,1.263,4.61,1.64,12.7,2,3.1,1.75,0.075,0.200064,TAKER
29/11/2022 06:00:00,18/06/2023 14:56:56,DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,HOUR,213.0,0.015,29/11/2022 13:00:00,29/11/2022 13:00:00,29/11/2022 13:00:00,EXPIRED,LONG,16461.0,16401.0,17290.99,16184.34,1.159,4.8,1.71,12.26,2,3.1,-1.09,0.075,0.18518625,TAKER
26/12/2022 22:00:00,18/06/2023 14:56:56,DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,HOUR,211.91,0.018,27/12/2022 05:00:00,27/12/2022 05:00:00,27/12/2022 05:00:00,EXPIRED,SHORT,16843.0,16866.0,16118.27,17084.58,1.431,4.5,1.41,12.82,2,3.1,-0.64,0.075,0.22738049999999999,TAKER
