Open,Last update,Platform,Symbol,Timeframe,Account balance at open,Size,Expected close,Expiry,Close,Status,Side,Opening price,Closing price,Take profit,Stop loss,Leverage,TP price %,SL price %,Expected profit,Risk %,R/R ratio,PnL,Fee %,Fee Amount,Order Type
05/10/2021 11:00:00,18/06/2023 10:56:18,Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,HOUR,200.0,0.003,05/10/2021 16:00:00,05/10/2021 18:00:00,05/10/2021 18:00:00,EXPIRED,LONG,49913.0,50653.0,51422.59,48403.42,0.749,2.94,3.12,4.42,2,1.0,2.11,0.075,0.11230425000000001,TAKER
10/12/2021 12:00:00,18/06/2023 10:56:19,Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,HOUR,202.11,0.003,10/12/2021 19:00:00,10/12/2021 19:00:00,10/12/2021 19:00:00,EXPIRED,LONG,49079.0,49094.0,50591.16,47566.85,0.728,2.99,3.18,4.43,2,1.0,-0.07,0.075,0.11042774999999999,TAKER
03/05/2018 09:00:00,18/06/2023 10:56:19,Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,HOUR,202.04,0.013,03/05/2018 17:00:00,03/05/2018 16:00:00,03/05/2018 16:00:00,TAKE_PROFIT_HIT,LONG,9179.0,9499.9,9499.9,8858.1,0.591,3.38,3.62,4.08,2,1.0,4.08,0.075,0.08949525,TAKER
17/03/2021 20:00:00,18/06/2023 10:56:20,Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,HOUR,206.12,0.002,18/03/2021 00:00:00,18/03/2021 03:00:00,18/03/2021 00:00:00,TAKE_PROFIT_HIT,LONG,57777.0,59545.45,59545.45,56008.55,0.561,2.97,3.16,3.45,2,1.0,3.45,0.075,0.08666549999999999,TAKER
29/01/2021 03:00:00,18/06/2023 10:56:21,Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,HOUR,209.57,0.004,29/01/2021 11:00:00,29/01/2021 10:00:00,29/01/2021 06:00:00,STOP_LOSS_HIT,LONG,33864.0,32766.91,34961.09,32766.91,0.646,3.14,3.35,4.29,2,1.0,-4.49,0.075,0.10159199999999999,TAKER
01/04/2019 23:00:00,18/06/2023 10:56:22,Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,HOUR,205.08,0.024,02/04/2019 05:00:00,02/04/2019 06:00:00,02/04/2019 04:00:00,TAKE_PROFIT_HIT,LONG,4137.0,4310.22,4310.22,3963.78,0.484,4.02,4.37,4.08,2,1.0,4.08,0.075,0.07446599999999999,TAKER
24/02/2019 12:00:00,18/06/2023 10:56:23,Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,HOUR,209.16,0.031,24/02/2019 20:00:00,24/02/2019 19:00:00,24/02/2019 14:00:00,TAKE_PROFIT_HIT,SHORT,4109.0,3972.04,3972.04,4245.96,0.609,3.45,3.23,4.15,2,1.0,4.15,0.075,0.09553425,TAKER
21/06/2019 23:00:00,18/06/2023 10:56:23,Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,HOUR,213.31,0.012,22/06/2019 07:00:00,22/06/2019 06:00:00,22/06/2019 02:00:00,TAKE_PROFIT_HIT,LONG,10234.0,10581.34,10581.34,9886.67,0.576,3.28,3.51,4.08,2,1.0,4.08,0.075,0.092106,TAKER
26/01/2018 03:00:00,18/06/2023 10:56:24,Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,HOUR,217.39,0.011,26/01/2018 10:00:00,26/01/2018 10:00:00,26/01/2018 07:00:00,TAKE_PROFIT_HIT,SHORT,11540.0,11135.76,11135.76,11944.25,0.584,3.63,3.38,4.35,2,1.0,4.35,0.075,0.095205,TAKER
20/03/2020 05:00:00,18/06/2023 10:56:25,Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,HOUR,221.74,0.017,20/03/2020 11:00:00,20/03/2020 12:00:00,20/03/2020 08:00:00,TAKE_PROFIT_HIT,LONG,6231.0,6485.34,6485.34,5976.66,0.478,3.92,4.26,4.24,2,1.0,4.24,0.075,0.07944525000000001,TAKER
