Open,Last update,Platform,Symbol,Timeframe,Account balance at open,Size,Expected close,Expiry,Close,Status,Side,Opening price,Closing price,Take profit,Stop loss,Leverage,TP price %,SL price %,Expected profit,Risk %,R/R ratio,PnL
04/11/2018 00:00:00,15/06/2023 18:52:25,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,100000.0,13.923,25/11/2018 00:00:00,25/11/2018 00:00:00,11/11/2018 00:00:00,TAKE_PROFIT_HIT,SHORT,6350.0,5919.04,5919.04,6493.65,0.884,7.28,2.21,6000.26,2,3.0,6000.26
14/03/2021 03:00:00,15/06/2023 18:52:25,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,106000.26,0.624,11/04/2021 03:00:00,04/04/2021 03:00:00,21/03/2021 03:00:00,STOP_LOSS_HIT,LONG,57642.0,54242.59,67840.24,54242.59,0.339,15.03,6.27,6363.7,2,3.0,-2121.23
24/04/2022 03:00:00,15/06/2023 18:52:25,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,103879.03,4.57,22/05/2022 03:00:00,15/05/2022 03:00:00,01/05/2022 03:00:00,STOP_LOSS_HIT,SHORT,37827.0,38281.59,36463.23,38281.59,1.664,3.74,1.19,6232.43,2,3.0,-2077.48
28/10/2018 00:00:00,15/06/2023 18:52:25,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,101801.55,12.256,25/11/2018 00:00:00,18/11/2018 00:00:00,04/11/2018 00:00:00,STOP_LOSS_HIT,SHORT,6332.0,6498.12,5833.65,6498.12,0.762,8.54,2.56,6107.78,2,3.0,-2035.97
03/01/2021 03:00:00,15/06/2023 18:52:25,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,99765.58,0.844,31/01/2021 03:00:00,24/01/2021 03:00:00,10/01/2021 03:00:00,STOP_LOSS_HIT,LONG,41092.0,38727.97,48184.1,38727.97,0.348,14.72,6.1,5985.73,2,3.0,-1995.24
24/07/2022 03:00:00,15/06/2023 18:52:25,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,97770.34,12.294,14/08/2022 03:00:00,14/08/2022 03:00:00,31/07/2022 03:00:00,STOP_LOSS_HIT,LONG,23806.0,23646.95,24283.15,23646.95,2.993,1.96,0.67,5866.08,2,3.0,-1955.36
22/01/2023 03:00:00,15/06/2023 18:52:25,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,95814.98,1.6,19/02/2023 03:00:00,12/02/2023 03:00:00,05/02/2023 03:00:00,STOP_LOSS_HIT,LONG,23148.0,21950.34,26741.0,21950.34,0.387,13.44,5.46,5748.8,2,3.0,-1916.26
03/02/2019 00:00:00,15/06/2023 18:52:25,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,93898.72,59.922,24/02/2019 00:00:00,24/02/2019 00:00:00,10/02/2019 00:00:00,STOP_LOSS_HIT,LONG,3624.0,3592.66,3718.01,3592.66,2.313,2.53,0.87,5633.27,2,3.0,-1877.96
10/06/2018 00:00:00,15/06/2023 18:52:25,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,92020.76,38.984,24/06/2018 00:00:00,01/07/2018 00:00:00,17/06/2018 00:00:00,STOP_LOSS_HIT,SHORT,6487.0,6534.21,6345.36,6534.21,2.748,2.23,0.72,5521.69,2,3.0,-1840.43
15/04/2018 00:00:00,15/06/2023 18:52:25,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,90180.33,16.382,06/05/2018 00:00:00,06/05/2018 00:00:00,22/04/2018 00:00:00,STOP_LOSS_HIT,LONG,8920.0,8809.9,9250.3,8809.9,1.62,3.57,1.25,5410.97,2,3.0,-1803.66
03/05/2020 03:00:00,15/06/2023 18:52:25,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,88376.67,3.329,31/05/2020 03:00:00,24/05/2020 03:00:00,24/05/2020 03:00:00,EXPIRED,LONG,8672.0,9642.0,10264.91,8141.03,0.327,15.52,6.52,5302.8,2,3.0,3229.13
