Open,Last update,Platform,Symbol,Timeframe,Account balance at open,Size,Expected close,Expiry,Close,Status,Side,Opening price,Closing price,Take profit,Stop loss,Leverage,TP price %,SL price %,Expected profit,Risk %,R/R ratio,PnL,Fee %,Fee Amount,Order Type
30/10/2022 00:00:00,17/06/2023 14:36:26,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,200.0,0.003,27/11/2022 00:00:00,18/12/2022 00:00:00,06/11/2022 00:00:00,TAKE_PROFIT_HIT,SHORT,21302.0,20010.88,20010.88,22593.12,0.32,6.45,5.71,3.83,2,1.0,3.83,0.075,0.04792949999999999,TAKER
28/07/2019 00:00:00,17/06/2023 14:36:26,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,203.83,0.004,11/08/2019 00:00:00,15/09/2019 00:00:00,04/08/2019 00:00:00,TAKE_PROFIT_HIT,LONG,10817.0,11811.67,11811.67,9822.33,0.212,8.42,10.13,3.95,2,1.0,3.95,0.075,0.032451,TAKER
11/10/2020 00:00:00,17/06/2023 14:36:26,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,207.78,0.002,06/12/2020 00:00:00,29/11/2020 00:00:00,25/10/2020 00:00:00,TAKE_PROFIT_HIT,LONG,11371.0,13864.75,13864.75,8877.25,0.109,17.99,28.09,4.97,2,1.0,4.97,0.075,0.017056500000000002,TAKER
01/12/2019 00:00:00,17/06/2023 14:36:26,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,212.75,0.012,19/01/2020 00:00:00,19/01/2020 00:00:00,08/12/2019 00:00:00,STOP_LOSS_HIT,LONG,7500.0,7135.33,7864.67,7135.33,0.423,4.64,5.11,4.31,2,1.0,-4.44,0.075,0.0675,TAKER
06/09/2020 00:00:00,17/06/2023 14:36:26,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,208.31,0.005,01/11/2020 00:00:00,25/10/2020 00:00:00,04/10/2020 00:00:00,TAKE_PROFIT_HIT,LONG,10449.0,11332.04,11332.04,9565.96,0.251,7.79,9.23,4.38,2,1.0,4.38,0.075,0.03918375,TAKER
07/08/2022 00:00:00,17/06/2023 14:36:26,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,212.69,0.004,25/09/2022 00:00:00,25/09/2022 00:00:00,14/08/2022 00:00:00,TAKE_PROFIT_HIT,SHORT,24451.0,23403.1,23403.1,25498.9,0.46,4.48,4.11,4.12,2,1.0,4.12,0.075,0.073353,TAKER
16/06/2019 00:00:00,17/06/2023 14:36:26,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,216.81,0.002,14/07/2019 00:00:00,04/08/2019 00:00:00,23/06/2019 00:00:00,TAKE_PROFIT_HIT,LONG,10676.0,12578.25,12578.25,8773.75,0.098,15.12,21.68,3.79,2,1.0,3.79,0.075,0.016014,TAKER
12/01/2020 00:00:00,17/06/2023 14:36:26,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,220.6,0.005,09/02/2020 00:00:00,01/03/2020 00:00:00,02/02/2020 00:00:00,TAKE_PROFIT_HIT,LONG,8908.0,9884.97,9884.97,7931.04,0.202,9.88,12.32,4.85,2,1.0,4.85,0.075,0.033405,TAKER
15/07/2018 00:00:00,17/06/2023 14:36:26,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,225.45,0.009,29/07/2018 00:00:00,02/09/2018 00:00:00,22/07/2018 00:00:00,TAKE_PROFIT_HIT,LONG,7409.0,7924.05,7924.05,6893.95,0.296,6.5,7.47,4.59,2,1.0,4.59,0.075,0.05001074999999999,TAKER
09/10/2022 00:00:00,17/06/2023 14:36:26,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,230.04,0.004,27/11/2022 00:00:00,27/11/2022 00:00:00,23/10/2022 00:00:00,STOP_LOSS_HIT,SHORT,19074.0,20120.6,18027.4,20120.6,0.332,5.81,5.2,4.13,2,1.0,-4.24,0.075,0.057222,TAKER
07/03/2021 00:00:00,17/06/2023 14:36:26,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,225.8,0.001,14/03/2021 00:00:00,25/04/2021 00:00:00,21/03/2021 00:00:00,STOP_LOSS_HIT,LONG,61174.0,53234.05,69113.96,53234.05,0.271,11.49,14.92,7.89,3,1.0,-7.99,0.075,0.0458805,TAKER
04/12/2022 00:00:00,17/06/2023 14:36:26,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,217.81,0.003,29/01/2023 00:00:00,22/01/2023 00:00:00,08/01/2023 00:00:00,TAKE_PROFIT_HIT,LONG,17140.0,18498.16,18498.16,15781.84,0.236,7.34,8.61,4.04,2,1.0,4.04,0.075,0.038565,TAKER
02/01/2022 00:00:00,17/06/2023 14:36:26,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,221.85,0.001,23/01/2022 00:00:00,20/02/2022 00:00:00,16/01/2022 00:00:00,TAKE_PROFIT_HIT,SHORT,41696.0,38501.08,38501.08,44890.92,0.188,8.3,7.12,3.16,1,1.0,3.16,0.075,0.031271999999999994,TAKER
06/05/2018 00:00:00,17/06/2023 14:36:26,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,225.01,0.004,24/06/2018 00:00:00,24/06/2018 00:00:00,20/05/2018 00:00:00,TAKE_PROFIT_HIT,SHORT,8466.0,7335.46,7335.46,9596.54,0.15,15.41,11.78,4.5,2,1.0,4.5,0.075,0.025397999999999997,TAKER
