Open,Last update,Platform,Symbol,Timeframe,Account balance at open,Size,Expected close,Expiry,Close,Status,Side,Opening price,Closing price,Take profit,Stop loss,Leverage,TP price %,SL price %,Expected profit,Risk %,R/R ratio,PnL,Fee %,Fee Amount,Order Type
26/12/2021 00:00:00,18/06/2023 11:46:16,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,WEEK,200.0,0.001,23/01/2022 00:00:00,13/02/2022 00:00:00,02/01/2022 00:00:00,TAKE_PROFIT_HIT,SHORT,47746.0,43285.36,43285.36,52206.65,0.239,10.31,8.54,4.42,2,1.0,4.42,0.075,0.0358095,TAKER
11/11/2018 00:00:00,18/06/2023 11:46:16,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,WEEK,204.42,0.004,16/12/2018 00:00:00,30/12/2018 00:00:00,18/11/2018 00:00:00,TAKE_PROFIT_HIT,SHORT,5504.0,4516.18,4516.18,6491.82,0.108,21.87,15.22,3.93,2,1.0,3.93,0.075,0.016512,TAKER
12/09/2021 00:00:00,18/06/2023 11:46:16,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,WEEK,208.35,0.001,31/10/2021 00:00:00,31/10/2021 00:00:00,19/09/2021 00:00:00,STOP_LOSS_HIT,LONG,48310.0,40915.38,55704.62,40915.38,0.232,13.27,18.07,7.36,4,1.0,-7.43,0.075,0.0362325,TAKER
11/04/2021 00:00:00,18/06/2023 11:46:16,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,WEEK,200.92,0.0,30/05/2021 00:00:00,30/05/2021 00:00:00,18/04/2021 00:00:00,TAKE_PROFIT_HIT,SHORT,60068.0,48290.85,48290.85,71845.15,0.0,24.39,16.39,0.0,0,0.0,0.0,0.075,0.0,TAKER
19/09/2021 00:00:00,18/06/2023 11:46:16,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,WEEK,200.92,0.001,17/10/2021 00:00:00,07/11/2021 00:00:00,26/09/2021 00:00:00,TAKE_PROFIT_HIT,LONG,42711.0,46720.04,46720.04,38701.96,0.213,8.58,10.36,3.98,2,1.0,3.98,0.075,0.03203325,TAKER
06/03/2022 00:00:00,18/06/2023 11:46:16,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,WEEK,204.9,0.002,03/04/2022 00:00:00,24/04/2022 00:00:00,13/03/2022 00:00:00,TAKE_PROFIT_HIT,LONG,38817.0,40749.38,40749.38,36884.63,0.379,4.74,5.24,3.81,2,1.0,3.81,0.075,0.0582255,TAKER
25/10/2020 00:00:00,18/06/2023 11:46:16,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,WEEK,208.71,0.001,20/12/2020 00:00:00,13/12/2020 00:00:00,15/11/2020 00:00:00,TAKE_PROFIT_HIT,LONG,13809.0,18652.09,18652.09,8965.91,0.066,25.97,54.02,4.83,2,1.0,4.83,0.075,0.010356750000000001,TAKER
08/11/2020 00:00:00,18/06/2023 11:46:16,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,WEEK,213.54,0.0,03/01/2021 00:00:00,27/12/2020 00:00:00,20/12/2020 00:00:00,TAKE_PROFIT_HIT,LONG,16089.0,26018.56,26018.56,6159.45,0.0,38.16,161.21,0.0,0,0.0,0.0,0.075,0.0,TAKER
24/11/2019 00:00:00,18/06/2023 11:46:16,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,WEEK,213.54,0.01,19/01/2020 00:00:00,12/01/2020 00:00:00,01/12/2019 00:00:00,STOP_LOSS_HIT,LONG,7554.0,7112.42,7995.58,7112.42,0.354,5.52,6.21,4.36,2,1.0,-4.47,0.075,0.056655000000000004,TAKER
06/03/2022 00:00:00,18/06/2023 11:46:16,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,WEEK,209.07,0.002,03/04/2022 00:00:00,24/04/2022 00:00:00,13/03/2022 00:00:00,TAKE_PROFIT_HIT,LONG,38817.0,40749.38,40749.38,36884.63,0.371,4.74,5.24,3.81,2,1.0,3.81,0.075,0.0582255,TAKER
19/09/2021 00:00:00,18/06/2023 11:46:16,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,WEEK,212.88,0.001,17/10/2021 00:00:00,07/11/2021 00:00:00,26/09/2021 00:00:00,TAKE_PROFIT_HIT,LONG,42711.0,46720.04,46720.04,38701.96,0.201,8.58,10.36,3.98,2,1.0,3.98,0.075,0.03203325,TAKER
15/11/2020 00:00:00,18/06/2023 11:46:16,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,WEEK,216.86,0.0,10/01/2021 00:00:00,03/01/2021 00:00:00,03/01/2021 00:00:00,TAKE_PROFIT_HIT,LONG,18724.0,34687.33,34687.33,2760.67,0.0,46.02,578.24,0.0,0,0.0,0.0,0.075,0.0,TAKER
10/02/2019 00:00:00,18/06/2023 11:46:16,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,WEEK,216.86,0.015,07/04/2019 00:00:00,31/03/2019 00:00:00,17/02/2019 00:00:00,TAKE_PROFIT_HIT,LONG,3582.0,3877.26,3877.26,3286.74,0.248,7.62,8.98,4.39,2,1.0,4.39,0.075,0.0402975,TAKER
27/03/2022 00:00:00,18/06/2023 11:46:16,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,WEEK,221.25,0.001,22/05/2022 00:00:00,15/05/2022 00:00:00,10/04/2022 00:00:00,TAKE_PROFIT_HIT,SHORT,45811.0,40071.48,40071.48,51550.53,0.207,14.32,11.13,5.71,3,1.0,5.71,0.075,0.03435825,TAKER
05/07/2020 00:00:00,18/06/2023 11:46:16,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,WEEK,226.96,0.005,16/08/2020 00:00:00,23/08/2020 00:00:00,26/07/2020 00:00:00,TAKE_PROFIT_HIT,LONG,9241.0,10156.78,10156.78,8325.22,0.204,9.02,11.0,4.54,2,1.0,4.54,0.075,0.03465375,TAKER
02/05/2021 00:00:00,18/06/2023 11:46:16,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,WEEK,231.5,0.0,27/06/2021 00:00:00,20/06/2021 00:00:00,09/05/2021 00:00:00,TAKE_PROFIT_HIT,SHORT,58983.0,47294.92,47294.92,70671.08,0.0,24.71,16.54,0.0,0,0.0,0.0,0.075,0.0,TAKER
14/07/2019 00:00:00,18/06/2023 11:46:16,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,WEEK,231.5,0.004,28/07/2019 00:00:00,01/09/2019 00:00:00,21/07/2019 00:00:00,TAKE_PROFIT_HIT,SHORT,10753.0,9719.66,9719.66,11786.34,0.186,10.63,8.77,4.1,2,1.0,4.1,0.075,0.032258999999999996,TAKER
08/12/2019 00:00:00,18/06/2023 11:46:16,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_30_06_22.csv,BTC_USD,WEEK,235.6,0.01,02/02/2020 00:00:00,26/01/2020 00:00:00,15/12/2019 00:00:00,STOP_LOSS_HIT,LONG,7073.0,6591.91,7554.09,6591.91,0.3,6.37,7.3,4.76,2,1.0,-4.86,0.075,0.053047500000000004,TAKER
