Open,Last update,Platform,Symbol,Timeframe,Account balance at open,Size,Expected close,Expiry,Close,Status,Side,Opening price,Closing price,Take profit,Stop loss,Leverage,TP price %,SL price %,Expected profit,Risk %,R/R ratio,PnL,Fee %,Fee Amount,Order Type
16/09/2022 00:00:00,20/06/2023 10:37:45,DUMMY_Bitfinex_BTCUSD_d_01_07_22_to_16_06_23.csv,BTC_USD,DAY,200.0,0.012,19/09/2022 00:00:00,22/09/2022 00:00:00,17/09/2022 00:00:00,STOP_LOSS_HIT,SHORT,19813.0,20133.03,19492.97,20133.03,1.189,1.64,1.59,3.66,2,1.0,-4.02,0.075,0.17831699999999998,TAKER
16/02/2023 00:00:00,20/06/2023 10:37:45,DUMMY_Bitfinex_BTCUSD_d_01_07_22_to_16_06_23.csv,BTC_USD,DAY,195.98,0.006,23/02/2023 00:00:00,22/02/2023 00:00:00,17/02/2023 00:00:00,TAKE_PROFIT_HIT,LONG,23529.0,24160.7,24160.7,22897.3,0.72,2.61,2.76,3.68,2,1.0,3.68,0.075,0.1058805,TAKER
11/12/2022 00:00:00,20/06/2023 10:37:45,DUMMY_Bitfinex_BTCUSD_d_01_07_22_to_16_06_23.csv,BTC_USD,DAY,199.66,0.015,16/12/2022 00:00:00,17/12/2022 00:00:00,13/12/2022 00:00:00,TAKE_PROFIT_HIT,LONG,17110.0,17373.81,17373.81,16846.2,1.285,1.52,1.57,3.76,2,1.0,3.76,0.075,0.19248749999999998,TAKER
06/11/2022 00:00:00,20/06/2023 10:37:45,DUMMY_Bitfinex_BTCUSD_d_01_07_22_to_16_06_23.csv,BTC_USD,DAY,203.42,0.006,10/11/2022 00:00:00,12/11/2022 00:00:00,08/11/2022 00:00:00,STOP_LOSS_HIT,LONG,20932.0,20205.75,21658.25,20205.75,0.617,3.35,3.59,4.26,2,1.0,-4.45,0.075,0.094194,TAKER
11/01/2023 00:00:00,20/06/2023 10:37:45,DUMMY_Bitfinex_BTCUSD_d_01_07_22_to_16_06_23.csv,BTC_USD,DAY,198.97,0.006,16/01/2023 00:00:00,17/01/2023 00:00:00,12/01/2023 00:00:00,TAKE_PROFIT_HIT,LONG,17952.0,18615.99,18615.99,17288.01,0.541,3.57,3.84,3.9,2,1.0,3.9,0.075,0.08078400000000001,TAKER
04/05/2023 00:00:00,20/06/2023 10:37:45,DUMMY_Bitfinex_BTCUSD_d_01_07_22_to_16_06_23.csv,BTC_USD,DAY,202.87,0.004,08/05/2023 00:00:00,10/05/2023 00:00:00,08/05/2023 00:00:00,STOP_LOSS_HIT,LONG,28844.0,27777.15,29910.85,27777.15,0.569,3.57,3.84,4.18,2,1.0,-4.35,0.075,0.086532,TAKER
29/07/2022 00:00:00,20/06/2023 10:37:45,DUMMY_Bitfinex_BTCUSD_d_01_07_22_to_16_06_23.csv,BTC_USD,DAY,198.52,0.003,03/08/2022 00:00:00,04/08/2022 00:00:00,04/08/2022 00:00:00,STOP_LOSS_HIT,LONG,23764.0,22421.53,25106.48,22421.53,0.359,5.35,5.99,3.97,2,1.0,-4.08,0.075,0.053468999999999996,TAKER
29/01/2023 00:00:00,20/06/2023 10:37:45,DUMMY_Bitfinex_BTCUSD_d_01_07_22_to_16_06_23.csv,BTC_USD,DAY,194.44,0.016,05/02/2023 00:00:00,04/02/2023 00:00:00,30/01/2023 00:00:00,STOP_LOSS_HIT,LONG,23746.0,23509.41,23982.6,23509.41,1.954,0.99,1.01,3.5,2,1.0,-4.07,0.075,0.284952,TAKER
20/02/2023 00:00:00,20/06/2023 10:37:45,DUMMY_Bitfinex_BTCUSD_d_01_07_22_to_16_06_23.csv,BTC_USD,DAY,190.37,0.014,24/02/2023 00:00:00,26/02/2023 00:00:00,21/02/2023 00:00:00,STOP_LOSS_HIT,LONG,24835.0,24562.27,25107.74,24562.27,1.826,1.09,1.11,3.56,2,1.0,-4.08,0.075,0.2607675,TAKER
05/10/2022 00:00:00,20/06/2023 10:37:45,DUMMY_Bitfinex_BTCUSD_d_01_07_22_to_16_06_23.csv,BTC_USD,DAY,186.29,0.004,12/10/2022 00:00:00,11/10/2022 00:00:00,10/10/2022 00:00:00,STOP_LOSS_HIT,LONG,20156.0,19146.86,21165.15,19146.86,0.433,4.77,5.27,3.98,2,1.0,-4.1,0.075,0.060467999999999994,TAKER
27/01/2023 00:00:00,20/06/2023 10:37:45,DUMMY_Bitfinex_BTCUSD_d_01_07_22_to_16_06_23.csv,BTC_USD,DAY,182.19,0.002,02/02/2023 00:00:00,02/02/2023 00:00:00,02/02/2023 00:00:00,EXPIRED,LONG,23067.0,23491.0,25192.54,20941.47,0.253,8.44,10.15,4.22,2,1.0,0.81,0.075,0.0346005,TAKER
10/12/2022 00:00:00,20/06/2023 10:37:45,DUMMY_Bitfinex_BTCUSD_d_01_07_22_to_16_06_23.csv,BTC_USD,DAY,183.0,0.007,16/12/2022 00:00:00,16/12/2022 00:00:00,13/12/2022 00:00:00,TAKE_PROFIT_HIT,LONG,17133.0,17621.45,17621.45,16644.56,0.655,2.77,2.93,3.33,2,1.0,3.33,0.075,0.08994825,TAKER
18/04/2023 00:00:00,20/06/2023 10:37:45,DUMMY_Bitfinex_BTCUSD_d_01_07_22_to_16_06_23.csv,BTC_USD,DAY,186.33,0.006,21/04/2023 00:00:00,24/04/2023 00:00:00,19/04/2023 00:00:00,TAKE_PROFIT_HIT,SHORT,30391.0,29738.48,29738.48,31043.52,0.979,2.19,2.1,3.78,2,1.0,3.78,0.075,0.1367595,TAKER
29/07/2022 00:00:00,20/06/2023 10:37:45,DUMMY_Bitfinex_BTCUSD_d_01_07_22_to_16_06_23.csv,BTC_USD,DAY,190.11,0.003,03/08/2022 00:00:00,04/08/2022 00:00:00,04/08/2022 00:00:00,STOP_LOSS_HIT,LONG,23764.0,22421.53,25106.48,22421.53,0.375,5.35,5.99,3.97,2,1.0,-4.08,0.075,0.053468999999999996,TAKER
16/03/2023 00:00:00,20/06/2023 10:37:45,DUMMY_Bitfinex_BTCUSD_d_01_07_22_to_16_06_23.csv,BTC_USD,DAY,186.03,0.011,20/03/2023 00:00:00,22/03/2023 00:00:00,17/03/2023 00:00:00,TAKE_PROFIT_HIT,LONG,25061.0,25402.12,25402.12,24719.88,1.482,1.34,1.38,3.55,2,1.0,3.55,0.075,0.20675324999999997,TAKER
01/04/2023 00:00:00,20/06/2023 10:37:45,DUMMY_Bitfinex_BTCUSD_d_01_07_22_to_16_06_23.csv,BTC_USD,DAY,189.58,0.007,04/04/2023 00:00:00,07/04/2023 00:00:00,02/04/2023 00:00:00,STOP_LOSS_HIT,LONG,28443.0,27881.8,29004.2,27881.8,1.05,1.93,2.01,3.78,2,1.0,-4.08,0.075,0.14932575,TAKER
15/09/2022 00:00:00,20/06/2023 10:37:45,DUMMY_Bitfinex_BTCUSD_d_01_07_22_to_16_06_23.csv,BTC_USD,DAY,185.5,0.005,22/09/2022 00:00:00,21/09/2022 00:00:00,19/09/2022 00:00:00,TAKE_PROFIT_HIT,SHORT,19714.0,18985.66,18985.66,20442.34,0.531,3.84,3.56,3.57,2,1.0,3.57,0.075,0.07392750000000001,TAKER
17/12/2022 00:00:00,20/06/2023 10:37:45,DUMMY_Bitfinex_BTCUSD_d_01_07_22_to_16_06_23.csv,BTC_USD,DAY,189.07,0.011,24/12/2022 00:00:00,23/12/2022 00:00:00,19/12/2022 00:00:00,STOP_LOSS_HIT,LONG,16793.0,16448.18,17137.82,16448.18,0.977,2.01,2.1,3.65,2,1.0,-3.93,0.075,0.13854224999999998,TAKER
16/02/2023 00:00:00,20/06/2023 10:37:45,DUMMY_Bitfinex_BTCUSD_d_01_07_22_to_16_06_23.csv,BTC_USD,DAY,185.14,0.006,23/02/2023 00:00:00,22/02/2023 00:00:00,17/02/2023 00:00:00,TAKE_PROFIT_HIT,LONG,23529.0,24160.7,24160.7,22897.3,0.763,2.61,2.76,3.68,2,1.0,3.68,0.075,0.1058805,TAKER
