Open,Last update,Platform,Symbol,Timeframe,Account balance at open,Size,Expected close,Expiry,Close,Status,Side,Opening price,Closing price,Take profit,Stop loss,Leverage,TP price %,SL price %,Expected profit,Risk %,R/R ratio,PnL,Fee %,Fee Amount,Order Type
13/12/2022 20:00:00,20/06/2023 10:37:48,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,200.0,0.023,14/12/2022 08:00:00,14/12/2022 16:00:00,14/12/2022 12:00:00,TAKE_PROFIT_HIT,LONG,17776.0,17948.99,17948.99,17603.01,2.044,0.96,0.98,3.67,2,1.0,3.67,0.075,0.30663599999999996,TAKER
03/01/2023 00:00:00,20/06/2023 10:37:48,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,203.67,0.014,03/01/2023 04:00:00,03/01/2023 20:00:00,03/01/2023 20:00:00,EXPIRED,LONG,16683.0,16674.0,16977.96,16388.04,1.147,1.74,1.8,3.95,2,1.0,-0.3,0.075,0.1751715,TAKER
21/12/2022 16:00:00,20/06/2023 10:37:48,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,203.37,0.016,22/12/2022 16:00:00,22/12/2022 12:00:00,22/12/2022 12:00:00,EXPIRED,LONG,16773.0,16634.0,17031.18,16514.82,1.32,1.52,1.56,3.93,2,1.0,-2.43,0.075,0.20127599999999998,TAKER
03/01/2023 20:00:00,20/06/2023 10:37:48,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,200.94,0.012,04/01/2023 12:00:00,04/01/2023 16:00:00,04/01/2023 16:00:00,EXPIRED,SHORT,16674.0,16831.0,16342.43,17005.57,0.996,2.03,1.95,3.83,2,1.0,-2.03,0.075,0.15006599999999998,TAKER
24/03/2023 20:00:00,20/06/2023 10:37:48,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,198.91,0.015,25/03/2023 16:00:00,25/03/2023 16:00:00,25/03/2023 12:00:00,TAKE_PROFIT_HIT,LONG,27500.0,27757.69,27757.69,27242.31,2.074,0.93,0.95,3.56,2,1.0,3.56,0.075,0.309375,TAKER
16/05/2023 16:00:00,20/06/2023 10:37:48,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,202.47,0.012,17/05/2023 12:00:00,17/05/2023 12:00:00,17/05/2023 08:00:00,TAKE_PROFIT_HIT,SHORT,26932.0,26583.35,26583.35,27280.65,1.596,1.31,1.28,3.94,2,1.0,3.94,0.075,0.24238800000000002,TAKER
10/01/2023 08:00:00,20/06/2023 10:37:48,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,206.41,0.02,11/01/2023 04:00:00,11/01/2023 04:00:00,10/01/2023 20:00:00,STOP_LOSS_HIT,SHORT,17258.0,17468.68,17047.32,17468.68,1.672,1.24,1.21,3.95,2,1.0,-4.47,0.075,0.25887,TAKER
23/11/2022 08:00:00,20/06/2023 10:37:48,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,201.94,0.019,24/11/2022 00:00:00,24/11/2022 04:00:00,23/11/2022 12:00:00,TAKE_PROFIT_HIT,SHORT,16577.0,16362.39,16362.39,16791.61,1.56,1.31,1.28,3.84,2,1.0,3.84,0.075,0.23622224999999997,TAKER
16/10/2022 20:00:00,20/06/2023 10:37:48,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,205.78,0.007,17/10/2022 16:00:00,17/10/2022 16:00:00,17/10/2022 16:00:00,EXPIRED,LONG,19264.0,19523.0,19879.78,18648.23,0.655,3.1,3.3,4.21,2,1.0,1.71,0.075,0.101136,TAKER
11/01/2023 00:00:00,20/06/2023 10:37:48,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,207.49,0.02,12/01/2023 00:00:00,11/01/2023 20:00:00,11/01/2023 20:00:00,STOP_LOSS_HIT,SHORT,17412.0,17618.92,17205.08,17618.92,1.678,1.2,1.17,3.88,2,1.0,-4.4,0.075,0.26117999999999997,TAKER
15/04/2023 04:00:00,20/06/2023 10:37:48,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,203.09,0.017,15/04/2023 08:00:00,16/04/2023 00:00:00,16/04/2023 00:00:00,TAKE_PROFIT_HIT,SHORT,30455.0,30214.64,30214.64,30695.36,2.549,0.8,0.78,3.7,2,1.0,3.7,0.075,0.38830125000000004,TAKER
