Open,Last update,Platform,Symbol,Timeframe,Account balance at open,Size,Expected close,Expiry,Close,Status,Side,Opening price,Closing price,Take profit,Stop loss,Leverage,TP price %,SL price %,Expected profit,Risk %,R/R ratio,PnL,Fee %,Fee Amount,Order Type
09/08/2022 07:00:00,20/06/2023 10:37:54,DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,HOUR,200.0,0.024,09/08/2022 10:00:00,09/08/2022 10:00:00,09/08/2022 09:00:00,STOP_LOSS_HIT,LONG,23880.0,23713.02,24046.98,23713.02,2.866,0.69,0.7,3.58,2,1.0,-4.44,0.075,0.42984,TAKER
14/06/2023 04:00:00,20/06/2023 10:37:54,DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,HOUR,195.56,0.023,14/06/2023 07:00:00,14/06/2023 07:00:00,14/06/2023 07:00:00,EXPIRED,SHORT,25975.0,25896.0,25804.78,26145.23,3.055,0.66,0.65,3.47,2,1.0,1.37,0.075,0.44806874999999996,TAKER
03/08/2022 22:00:00,20/06/2023 10:37:54,DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,HOUR,196.93,0.01,03/08/2022 23:00:00,04/08/2022 01:00:00,04/08/2022 01:00:00,EXPIRED,SHORT,22950.0,23147.0,22548.85,23351.15,1.165,1.78,1.72,3.84,2,1.0,-2.14,0.075,0.17212499999999997,TAKER
03/10/2022 10:00:00,20/06/2023 10:37:54,DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,HOUR,194.79,0.016,03/10/2022 14:00:00,03/10/2022 13:00:00,03/10/2022 13:00:00,EXPIRED,SHORT,19227.0,19171.0,18987.99,19466.02,1.579,1.26,1.23,3.59,2,1.0,0.67,0.075,0.23072399999999998,TAKER
03/11/2022 06:00:00,20/06/2023 10:37:54,DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,HOUR,195.46,0.015,03/11/2022 08:00:00,03/11/2022 09:00:00,03/11/2022 09:00:00,EXPIRED,LONG,20311.0,20304.0,20576.06,20045.94,1.559,1.29,1.32,3.75,2,1.0,-0.33,0.075,0.22849874999999997,TAKER
02/09/2022 01:00:00,20/06/2023 10:37:54,DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,HOUR,195.13,0.011,02/09/2022 04:00:00,02/09/2022 04:00:00,02/09/2022 04:00:00,EXPIRED,LONG,20044.0,20160.0,20410.52,19677.48,1.13,1.8,1.86,3.87,2,1.0,1.11,0.075,0.16536299999999998,TAKER
06/02/2023 04:00:00,20/06/2023 10:37:54,DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,HOUR,196.24,0.011,06/02/2023 07:00:00,06/02/2023 07:00:00,06/02/2023 07:00:00,EXPIRED,LONG,22873.0,22884.0,23238.47,22507.53,1.282,1.57,1.62,3.83,2,1.0,-0.07,0.075,0.18870225,TAKER
14/03/2023 03:00:00,20/06/2023 10:37:54,DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,HOUR,196.17,0.01,14/03/2023 04:00:00,14/03/2023 06:00:00,14/03/2023 05:00:00,TAKE_PROFIT_HIT,LONG,24509.0,24886.28,24886.28,24131.72,1.249,1.52,1.56,3.59,2,1.0,3.59,0.075,0.1838175,TAKER
17/01/2023 14:00:00,20/06/2023 10:37:54,DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,HOUR,199.76,0.024,17/01/2023 15:00:00,17/01/2023 17:00:00,17/01/2023 15:00:00,TAKE_PROFIT_HIT,SHORT,21288.0,21118.74,21118.74,21457.26,2.558,0.8,0.79,3.68,2,1.0,3.68,0.075,0.383184,TAKER
14/06/2023 13:00:00,20/06/2023 10:37:54,DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,HOUR,203.44,0.012,14/06/2023 14:00:00,14/06/2023 16:00:00,14/06/2023 16:00:00,EXPIRED,LONG,25991.0,25964.0,26323.73,25658.27,1.533,1.26,1.3,3.76,2,1.0,-0.56,0.075,0.233919,TAKER
