Open,Last update,Platform,Symbol,Timeframe,Account balance at open,Size,Expected close,Expiry,Close,Status,Side,Opening price,Closing price,Take profit,Stop loss,Leverage,TP price %,SL price %,Expected profit,Risk %,R/R ratio,PnL,Fee %,Fee Amount,Order Type
17/03/2023 00:00:00,20/06/2023 09:27:11,DUMMY_Bitfinex_BTCUSD_d_01_07_22_to_16_06_23.csv,BTC_USD,DAY,200.0,0.007,24/03/2023 00:00:00,23/03/2023 00:00:00,18/03/2023 00:00:00,STOP_LOSS_HIT,LONG,27351.0,26754.51,27947.49,26754.51,0.957,2.13,2.23,4.03,2,1.0,-4.32,0.075,0.14359275,TAKER
11/12/2022 00:00:00,20/06/2023 09:27:11,DUMMY_Bitfinex_BTCUSD_d_01_07_22_to_16_06_23.csv,BTC_USD,DAY,195.68,0.015,16/12/2022 00:00:00,17/12/2022 00:00:00,13/12/2022 00:00:00,TAKE_PROFIT_HIT,LONG,17110.0,17373.81,17373.81,16846.2,1.312,1.52,1.57,3.76,2,1.0,3.76,0.075,0.19248749999999998,TAKER
10/09/2022 00:00:00,20/06/2023 09:27:11,DUMMY_Bitfinex_BTCUSD_d_01_07_22_to_16_06_23.csv,BTC_USD,DAY,199.44,0.004,17/09/2022 00:00:00,16/09/2022 00:00:00,13/09/2022 00:00:00,STOP_LOSS_HIT,LONG,21656.0,20744.88,22567.12,20744.88,0.434,4.04,4.39,3.58,2,1.0,-3.71,0.075,0.064968,TAKER
25/07/2022 00:00:00,20/06/2023 09:27:11,DUMMY_Bitfinex_BTCUSD_d_01_07_22_to_16_06_23.csv,BTC_USD,DAY,195.73,0.013,28/07/2022 00:00:00,31/07/2022 00:00:00,26/07/2022 00:00:00,TAKE_PROFIT_HIT,SHORT,21297.0,21002.18,21002.18,21591.83,1.415,1.4,1.37,3.63,2,1.0,3.63,0.075,0.20764574999999996,TAKER
30/10/2022 00:00:00,20/06/2023 09:27:11,DUMMY_Bitfinex_BTCUSD_d_01_07_22_to_16_06_23.csv,BTC_USD,DAY,199.36,0.006,05/11/2022 00:00:00,05/11/2022 00:00:00,05/11/2022 00:00:00,TAKE_PROFIT_HIT,LONG,20647.0,21337.41,21337.41,19956.6,0.621,3.24,3.46,4.05,2,1.0,4.05,0.075,0.0929115,TAKER
23/01/2023 00:00:00,20/06/2023 09:27:11,DUMMY_Bitfinex_BTCUSD_d_01_07_22_to_16_06_23.csv,BTC_USD,DAY,203.41,0.009,27/01/2023 00:00:00,29/01/2023 00:00:00,24/01/2023 00:00:00,STOP_LOSS_HIT,LONG,22910.0,22450.04,23369.96,22450.04,1.014,1.97,2.05,3.98,2,1.0,-4.29,0.075,0.1546425,TAKER
16/12/2022 00:00:00,20/06/2023 09:27:11,DUMMY_Bitfinex_BTCUSD_d_01_07_22_to_16_06_23.csv,BTC_USD,DAY,199.12,0.017,20/12/2022 00:00:00,22/12/2022 00:00:00,19/12/2022 00:00:00,STOP_LOSS_HIT,LONG,16642.0,16406.67,16877.33,16406.67,1.421,1.39,1.43,3.79,2,1.0,-4.21,0.075,0.21218550000000003,TAKER
17/03/2023 00:00:00,20/06/2023 09:27:11,DUMMY_Bitfinex_BTCUSD_d_01_07_22_to_16_06_23.csv,BTC_USD,DAY,194.91,0.007,24/03/2023 00:00:00,23/03/2023 00:00:00,18/03/2023 00:00:00,STOP_LOSS_HIT,LONG,27351.0,26754.51,27947.49,26754.51,0.982,2.13,2.23,4.03,2,1.0,-4.32,0.075,0.14359275,TAKER
15/03/2023 00:00:00,20/06/2023 09:27:11,DUMMY_Bitfinex_BTCUSD_d_01_07_22_to_16_06_23.csv,BTC_USD,DAY,190.59,0.005,22/03/2023 00:00:00,21/03/2023 00:00:00,16/03/2023 00:00:00,TAKE_PROFIT_HIT,LONG,24321.0,25029.32,25029.32,23612.68,0.638,2.83,3.0,3.45,2,1.0,3.45,0.075,0.09120374999999999,TAKER
27/10/2022 00:00:00,20/06/2023 09:27:11,DUMMY_Bitfinex_BTCUSD_d_01_07_22_to_16_06_23.csv,BTC_USD,DAY,194.04,0.013,01/11/2022 00:00:00,02/11/2022 00:00:00,28/10/2022 00:00:00,STOP_LOSS_HIT,SHORT,20301.0,20608.8,19993.21,20608.8,1.36,1.54,1.49,3.8,2,1.0,-4.2,0.075,0.19793475000000002,TAKER
29/10/2022 00:00:00,20/06/2023 09:27:11,DUMMY_Bitfinex_BTCUSD_d_01_07_22_to_16_06_23.csv,BTC_USD,DAY,189.84,0.009,05/11/2022 00:00:00,04/11/2022 00:00:00,31/10/2022 00:00:00,STOP_LOSS_HIT,LONG,20833.0,20405.23,21260.77,20405.23,0.988,2.01,2.1,3.71,2,1.0,-3.99,0.075,0.14062275,TAKER
16/04/2023 00:00:00,20/06/2023 09:27:11,DUMMY_Bitfinex_BTCUSD_d_01_07_22_to_16_06_23.csv,BTC_USD,DAY,185.85,0.007,20/04/2023 00:00:00,22/04/2023 00:00:00,17/04/2023 00:00:00,TAKE_PROFIT_HIT,SHORT,30286.0,29776.5,29776.5,30795.51,1.141,1.71,1.65,3.41,2,1.0,3.41,0.075,0.1590015,TAKER
16/03/2023 00:00:00,20/06/2023 09:27:11,DUMMY_Bitfinex_BTCUSD_d_01_07_22_to_16_06_23.csv,BTC_USD,DAY,189.26,0.011,20/03/2023 00:00:00,22/03/2023 00:00:00,17/03/2023 00:00:00,TAKE_PROFIT_HIT,LONG,25061.0,25402.12,25402.12,24719.88,1.457,1.34,1.38,3.55,2,1.0,3.55,0.075,0.20675324999999997,TAKER
12/01/2023 00:00:00,20/06/2023 09:27:11,DUMMY_Bitfinex_BTCUSD_d_01_07_22_to_16_06_23.csv,BTC_USD,DAY,192.81,0.012,17/01/2023 00:00:00,18/01/2023 00:00:00,13/01/2023 00:00:00,STOP_LOSS_HIT,SHORT,18856.0,19177.18,18534.82,19177.18,1.174,1.73,1.67,3.68,2,1.0,-4.02,0.075,0.16970399999999997,TAKER
28/01/2023 00:00:00,20/06/2023 09:27:11,DUMMY_Bitfinex_BTCUSD_d_01_07_22_to_16_06_23.csv,BTC_USD,DAY,188.79,0.008,31/01/2023 00:00:00,03/02/2023 00:00:00,29/01/2023 00:00:00,STOP_LOSS_HIT,SHORT,23029.0,23503.65,22554.35,23503.65,0.976,2.1,2.02,3.66,2,1.0,-3.94,0.075,0.138174,TAKER
18/02/2023 00:00:00,20/06/2023 09:27:11,DUMMY_Bitfinex_BTCUSD_d_01_07_22_to_16_06_23.csv,BTC_USD,DAY,184.85,0.013,22/02/2023 00:00:00,24/02/2023 00:00:00,19/02/2023 00:00:00,STOP_LOSS_HIT,LONG,24633.0,24346.5,24919.5,24346.5,1.732,1.15,1.18,3.48,2,1.0,-3.96,0.075,0.24017175,TAKER
31/07/2022 00:00:00,20/06/2023 09:27:11,DUMMY_Bitfinex_BTCUSD_d_01_07_22_to_16_06_23.csv,BTC_USD,DAY,180.89,0.009,02/08/2022 00:00:00,06/08/2022 00:00:00,01/08/2022 00:00:00,TAKE_PROFIT_HIT,SHORT,23294.0,22882.23,22882.23,23705.77,1.159,1.8,1.74,3.55,2,1.0,3.55,0.075,0.15723449999999997,TAKER
05/10/2022 00:00:00,20/06/2023 09:27:11,DUMMY_Bitfinex_BTCUSD_d_01_07_22_to_16_06_23.csv,BTC_USD,DAY,184.44,0.004,12/10/2022 00:00:00,11/10/2022 00:00:00,10/10/2022 00:00:00,STOP_LOSS_HIT,LONG,20156.0,19146.86,21165.15,19146.86,0.437,4.77,5.27,3.98,2,1.0,-4.1,0.075,0.060467999999999994,TAKER
29/01/2023 00:00:00,20/06/2023 09:27:11,DUMMY_Bitfinex_BTCUSD_d_01_07_22_to_16_06_23.csv,BTC_USD,DAY,180.34,0.015,05/02/2023 00:00:00,04/02/2023 00:00:00,30/01/2023 00:00:00,STOP_LOSS_HIT,LONG,23746.0,23509.41,23982.6,23509.41,1.975,0.99,1.01,3.28,2,1.0,-3.82,0.075,0.2671425,TAKER
15/03/2023 00:00:00,20/06/2023 09:27:12,DUMMY_Bitfinex_BTCUSD_d_01_07_22_to_16_06_23.csv,BTC_USD,DAY,176.52,0.005,22/03/2023 00:00:00,21/03/2023 00:00:00,16/03/2023 00:00:00,TAKE_PROFIT_HIT,LONG,24321.0,25029.32,25029.32,23612.68,0.689,2.83,3.0,3.45,2,1.0,3.45,0.075,0.09120374999999999,TAKER
06/02/2023 00:00:00,20/06/2023 09:27:12,DUMMY_Bitfinex_BTCUSD_d_01_07_22_to_16_06_23.csv,BTC_USD,DAY,179.97,0.019,10/02/2023 00:00:00,12/02/2023 00:00:00,07/02/2023 00:00:00,STOP_LOSS_HIT,SHORT,22755.0,22947.19,22562.81,22947.19,2.402,0.85,0.84,3.33,2,1.0,-3.98,0.075,0.32425875,TAKER
19/12/2022 00:00:00,20/06/2023 09:27:12,DUMMY_Bitfinex_BTCUSD_d_01_07_22_to_16_06_23.csv,BTC_USD,DAY,175.99,0.006,26/12/2022 00:00:00,25/12/2022 00:00:00,20/12/2022 00:00:00,STOP_LOSS_HIT,SHORT,16447.0,17025.43,15868.57,17025.43,0.561,3.65,3.4,3.4,2,1.0,-3.54,0.075,0.0740115,TAKER
23/02/2023 00:00:00,20/06/2023 09:27:12,DUMMY_Bitfinex_BTCUSD_d_01_07_22_to_16_06_23.csv,BTC_USD,DAY,172.45,0.008,26/02/2023 00:00:00,01/03/2023 00:00:00,24/02/2023 00:00:00,TAKE_PROFIT_HIT,SHORT,23950.0,23510.61,23510.61,24389.39,1.111,1.87,1.8,3.37,2,1.0,3.37,0.075,0.1437,TAKER
31/01/2023 00:00:00,20/06/2023 09:27:12,DUMMY_Bitfinex_BTCUSD_d_01_07_22_to_16_06_23.csv,BTC_USD,DAY,175.82,0.011,03/02/2023 00:00:00,06/02/2023 00:00:00,01/02/2023 00:00:00,STOP_LOSS_HIT,SHORT,23135.0,23455.27,22814.73,23455.27,1.447,1.4,1.37,3.33,2,1.0,-3.71,0.075,0.19086374999999997,TAKER
