Open,Last update,Platform,Symbol,Timeframe,Account balance at open,Size,Expected close,Expiry,Close,Status,Side,Opening price,Closing price,Take profit,Stop loss,Leverage,TP price %,SL price %,Expected profit,Risk %,R/R ratio,PnL,Fee %,Fee Amount,Order Type
14/03/2023 12:00:00,19/06/2023 18:21:48,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,200.0,0.054,14/03/2023 16:00:00,16/03/2023 08:00:00,14/03/2023 16:00:00,STOP_LOSS_HIT,SHORT,25979.0,26052.58,25905.42,26052.58,7.014,0.28,0.28,2.92,1,1.0,-5.03,0.075,1.0521495,TAKER
12/01/2023 08:00:00,19/06/2023 18:21:48,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,194.97,0.022,12/01/2023 16:00:00,14/01/2023 04:00:00,12/01/2023 12:00:00,STOP_LOSS_HIT,LONG,18204.0,18026.7,18381.3,18026.7,2.054,0.96,0.98,3.6,2,1.0,-4.2,0.075,0.300366,TAKER
04/02/2023 00:00:00,19/06/2023 18:21:48,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,190.77,0.061,06/02/2023 00:00:00,05/02/2023 20:00:00,04/02/2023 04:00:00,STOP_LOSS_HIT,LONG,23338.0,23274.99,23401.01,23274.99,7.462,0.27,0.27,2.78,1,1.0,-4.91,0.075,1.0677135,TAKER
01/05/2023 00:00:00,19/06/2023 18:21:48,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,185.86,0.04,02/05/2023 00:00:00,02/05/2023 20:00:00,01/05/2023 04:00:00,STOP_LOSS_HIT,LONG,28575.0,28482.18,28667.83,28482.18,6.15,0.32,0.33,2.86,2,1.0,-4.57,0.075,0.85725,TAKER
20/12/2022 16:00:00,19/06/2023 18:21:49,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,181.29,0.031,22/12/2022 12:00:00,22/12/2022 12:00:00,21/12/2022 04:00:00,STOP_LOSS_HIT,LONG,16907.0,16789.95,17024.05,16789.95,2.891,0.69,0.7,3.24,2,1.0,-4.02,0.075,0.39308774999999996,TAKER
03/10/2022 20:00:00,19/06/2023 18:21:49,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,177.27,0.027,04/10/2022 08:00:00,05/10/2022 16:00:00,04/10/2022 04:00:00,TAKE_PROFIT_HIT,LONG,19629.0,19761.23,19761.23,19496.77,2.99,0.67,0.68,3.17,2,1.0,3.17,0.075,0.39748724999999996,TAKER
28/05/2023 20:00:00,19/06/2023 18:21:49,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,180.44,0.027,30/05/2023 16:00:00,30/05/2023 16:00:00,29/05/2023 00:00:00,STOP_LOSS_HIT,LONG,28085.0,27948.9,28221.1,27948.9,4.202,0.48,0.49,3.11,2,1.0,-4.24,0.075,0.56872125,TAKER
10/07/2022 00:00:00,19/06/2023 18:21:49,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,176.2,0.049,10/07/2022 08:00:00,11/07/2022 20:00:00,10/07/2022 04:00:00,TAKE_PROFIT_HIT,SHORT,21286.0,21214.17,21214.17,21357.83,5.919,0.34,0.34,2.74,2,1.0,2.74,0.075,0.7822605,TAKER
25/08/2022 04:00:00,19/06/2023 18:21:49,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,178.94,0.036,27/08/2022 00:00:00,27/08/2022 00:00:00,25/08/2022 08:00:00,STOP_LOSS_HIT,LONG,21740.0,21640.71,21839.29,21640.71,4.374,0.45,0.46,2.99,2,1.0,-4.16,0.075,0.58698,TAKER
19/07/2022 08:00:00,19/06/2023 18:21:49,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,174.78,0.049,20/07/2022 08:00:00,21/07/2022 04:00:00,19/07/2022 12:00:00,TAKE_PROFIT_HIT,LONG,21981.0,22052.83,22052.83,21909.17,6.162,0.33,0.33,2.71,2,1.0,2.71,0.075,0.80780175,TAKER
16/08/2022 20:00:00,19/06/2023 18:21:50,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,177.49,0.057,17/08/2022 00:00:00,18/08/2022 16:00:00,17/08/2022 00:00:00,TAKE_PROFIT_HIT,LONG,23869.0,23931.24,23931.24,23806.76,7.665,0.26,0.26,2.53,1,1.0,2.53,0.075,1.0203997500000002,TAKER
20/07/2022 04:00:00,19/06/2023 18:21:50,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,180.02,0.034,21/07/2022 04:00:00,22/07/2022 00:00:00,20/07/2022 08:00:00,TAKE_PROFIT_HIT,LONG,23388.0,23495.16,23495.16,23280.84,4.417,0.46,0.46,3.05,2,1.0,3.05,0.075,0.596394,TAKER
30/01/2023 08:00:00,19/06/2023 18:21:50,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,183.07,0.018,31/01/2023 20:00:00,01/02/2023 04:00:00,30/01/2023 12:00:00,TAKE_PROFIT_HIT,LONG,23085.0,23287.67,23287.67,22882.34,2.27,0.87,0.89,3.34,2,1.0,3.34,0.075,0.31164749999999997,TAKER
13/01/2023 12:00:00,19/06/2023 18:21:50,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,186.41,0.044,15/01/2023 12:00:00,15/01/2023 08:00:00,13/01/2023 16:00:00,STOP_LOSS_HIT,LONG,19272.0,19187.56,19356.44,19187.56,4.549,0.44,0.44,3.08,2,1.0,-4.35,0.075,0.6359759999999999,TAKER
02/12/2022 12:00:00,19/06/2023 18:21:50,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,182.06,0.085,04/12/2022 04:00:00,04/12/2022 08:00:00,02/12/2022 16:00:00,TAKE_PROFIT_HIT,LONG,16945.0,16987.91,16987.91,16902.09,7.911,0.25,0.25,2.57,1,1.0,2.57,0.075,1.0802437500000002,TAKER
11/01/2023 20:00:00,19/06/2023 18:21:51,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,184.63,0.021,13/01/2023 12:00:00,13/01/2023 16:00:00,12/01/2023 00:00:00,TAKE_PROFIT_HIT,LONG,17949.0,18125.45,18125.45,17772.55,2.042,0.97,0.99,3.42,2,1.0,3.42,0.075,0.28269675000000005,TAKER
02/02/2023 00:00:00,19/06/2023 18:21:52,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,188.05,0.021,02/02/2023 08:00:00,03/02/2023 20:00:00,02/02/2023 04:00:00,STOP_LOSS_HIT,LONG,23863.0,23684.19,24041.81,23684.19,2.665,0.74,0.75,3.38,2,1.0,-4.13,0.075,0.37584225000000004,TAKER
08/02/2023 04:00:00,19/06/2023 18:21:52,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,183.92,0.057,08/02/2023 12:00:00,10/02/2023 00:00:00,08/02/2023 08:00:00,STOP_LOSS_HIT,LONG,23229.0,23164.68,23293.33,23164.68,7.199,0.28,0.28,2.67,1,1.0,-4.66,0.075,0.9930397500000001,TAKER
14/02/2023 20:00:00,19/06/2023 18:21:52,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,179.26,0.025,15/02/2023 12:00:00,16/02/2023 16:00:00,15/02/2023 00:00:00,STOP_LOSS_HIT,LONG,22214.0,22071.66,22356.34,22071.66,3.098,0.64,0.64,3.14,2,1.0,-3.98,0.075,0.41651249999999995,TAKER
02/04/2023 08:00:00,19/06/2023 18:21:53,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,175.28,0.018,04/04/2023 08:00:00,04/04/2023 04:00:00,02/04/2023 12:00:00,STOP_LOSS_HIT,LONG,28377.0,28186.18,28567.82,28186.18,2.914,0.67,0.68,3.05,2,1.0,-3.82,0.075,0.38308949999999997,TAKER
02/09/2022 04:00:00,19/06/2023 18:21:53,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,171.46,0.025,03/09/2022 12:00:00,04/09/2022 00:00:00,02/09/2022 12:00:00,STOP_LOSS_HIT,SHORT,20112.0,20249.84,19974.16,20249.84,2.932,0.69,0.68,3.07,2,1.0,-3.82,0.075,0.3771,TAKER
14/02/2023 16:00:00,19/06/2023 18:21:53,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,167.64,0.038,15/02/2023 12:00:00,16/02/2023 12:00:00,15/02/2023 00:00:00,STOP_LOSS_HIT,LONG,22212.0,22123.15,22300.85,22123.15,5.035,0.4,0.4,2.74,2,1.0,-4.01,0.075,0.633042,TAKER
04/08/2022 12:00:00,19/06/2023 18:21:53,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,163.63,0.026,06/08/2022 12:00:00,06/08/2022 08:00:00,04/08/2022 16:00:00,STOP_LOSS_HIT,LONG,22929.0,22802.54,23055.46,22802.54,3.643,0.55,0.55,2.84,2,1.0,-3.74,0.075,0.44711549999999994,TAKER
01/12/2022 04:00:00,19/06/2023 18:21:53,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,159.89,0.024,03/12/2022 04:00:00,03/12/2022 00:00:00,01/12/2022 12:00:00,STOP_LOSS_HIT,LONG,17076.0,16940.17,17211.83,16940.17,2.563,0.79,0.8,2.95,2,1.0,-3.57,0.075,0.307368,TAKER
28/04/2023 00:00:00,19/06/2023 18:21:53,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,156.32,0.008,29/04/2023 16:00:00,29/04/2023 20:00:00,28/04/2023 12:00:00,STOP_LOSS_HIT,LONG,29409.0,29024.43,29793.57,29024.43,1.505,1.29,1.32,2.9,2,1.0,-3.25,0.075,0.176454,TAKER
04/11/2022 16:00:00,19/06/2023 18:21:54,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,153.07,0.033,05/11/2022 12:00:00,06/11/2022 12:00:00,04/11/2022 20:00:00,TAKE_PROFIT_HIT,LONG,21107.0,21200.1,21200.1,21013.9,4.55,0.44,0.44,2.55,2,1.0,2.55,0.075,0.5223982500000001,TAKER
28/07/2022 00:00:00,19/06/2023 18:21:54,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,155.62,0.019,28/07/2022 08:00:00,29/07/2022 20:00:00,28/07/2022 04:00:00,STOP_LOSS_HIT,LONG,23126.0,22963.59,23288.41,22963.59,2.824,0.7,0.71,2.76,2,1.0,-3.42,0.075,0.3295455,TAKER
13/08/2022 08:00:00,19/06/2023 18:21:54,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,152.2,0.031,13/08/2022 16:00:00,15/08/2022 04:00:00,13/08/2022 12:00:00,STOP_LOSS_HIT,LONG,24453.0,24355.94,24550.06,24355.94,4.981,0.4,0.4,2.44,2,1.0,-3.58,0.075,0.5685322500000001,TAKER
15/08/2022 04:00:00,19/06/2023 18:21:54,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,148.62,0.02,17/08/2022 00:00:00,17/08/2022 00:00:00,15/08/2022 08:00:00,TAKE_PROFIT_HIT,LONG,24020.0,24165.03,24165.03,23874.97,3.232,0.6,0.61,2.54,2,1.0,2.54,0.075,0.3603,TAKER
26/04/2023 16:00:00,19/06/2023 18:21:55,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,151.16,0.038,27/04/2023 12:00:00,28/04/2023 12:00:00,26/04/2023 20:00:00,STOP_LOSS_HIT,LONG,27885.0,27805.91,27964.09,27805.91,7.01,0.28,0.28,2.21,1,1.0,-3.8,0.075,0.7947224999999999,TAKER
