Open,Last update,Platform,Symbol,Timeframe,Account balance at open,Size,Expected close,Expiry,Close,Status,Side,Opening price,Closing price,Take profit,Stop loss,Leverage,TP price %,SL price %,Expected profit,Risk %,R/R ratio,PnL,Fee %,Fee Amount,Order Type
30/03/2023 08:00:00,20/06/2023 09:27:15,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,200.0,0.011,30/03/2023 16:00:00,31/03/2023 04:00:00,30/03/2023 12:00:00,TAKE_PROFIT_HIT,SHORT,28669.0,28301.95,28301.95,29036.05,1.577,1.3,1.26,3.8,2,1.0,3.8,0.075,0.23651925,TAKER
27/02/2023 04:00:00,20/06/2023 09:27:15,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,203.8,0.005,27/02/2023 12:00:00,28/02/2023 00:00:00,28/02/2023 00:00:00,EXPIRED,LONG,23434.0,23462.0,24325.71,22542.29,0.575,3.67,3.96,4.37,2,1.0,0.05,0.075,0.0878775,TAKER
25/08/2022 08:00:00,20/06/2023 09:27:15,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,203.85,0.011,25/08/2022 12:00:00,26/08/2022 04:00:00,26/08/2022 04:00:00,STOP_LOSS_HIT,LONG,21725.0,21347.97,22102.03,21347.97,1.172,1.71,1.77,3.97,2,1.0,-4.33,0.075,0.17923124999999998,TAKER
29/04/2023 00:00:00,20/06/2023 09:27:15,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,199.52,0.005,29/04/2023 20:00:00,29/04/2023 20:00:00,29/04/2023 20:00:00,EXPIRED,LONG,29378.0,29247.0,30192.84,28563.17,0.736,2.7,2.85,3.96,2,1.0,-0.77,0.075,0.1101675,TAKER
11/09/2022 08:00:00,20/06/2023 09:27:15,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,198.75,0.011,12/09/2022 04:00:00,12/09/2022 04:00:00,12/09/2022 00:00:00,TAKE_PROFIT_HIT,LONG,21624.0,21993.93,21993.93,21254.07,1.197,1.68,1.74,3.89,2,1.0,3.89,0.075,0.17839799999999997,TAKER
14/04/2023 04:00:00,20/06/2023 09:27:15,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,202.64,0.011,14/04/2023 08:00:00,15/04/2023 00:00:00,14/04/2023 12:00:00,STOP_LOSS_HIT,LONG,30775.0,30390.45,31159.56,30390.45,1.671,1.23,1.27,3.98,2,1.0,-4.48,0.075,0.25389375,TAKER
08/02/2023 08:00:00,20/06/2023 09:27:15,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,198.16,0.008,09/02/2023 08:00:00,09/02/2023 04:00:00,09/02/2023 00:00:00,TAKE_PROFIT_HIT,SHORT,23158.0,22659.86,22659.86,23656.14,0.935,2.2,2.11,3.85,2,1.0,3.85,0.075,0.138948,TAKER
12/04/2023 12:00:00,20/06/2023 09:27:15,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,202.01,0.01,12/04/2023 16:00:00,13/04/2023 08:00:00,13/04/2023 08:00:00,STOP_LOSS_HIT,SHORT,29982.0,30374.21,29589.79,30374.21,1.484,1.33,1.29,3.7,2,1.0,-4.15,0.075,0.22486499999999998,TAKER
15/02/2023 04:00:00,20/06/2023 09:27:15,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,197.86,0.012,16/02/2023 04:00:00,16/02/2023 00:00:00,15/02/2023 08:00:00,TAKE_PROFIT_HIT,LONG,22128.0,22467.62,22467.62,21788.38,1.342,1.51,1.56,3.88,2,1.0,3.88,0.075,0.199152,TAKER
14/06/2023 00:00:00,20/06/2023 09:27:15,Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,FOUR_HOUR,201.74,0.012,14/06/2023 16:00:00,14/06/2023 20:00:00,14/06/2023 20:00:00,STOP_LOSS_HIT,LONG,25982.0,25651.29,26312.71,25651.29,1.545,1.26,1.29,3.73,2,1.0,-4.2,0.075,0.23383799999999996,TAKER
