Open,Last update,Platform,Symbol,Timeframe,Account balance at open,Size,Expected close,Expiry,Close,Status,Side,Opening price,Closing price,Take profit,Stop loss,Leverage,TP price %,SL price %,Expected profit,Risk %,R/R ratio,PnL,Fee %,Fee Amount,Order Type
19/10/2022 23:00:00,19/06/2023 18:21:37,DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,HOUR,200.0,0.074,20/10/2022 06:00:00,20/10/2022 06:00:00,20/10/2022 00:00:00,STOP_LOSS_HIT,LONG,19128.0,19073.68,19182.32,19073.68,7.077,0.28,0.28,2.96,1,1.0,-5.08,0.075,1.061604,TAKER
04/07/2022 14:00:00,19/06/2023 18:21:37,DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,HOUR,194.92,0.085,04/07/2022 19:00:00,04/07/2022 21:00:00,04/07/2022 15:00:00,STOP_LOSS_HIT,SHORT,19594.0,19640.12,19547.88,19640.12,8.544,0.24,0.23,2.67,1,1.0,-5.17,0.075,1.2491174999999999,TAKER
07/07/2022 10:00:00,19/06/2023 18:21:37,DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,HOUR,189.75,0.044,07/07/2022 14:00:00,07/07/2022 17:00:00,07/07/2022 12:00:00,STOP_LOSS_HIT,LONG,20485.0,20398.22,20571.78,20398.22,4.75,0.42,0.43,3.14,2,1.0,-4.49,0.075,0.676005,TAKER
18/03/2023 04:00:00,19/06/2023 18:21:37,DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,HOUR,185.26,0.033,18/03/2023 12:00:00,18/03/2023 11:00:00,18/03/2023 05:00:00,STOP_LOSS_HIT,SHORT,27402.0,27514.25,27289.76,27514.25,4.881,0.41,0.41,3.03,2,1.0,-4.38,0.075,0.6781995000000001,TAKER
18/07/2022 04:00:00,19/06/2023 18:21:37,DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,HOUR,180.88,0.019,18/07/2022 08:00:00,18/07/2022 11:00:00,18/07/2022 05:00:00,TAKE_PROFIT_HIT,LONG,21281.0,21476.4,21476.4,21085.6,2.235,0.91,0.93,3.41,2,1.0,3.41,0.075,0.30325425,TAKER
10/04/2023 23:00:00,19/06/2023 18:21:37,DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,HOUR,184.29,0.038,11/04/2023 01:00:00,11/04/2023 06:00:00,11/04/2023 03:00:00,TAKE_PROFIT_HIT,LONG,29654.0,29751.64,29751.64,29556.36,6.115,0.33,0.33,2.87,2,1.0,2.87,0.075,0.845139,TAKER
29/10/2022 07:00:00,19/06/2023 18:21:37,DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,HOUR,187.16,0.019,29/10/2022 10:00:00,29/10/2022 14:00:00,29/10/2022 08:00:00,TAKE_PROFIT_HIT,LONG,20775.0,20972.07,20972.07,20577.93,2.109,0.94,0.96,3.45,2,1.0,3.45,0.075,0.29604375,TAKER
18/10/2022 12:00:00,19/06/2023 18:21:38,DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,HOUR,190.61,0.023,18/10/2022 20:00:00,18/10/2022 19:00:00,18/10/2022 14:00:00,STOP_LOSS_HIT,LONG,19637.0,19471.98,19802.03,19471.98,2.37,0.83,0.85,3.46,2,1.0,-4.13,0.075,0.33873824999999996,TAKER
11/04/2023 13:00:00,19/06/2023 18:21:38,DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,HOUR,186.48,0.044,11/04/2023 19:00:00,11/04/2023 20:00:00,11/04/2023 14:00:00,STOP_LOSS_HIT,LONG,30260.0,30175.1,30344.91,30175.1,7.14,0.28,0.28,2.74,1,1.0,-4.73,0.075,0.9985799999999999,TAKER
14/01/2023 00:00:00,19/06/2023 18:21:38,DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,HOUR,181.75,0.037,14/01/2023 08:00:00,14/01/2023 07:00:00,14/01/2023 01:00:00,STOP_LOSS_HIT,SHORT,20896.0,20994.77,20797.24,20994.77,4.254,0.47,0.47,3.07,2,1.0,-4.23,0.075,0.5798639999999999,TAKER
20/05/2023 15:00:00,19/06/2023 18:21:38,DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,HOUR,177.52,0.015,20/05/2023 18:00:00,20/05/2023 22:00:00,20/05/2023 22:00:00,EXPIRED,LONG,26951.0,27081.0,27192.21,26709.8,2.277,0.89,0.9,3.31,2,1.0,1.65,0.075,0.30319874999999996,TAKER
13/04/2023 23:00:00,19/06/2023 18:21:38,DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,HOUR,179.17,0.027,14/04/2023 06:00:00,14/04/2023 06:00:00,14/04/2023 03:00:00,TAKE_PROFIT_HIT,LONG,30413.0,30545.87,30545.87,30280.13,4.583,0.43,0.44,2.97,2,1.0,2.97,0.075,0.61586325,TAKER
29/04/2023 06:00:00,19/06/2023 18:21:38,DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,HOUR,182.14,0.043,29/04/2023 09:00:00,29/04/2023 13:00:00,29/04/2023 13:00:00,EXPIRED,LONG,29342.0,29404.0,29425.96,29258.04,6.927,0.29,0.29,2.66,1,1.0,1.72,0.075,0.9462794999999998,TAKER
23/08/2022 06:00:00,19/06/2023 18:21:38,DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,HOUR,183.86,0.074,23/08/2022 12:00:00,23/08/2022 13:00:00,23/08/2022 07:00:00,TAKE_PROFIT_HIT,LONG,21081.0,21130.89,21130.89,21031.11,8.485,0.24,0.24,2.52,1,1.0,2.52,0.075,1.1699954999999997,TAKER
04/10/2022 02:00:00,19/06/2023 18:21:38,DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,HOUR,186.38,0.027,04/10/2022 09:00:00,04/10/2022 09:00:00,04/10/2022 06:00:00,TAKE_PROFIT_HIT,LONG,19549.0,19688.36,19688.36,19409.64,2.832,0.71,0.72,3.37,2,1.0,3.37,0.075,0.39586724999999995,TAKER
01/11/2022 06:00:00,19/06/2023 18:21:38,DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,HOUR,189.75,0.019,01/11/2022 11:00:00,01/11/2022 13:00:00,01/11/2022 13:00:00,STOP_LOSS_HIT,LONG,20619.0,20415.05,20822.96,20415.05,2.065,0.98,1.0,3.58,2,1.0,-4.17,0.075,0.29382074999999996,TAKER
31/01/2023 22:00:00,19/06/2023 18:21:38,DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,HOUR,185.58,0.021,01/02/2023 05:00:00,01/02/2023 05:00:00,01/02/2023 00:00:00,STOP_LOSS_HIT,LONG,23198.0,23018.07,23377.94,23018.07,2.625,0.77,0.78,3.41,2,1.0,-4.14,0.075,0.3653685,TAKER
09/07/2022 15:00:00,19/06/2023 18:21:38,DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,HOUR,181.44,0.065,09/07/2022 19:00:00,09/07/2022 22:00:00,09/07/2022 16:00:00,TAKE_PROFIT_HIT,LONG,21543.0,21598.68,21598.68,21487.32,7.718,0.26,0.26,2.57,1,1.0,2.57,0.075,1.05022125,TAKER
22/01/2023 01:00:00,19/06/2023 18:21:38,DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,HOUR,184.01,0.058,22/01/2023 07:00:00,22/01/2023 08:00:00,22/01/2023 02:00:00,STOP_LOSS_HIT,LONG,22800.0,22736.94,22863.06,22736.94,7.187,0.28,0.28,2.67,1,1.0,-4.65,0.075,0.9918,TAKER
29/04/2023 06:00:00,19/06/2023 18:21:38,DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,HOUR,179.36,0.043,29/04/2023 09:00:00,29/04/2023 13:00:00,29/04/2023 13:00:00,EXPIRED,LONG,29342.0,29404.0,29425.96,29258.04,7.034,0.29,0.29,2.66,1,1.0,1.72,0.075,0.9462794999999998,TAKER
20/05/2023 16:00:00,19/06/2023 18:21:38,DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,HOUR,181.08,0.044,20/05/2023 18:00:00,20/05/2023 23:00:00,20/05/2023 17:00:00,TAKE_PROFIT_HIT,LONG,26929.0,27010.52,27010.52,26847.49,6.543,0.3,0.3,2.7,1,1.0,2.7,0.075,0.8886569999999999,TAKER
12/07/2022 19:00:00,19/06/2023 18:21:38,DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,HOUR,183.78,0.035,13/07/2022 01:00:00,13/07/2022 02:00:00,12/07/2022 20:00:00,TAKE_PROFIT_HIT,LONG,19372.0,19478.4,19478.4,19265.6,3.689,0.55,0.55,3.22,2,1.0,3.22,0.075,0.508515,TAKER
27/12/2022 10:00:00,19/06/2023 18:21:38,DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,HOUR,187.0,0.072,27/12/2022 11:00:00,27/12/2022 17:00:00,27/12/2022 12:00:00,STOP_LOSS_HIT,LONG,16862.0,16810.25,16913.75,16810.25,6.492,0.31,0.31,2.82,2,1.0,-4.64,0.075,0.9105479999999999,TAKER
16/06/2023 09:00:00,19/06/2023 18:21:38,DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,HOUR,182.36,0.027,16/06/2023 12:00:00,16/06/2023 16:00:00,16/06/2023 14:00:00,STOP_LOSS_HIT,LONG,25577.0,25441.33,25712.67,25441.33,3.787,0.53,0.53,3.15,2,1.0,-4.18,0.075,0.5179342499999999,TAKER
22/12/2022 06:00:00,19/06/2023 18:21:38,DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,HOUR,178.18,0.033,22/12/2022 12:00:00,22/12/2022 13:00:00,22/12/2022 13:00:00,EXPIRED,SHORT,16816.0,16774.0,16708.18,16923.82,3.114,0.65,0.64,3.14,2,1.0,0.97,0.075,0.416196,TAKER
26/09/2022 17:00:00,19/06/2023 18:21:38,DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,HOUR,179.15,0.03,27/09/2022 01:00:00,27/09/2022 00:00:00,26/09/2022 19:00:00,TAKE_PROFIT_HIT,LONG,19105.0,19222.57,19222.57,18987.43,3.199,0.61,0.62,3.1,2,1.0,3.1,0.075,0.4298625,TAKER
24/03/2023 05:00:00,19/06/2023 18:21:39,DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,HOUR,182.25,0.036,24/03/2023 13:00:00,24/03/2023 12:00:00,24/03/2023 07:00:00,TAKE_PROFIT_HIT,SHORT,28324.0,28221.38,28221.38,28426.62,5.595,0.36,0.36,2.93,2,1.0,2.93,0.075,0.7647479999999999,TAKER
01/01/2023 18:00:00,19/06/2023 18:21:39,DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,HOUR,185.18,0.044,02/01/2023 02:00:00,02/01/2023 01:00:00,02/01/2023 01:00:00,EXPIRED,SHORT,16593.0,16566.0,16507.96,16678.05,3.943,0.52,0.51,3.19,2,1.0,0.64,0.075,0.547569,TAKER
