Open,Last update,Platform,Symbol,Timeframe,Account balance at open,Size,Expected close,Expiry,Close,Status,Side,Opening price,Closing price,Take profit,Stop loss,Leverage,TP price %,SL price %,Expected profit,Risk %,R/R ratio,PnL,Fee %,Fee Amount,Order Type
20/01/2023 00:00:00,19/06/2023 18:22:00,Upscale-Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,WEEK,200.0,0.003,17/03/2023 00:00:00,10/03/2023 00:00:00,10/02/2023 00:00:00,STOP_LOSS_HIT,LONG,23013.0,21483.15,24542.85,21483.15,0.345,6.23,7.12,4.54,2,1.0,-4.64,0.075,0.05177925,TAKER
20/01/2023 00:00:00,19/06/2023 18:22:00,Upscale-Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,WEEK,195.36,0.003,17/03/2023 00:00:00,10/03/2023 00:00:00,10/02/2023 00:00:00,STOP_LOSS_HIT,LONG,23013.0,21483.15,24542.85,21483.15,0.353,6.23,7.12,4.54,2,1.0,-4.64,0.075,0.05177925,TAKER
03/03/2023 00:00:00,19/06/2023 18:22:00,Upscale-Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,WEEK,190.72,0.007,21/04/2023 00:00:00,21/04/2023 00:00:00,10/03/2023 00:00:00,STOP_LOSS_HIT,SHORT,20290.0,20826.59,19753.41,20826.59,0.745,2.72,2.58,3.65,2,1.0,-3.86,0.075,0.1065225,TAKER
24/02/2023 00:00:00,19/06/2023 18:22:00,Upscale-Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,WEEK,186.86,0.005,21/04/2023 00:00:00,14/04/2023 00:00:00,03/03/2023 00:00:00,TAKE_PROFIT_HIT,SHORT,23468.0,22644.06,22644.06,24291.94,0.628,3.64,3.39,4.03,2,1.0,4.03,0.075,0.088005,TAKER
03/03/2023 00:00:00,19/06/2023 18:22:00,Upscale-Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,WEEK,190.89,0.007,21/04/2023 00:00:00,21/04/2023 00:00:00,10/03/2023 00:00:00,STOP_LOSS_HIT,SHORT,20290.0,20826.59,19753.41,20826.59,0.744,2.72,2.58,3.65,2,1.0,-3.86,0.075,0.1065225,TAKER
20/01/2023 00:00:00,19/06/2023 18:22:00,Upscale-Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,WEEK,187.03,0.002,17/03/2023 00:00:00,10/03/2023 00:00:00,10/02/2023 00:00:00,STOP_LOSS_HIT,LONG,23013.0,21483.15,24542.85,21483.15,0.246,6.23,7.12,3.03,2,1.0,-3.09,0.075,0.0345195,TAKER
03/03/2023 00:00:00,19/06/2023 18:22:00,Upscale-Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,WEEK,183.94,0.007,21/04/2023 00:00:00,21/04/2023 00:00:00,10/03/2023 00:00:00,STOP_LOSS_HIT,SHORT,20290.0,20826.59,19753.41,20826.59,0.772,2.72,2.58,3.65,2,1.0,-3.86,0.075,0.1065225,TAKER
24/03/2023 00:00:00,19/06/2023 18:22:00,Upscale-Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,WEEK,180.08,0.001,19/05/2023 00:00:00,12/05/2023 00:00:00,12/05/2023 00:00:00,EXPIRED,LONG,27941.0,26831.0,31954.41,23927.59,0.155,12.56,16.77,3.99,2,1.0,-1.13,0.075,0.02095575,TAKER
24/03/2023 00:00:00,19/06/2023 18:22:00,Upscale-Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,WEEK,178.95,0.001,19/05/2023 00:00:00,12/05/2023 00:00:00,12/05/2023 00:00:00,EXPIRED,LONG,27941.0,26831.0,31954.41,23927.59,0.156,12.56,16.77,3.99,2,1.0,-1.13,0.075,0.02095575,TAKER
20/01/2023 00:00:00,19/06/2023 18:22:00,Upscale-Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,WEEK,177.82,0.002,17/03/2023 00:00:00,10/03/2023 00:00:00,10/02/2023 00:00:00,STOP_LOSS_HIT,LONG,23013.0,21483.15,24542.85,21483.15,0.259,6.23,7.12,3.03,2,1.0,-3.09,0.075,0.0345195,TAKER
27/01/2023 00:00:00,19/06/2023 18:22:00,Upscale-Upscale-DUMMY_Gemini_BTCUSD_1h_01_07_22_to_16_06_23.csv,BTC_USD,WEEK,174.73,0.001,24/03/2023 00:00:00,17/03/2023 00:00:00,03/03/2023 00:00:00,STOP_LOSS_HIT,LONG,23487.0,19907.36,27066.64,19907.36,0.134,13.23,17.98,3.56,2,1.0,-3.6,0.075,0.01761525,TAKER
