Dummy Trades Date Time,Data.ser version name,CSV Trades History file name,Dummy Trades Summary CSV file name,Symbol,Timeframe,Match Score Smoothing,Match Score Threshold,Price Variation Threshold,Extrapolate Price Variation,Extrapolate Match Score,Pattern Autoconfig,Computation Autoconfig,Computation Type,Computation Pattern Type,Atomic Partition,Scope,Full Scope,Pattern Length,Pattern Granularity,Reward to Risk ratio,Risk Percentage,Trading Price Variation Threshold,Price Variation Multiplier,SL_TP Strategy,Max Trades,Trades Result,Initial Account Balance,Target Account Balance,Final Account Balance,Minimum Account Balance,Number of Trades performed,Number of Longs,Number of Shorts,Number of Useless Trades,Used to Useless Trade ratio,Total PnL,Long PnL,Short PnL,Total Win to Loss ratio,Long Win to Loss ratio,Short Win to Loss ratio,Average Total PnL,Average Long PnL,Average Short PnL,Average Total Return,Average Long Return,Average Short Return,Profit Factor,Profit Factor Qualification
15/06/2023 18:30:07,15/06/2023 18:11:43,Dummy Trade Account_BTC_USD_DAY_2023.06.15_18.30.07_RICH,dummy_trades_summary,BTC_USD,DAY,LINEAR,30,3.0,false,false,TIMEFRAME,DEFAULT,BASIC_ITERATION,LIGHT_PREDICTIVE,true,7,true,14,100,3.0,2,0.0,2,BASIC_RR,1500,RICH,100000.0,200000.0,207205.71,50000.0,96,69,27,105,0.91,107205.71,76456.12,30749.59,0.55,0.57,0.57,1116.73,1108.06,1138.87,80.0,62.0,18.0,1.66,GOOD
15/06/2023 18:37:22,15/06/2023 18:11:43,Dummy Trade Account_BTC_USD_HOUR_2023.06.15_18.37.22_NEUTRAL,dummy_trades_summary,BTC_USD,HOUR,LINEAR,30,3.0,false,false,TIMEFRAME,DEFAULT,BASIC_ITERATION,LIGHT_PREDICTIVE,true,4,true,8,100,3.0,2,0.0,2,BASIC_RR,1500,NEUTRAL,100000.0,200000.0,58188.14,50000.0,1500,1170,330,1472,1.02,-41811.86,-81523.27,39711.41,0.72,0.72,0.72,-27.87,-69.68,120.34,-19.51,-70.91,51.4,0.96,BAD
15/06/2023 18:39:27,15/06/2023 18:11:43,Dummy Trade Account_BTC_USD_WEEK_2023.06.15_18.39.27_RICH,dummy_trades_summary,BTC_USD,WEEK,LINEAR,30,3.0,false,false,TIMEFRAME,DEFAULT,BASIC_ITERATION,LIGHT_PREDICTIVE,true,4,true,8,100,3.0,2,0.0,2,BASIC_RR,1500,RICH,100000.0,200000.0,203338.18,50000.0,80,59,21,31,2.58,103338.18,57506.81,45831.37,0.63,0.59,0.59,1291.73,974.69,2182.45,76.84,46.84,30.0,1.83,GOOD
15/06/2023 18:39:28,15/06/2023 18:11:43,Dummy Trade Account_BTC_USD_FOUR_HOUR_2023.06.15_18.39.28_RICH,dummy_trades_summary,BTC_USD,FOUR_HOUR,LINEAR,30,3.0,false,false,TIMEFRAME,DEFAULT,BASIC_ITERATION,LIGHT_PREDICTIVE,true,6,true,12,100,3.0,2,0.0,2,BASIC_RR,1500,RICH,100000.0,200000.0,205591.0,50000.0,114,86,28,171,0.67,105591.0,46101.8,59489.2,0.63,0.56,0.56,926.24,536.07,2124.61,79.3,38.87,40.43,1.56,GOOD
15/06/2023 18:39:29,15/06/2023 18:11:43,Dummy Trade Account_BTC_USD_DAY_2023.06.15_18.39.29_RICH,dummy_trades_summary,BTC_USD,DAY,LINEAR,30,3.0,false,false,TIMEFRAME,DEFAULT,BASIC_ITERATION,LIGHT_PREDICTIVE,true,7,true,14,100,3.0,2,0.0,2,BASIC_RR,1500,RICH,100000.0,200000.0,207104.47,50000.0,132,95,37,133,0.99,107104.47,73588.67,33515.8,0.52,0.51,0.51,811.4,774.62,905.83,81.87,51.87,30.0,1.51,GOOD
15/06/2023 18:39:31,15/06/2023 18:11:43,Dummy Trade Account_BTC_USD_HOUR_2023.06.15_18.39.31_RICH,dummy_trades_summary,BTC_USD,HOUR,LINEAR,30,3.0,false,false,TIMEFRAME,DEFAULT,BASIC_ITERATION,LIGHT_PREDICTIVE,true,4,true,8,100,3.0,2,0.0,2,BASIC_RR,1500,RICH,100000.0,200000.0,201491.96,50000.0,100,76,24,93,1.08,101491.96,91889.67,9602.29,1.44,1.71,1.71,1014.92,1209.07,400.1,72.96,62.04,10.92,2.41,IDEAL
15/06/2023 18:52:25,15/06/2023 18:11:43,Dummy Trade Account_BTC_USD_HOUR_2023.06.15_18.52.25_RICH,dummy_trades_summary,BTC_USD,HOUR,LINEAR,30,3.0,false,false,TIMEFRAME,DEFAULT,BASIC_ITERATION,LIGHT_PREDICTIVE,true,4,true,8,100,3.0,2,0.0,2,BASIC_RR,1500,RICH,100000.0,200000.0,201195.3,50000.0,955,764,191,1024,0.93,101195.3,56220.95,44974.35,0.83,0.82,0.82,105.96,73.59,235.47,92.05,32.95,59.1,1.14,RISKY
15/06/2023 18:52:26,15/06/2023 18:11:43,Dummy Trade Account_BTC_USD_WEEK_2023.06.15_18.52.26_RICH,dummy_trades_summary,BTC_USD,WEEK,LINEAR,30,3.0,false,false,TIMEFRAME,DEFAULT,BASIC_ITERATION,LIGHT_PREDICTIVE,true,4,true,8,100,3.0,2,0.0,2,BASIC_RR,1500,RICH,100000.0,200000.0,203543.75,50000.0,150,117,33,79,1.9,103543.75,61806.91,41736.84,0.49,0.44,0.44,690.29,528.26,1264.75,81.12,43.12,38.0,1.4,GOOD
15/06/2023 18:52:27,15/06/2023 18:11:43,Dummy Trade Account_BTC_USD_FOUR_HOUR_2023.06.15_18.52.27_RICH,dummy_trades_summary,BTC_USD,FOUR_HOUR,LINEAR,30,3.0,false,false,TIMEFRAME,DEFAULT,BASIC_ITERATION,LIGHT_PREDICTIVE,true,6,true,12,100,3.0,2,0.0,2,BASIC_RR,1500,RICH,100000.0,200000.0,204156.24,50000.0,205,147,58,342,0.6,104156.24,-33805.35,137961.59,0.51,0.34,0.34,508.08,-229.97,2378.65,83.6,-36.2,119.8,1.36,GOOD
15/06/2023 18:52:28,15/06/2023 18:11:43,Dummy Trade Account_BTC_USD_DAY_2023.06.15_18.52.28_RICH,dummy_trades_summary,BTC_USD,DAY,LINEAR,30,3.0,false,false,TIMEFRAME,DEFAULT,BASIC_ITERATION,LIGHT_PREDICTIVE,true,7,true,14,100,3.0,2,0.0,2,BASIC_RR,1500,RICH,100000.0,200000.0,211839.74,50000.0,111,79,32,105,1.06,111839.74,90060.13,21779.61,0.54,0.58,0.58,1007.57,1140.0,680.61,83.0,67.0,16.0,1.59,GOOD
15/06/2023 18:57:04,15/06/2023 18:11:43,Dummy Trade Account_BTC_USD_WEEK_2023.06.15_18.57.04_RICH,dummy_trades_summary,BTC_USD,WEEK,LINEAR,30,3.0,false,false,TIMEFRAME,DEFAULT,BASIC_ITERATION,LIGHT_PREDICTIVE,true,4,true,8,100,3.0,2,0.0,2,BASIC_RR,1500,RICH,100000.0,200000.0,200660.05,50000.0,135,107,28,60,2.25,100660.05,109199.09,-8539.04,0.52,0.6,0.6,745.63,1020.55,-304.97,78.6,86.6,-8.0,1.49,GOOD
15/06/2023 18:57:05,15/06/2023 18:11:43,Dummy Trade Account_BTC_USD_FOUR_HOUR_2023.06.15_18.57.05_RICH,dummy_trades_summary,BTC_USD,FOUR_HOUR,LINEAR,30,3.0,false,false,TIMEFRAME,DEFAULT,BASIC_ITERATION,LIGHT_PREDICTIVE,true,6,true,12,100,3.0,2,0.0,2,BASIC_RR,1500,RICH,100000.0,200000.0,206660.67,50000.0,132,103,29,278,0.47,106660.67,117329.4,-10668.73,0.69,0.84,0.84,808.04,1139.12,-367.89,80.39,89.33,-8.94,1.48,GOOD
15/06/2023 18:57:07,15/06/2023 18:11:43,Dummy Trade Account_BTC_USD_DAY_2023.06.15_18.57.07_RICH,dummy_trades_summary,BTC_USD,DAY,LINEAR,30,3.0,false,false,TIMEFRAME,DEFAULT,BASIC_ITERATION,LIGHT_PREDICTIVE,true,7,true,14,100,3.0,2,0.0,2,BASIC_RR,1500,RICH,100000.0,200000.0,200953.2,50000.0,232,170,62,245,0.95,100953.2,127706.15,-26752.95,0.44,0.5,0.5,435.14,751.21,-431.5,84.69,96.69,-12.0,1.27,GOOD
